sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.17486338317394257,0.13595730066299438,1.4040119035666003
1,0,1,-1.0,-1.0,-0.15401682257652283,-0.0674794390797615,1.2590798755529844
2,0,2,-1.0,-1.0,-0.12421028316020966,-0.04805035516619682,1.2935284126842843
3,0,3,-1.0,-1.0,-0.16388970613479614,-0.04112635925412178,1.272210313755007
4,0,4,-1.0,-1.0,-0.12541291117668152,0.06936993449926376,1.3814682887230552
5,0,5,-1.0,-1.0,-0.12198659777641296,-0.030777396634221077,1.3077843818303445
6,0,6,-1.0,-1.0,-0.11497148126363754,0.04679236188530922,1.3707843476922634
7,0,7,-1.0,-1.0,-0.14317388832569122,0.006260129157453775,1.3216317312999453
8,0,8,-1.0,-1.0,-0.14702528715133667,-0.11964799463748932,1.2257999486478426
9,0,9,-1.0,-1.0,-0.16050326824188232,-0.09581217914819717,1.2338194268244007
10,0,10,-1.0,-1.0,-0.1840151697397232,-0.02966996841132641,1.267821601574042
11,0,11,-1.0,-1.0,-0.12930527329444885,-0.035680606961250305,1.2992386997405354
12,0,12,-1.0,-1.0,-0.13510839641094208,0.013248670846223831,1.332182553154969
13,0,13,-1.0,-1.0,-0.15987491607666016,-0.08648936450481415,1.2410930012694525
14,0,14,-1.0,-1.0,-0.1379212588071823,-0.039068661630153656,1.2909565419013365
15,0,15,-1.0,-1.0,-0.13746269047260284,-0.06526412814855576,1.2718890519430697
16,0,16,-1.0,-1.0,-0.1298055648803711,0.05837741866707802,1.370182876574349
17,0,17,-1.0,-1.0,-0.14122143387794495,-0.045738302171230316,1.2837897076911386
18,0,18,-1.0,-1.0,-0.16264042258262634,-0.010103370994329453,1.2965594463846972
19,0,19,-1.0,-1.0,-0.03806303068995476,0.13807520270347595,1.4901469390412319
20,0,20,-1.0,-1.0,-0.1478191316127777,-0.04498697444796562,1.2799461361398186
21,0,21,-1.0,-1.0,-0.13909104466438293,-0.007304675877094269,1.3140046559706493
22,0,22,-1.0,-1.0,-0.12899424135684967,-0.029969587922096252,1.303690926541087
23,0,23,-1.0,-1.0,-0.17614169418811798,-0.0936782956123352,1.2248108180039015
24,0,24,-1.0,-1.0,-0.16527190804481506,-0.034560881555080414,1.2762616028553264
25,0,25,-1.0,-1.0,-0.15572597086429596,-0.08547303080558777,1.244651844355261
26,0,26,-1.0,-1.0,-0.14371907711029053,-0.04068230837583542,1.285887807068707
27,0,27,-1.0,-1.0,-0.11700630187988281,-0.027691053226590157,1.313416369204929
28,0,28,-1.0,-1.0,-0.14031150937080383,-0.08570782840251923,1.2549878389708573
29,0,29,-1.0,-1.0,-0.1587735116481781,-0.07068675011396408,1.2535091228700665
30,0,30,-1.0,-1.0,-0.15261098742485046,-0.0596969872713089,1.2657953603879815
