sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.16712266206741333,0.36840343475341797,1.601940267390337
1,0,1,-1.0,-1.0,-0.27641016244888306,0.27420878410339355,1.4653294095504603
2,0,2,-1.0,-1.0,-0.2137013077735901,0.3212883472442627,1.5375527730651841
3,0,3,-1.0,-1.0,-0.2765175700187683,0.26491713523864746,1.4572035497870208
4,0,4,-1.0,-1.0,-0.15925955772399902,0.3727952241897583,1.609786078594499
5,0,5,-1.0,-1.0,-0.18287312984466553,0.33403146266937256,1.5643964540108235
6,0,6,-1.0,-1.0,-0.2069595456123352,0.31897449493408203,1.5390279011707393
7,0,7,-1.0,-1.0,-0.21315878629684448,0.33137476444244385,1.5465050465407566
8,0,8,-1.0,-1.0,-0.24804717302322388,0.28038251399993896,1.4848610831169256
9,0,9,-1.0,-1.0,-0.24333995580673218,0.23140859603881836,1.4453032736684892
10,0,10,-1.0,-1.0,-0.26245784759521484,0.27904224395751953,1.4764543638059966
11,0,11,-1.0,-1.0,-0.20460200309753418,0.32532596588134766,1.545686543033801
12,0,12,-1.0,-1.0,-0.20403575897216797,0.3230445384979248,1.5440226435658901
13,0,13,-1.0,-1.0,-0.2568931579589844,0.218980073928833,1.4276274721802302
14,0,14,-1.0,-1.0,-0.1959565281867981,0.33487534523010254,1.5583254127006376
15,0,15,-1.0,-1.0,-0.22408121824264526,0.24974727630615234,1.4710262439937853
16,0,16,-1.0,-1.0,-0.1802898645401001,0.35903191566467285,1.5871019040915042
17,0,17,-1.0,-1.0,-0.2169470191001892,0.2959747314453125,1.5141738590534541
18,0,18,-1.0,-1.0,-0.22727078199386597,0.32642531394958496,1.5350943156192802
19,0,19,-1.0,-1.0,-0.07243537902832031,0.27285516262054443,1.5749718699354947
20,0,20,-1.0,-1.0,-0.271767795085907,0.2884482145309448,1.48000707626755
21,0,21,-1.0,-1.0,-0.1563509702682495,0.25968635082244873,1.51609807987996
22,0,22,-1.0,-1.0,-0.21004146337509155,0.31644654273986816,1.535273913501535
23,0,23,-1.0,-1.0,-0.23947232961654663,0.24701952934265137,1.4606368624613204
24,0,24,-1.0,-1.0,-0.2557191848754883,0.3106755018234253,1.5072571787331104
25,0,25,-1.0,-1.0,-0.25920307636260986,0.27188563346862793,1.4718944074540519
26,0,26,-1.0,-1.0,-0.2355111837387085,0.30328524112701416,1.5109584937807161
27,0,27,-1.0,-1.0,-0.23238348960876465,0.25784754753112793,1.473572380256664
