sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.29416021704673767,0.018162447959184647,1.2388965128830365
1,0,1,-1.0,-1.0,-0.20654630661010742,-0.10064823925495148,1.1993341290521506
2,0,2,-1.0,-1.0,-0.26777777075767517,-0.0639876127243042,1.188389070182887
3,0,3,-1.0,-1.0,-0.27880215644836426,-0.06575276702642441,1.1802305799555917
4,0,4,-1.0,-1.0,-0.2729056775569916,-0.029976699501276016,1.2122752811301958
5,0,5,-1.0,-1.0,-0.26910513639450073,-0.07520784437656403,1.178748417919423
6,0,6,-1.0,-1.0,-0.2202821522951126,-0.021483520045876503,1.251181211324463
7,0,7,-1.0,-1.0,-0.2618357241153717,-0.069697804749012,1.187581017312539
8,0,8,-1.0,-1.0,-0.20128698647022247,-0.11513271927833557,1.1920287674689616
9,0,9,-1.0,-1.0,-0.2565990090370178,-0.09037727117538452,1.1747589293804426
10,0,10,-1.0,-1.0,-0.28123822808265686,-0.07912930101156235,1.168170077097172
11,0,11,-1.0,-1.0,-0.24832023680210114,-0.0673828199505806,1.1978302346011227
12,0,12,-1.0,-1.0,-0.21495257318019867,-0.04719390720129013,1.2345602102897757
13,0,13,-1.0,-1.0,-0.21626950800418854,-0.08611162006855011,1.2039208674401016
14,0,14,-1.0,-1.0,-0.22899401187896729,-0.07027620822191238,1.2078230676372739
15,0,15,-1.0,-1.0,-0.2654722034931183,-0.07941317558288574,1.1777143903050695
16,0,16,-1.0,-1.0,-0.26431336998939514,-0.028881099075078964,1.2183212783621515
17,0,17,-1.0,-1.0,-0.2327350378036499,-0.040737297385931015,1.2283649518122106
18,0,18,-1.0,-1.0,-0.30110636353492737,-0.08426297456026077,1.1519664122067945
19,0,19,-1.0,-1.0,-0.1934291571378708,-0.0008319024927914143,1.2840924466842332
20,0,20,-1.0,-1.0,-0.2266286462545395,-0.06447676569223404,1.2137985717258648
21,0,21,-1.0,-1.0,-0.18114417791366577,-0.1474570631980896,1.182097422573754
22,0,22,-1.0,-1.0,-0.22297842800617218,-0.06370675563812256,1.2167200018005169
23,0,23,-1.0,-1.0,-0.24009665846824646,-0.0880274623632431,1.1870749756753998
24,0,24,-1.0,-1.0,-0.2901756167411804,-0.08415724337100983,1.158714205461619
25,0,25,-1.0,-1.0,-0.2056516855955124,-0.114143006503582,1.1898453082328657
26,0,26,-1.0,-1.0,-0.2703503370285034,-0.07123632729053497,1.1810971977018627
27,0,27,-1.0,-1.0,-0.14979535341262817,-0.05268082395195961,1.2728949533983926
28,0,28,-1.0,-1.0,-0.20918963849544525,-0.079278863966465,1.2137167866524083
29,0,29,-1.0,-1.0,-0.254539430141449,-0.07721991837024689,1.1862691685559603
30,0,30,-1.0,-1.0,-0.24866782128810883,-0.07623453438282013,1.1907319926141575
31,0,31,-1.0,-1.0,-0.2346985638141632,-0.04261748492717743,1.2256702527169645
32,0,32,-1.0,-1.0,-0.20001742243766785,-0.05320189520716667,1.2395155407023237
33,0,33,-1.0,-1.0,-0.18639929592609406,-0.07949592918157578,1.2285250709948274
34,0,34,-1.0,-1.0,-0.26272067427635193,-0.08678433299064636,1.1736880584767213
35,0,35,-1.0,-1.0,-0.21953821182250977,-0.05893388018012047,1.2225898922688874
36,0,36,-1.0,-1.0,-0.2170446813106537,-0.05774747580289841,1.2250954454326182
37,0,37,-1.0,-1.0,-0.21684210002422333,0.0014605200849473476,1.2713219378203469
38,0,38,-1.0,-1.0,-0.2152993530035019,-0.07897854596376419,1.2099733981339196
39,0,39,-1.0,-1.0,-0.2597276270389557,-0.059496693313121796,1.1968916642947796
40,0,40,-1.0,-1.0,-0.22530609369277954,-0.06060945987701416,1.2176227803971538
41,0,41,-1.0,-1.0,-0.1798751801252365,-0.14569777250289917,1.1842453361027525
42,0,42,-1.0,-1.0,-0.23478995263576508,-0.0711432695388794,1.2034621898132478
43,0,43,-1.0,-1.0,-0.24906516075134277,-0.052386075258255005,1.2090803460324133
44,0,44,-1.0,-1.0,-0.2484627366065979,-0.04573037475347519,1.214676407911583
45,0,45,-1.0,-1.0,-0.2224036306142807,-0.09041393548250198,1.1966632452140753
46,0,46,-1.0,-1.0,-0.26203209161758423,-0.0897078886628151,1.1718482673815016
47,0,47,-1.0,-1.0,-0.19071237742900848,-0.11549000442028046,1.198876302346094
48,0,48,-1.0,-1.0,-0.20184417068958282,-0.12935718894004822,1.1811315050884785
49,0,49,-1.0,-1.0,-0.2149484008550644,-0.013800030574202538,1.2605143366957254
50,1,0,-0.8,-1.0,-0.251345694065094,-0.00396006228402257,1.1371530701476216
51,1,1,-0.8,-1.0,-0.22147944569587708,-0.004370813723653555,1.1515048885339783
52,1,2,-0.8,-1.0,-0.23224203288555145,0.0007564020343124866,1.1505922324762121
53,1,3,-0.8,-1.0,-0.18640169501304626,-0.13649600744247437,1.0593120527236768
54,1,4,-0.8,-1.0,-0.247714102268219,-0.013372225686907768,1.1306874359783987
55,1,5,-0.8,-1.0,-0.21113766729831696,-0.02362727001309395,1.1402028568359892
56,1,6,-0.8,-1.0,-0.20492766797542572,-0.03865586966276169,1.1306164766511348
57,1,7,-0.8,-1.0,-0.22572541236877441,-0.0037962221540510654,1.1498753275871063
58,1,8,-0.8,-1.0,-0.19682326912879944,0.04326646775007248,1.2050838524335896
59,1,9,-0.8,-1.0,-0.1828908771276474,-0.009282013401389122,1.1671956984594698
60,1,10,-0.8,-1.0,-0.2159707099199295,-0.016026118770241737,1.144244209342475
61,1,11,-0.8,-1.0,-0.18503737449645996,-0.04789290577173233,1.133440315872875
62,1,12,-0.8,-1.0,-0.19999441504478455,-0.03643772006034851,1.1351030654966754
63,1,13,-0.8,-1.0,-0.21726620197296143,0.0025163856334984303,1.1595765532411695
64,1,14,-0.8,-1.0,-0.21999961137771606,0.008258532732725143,1.1631791433955254
65,1,15,-0.8,-1.0,-0.2657274305820465,-0.0878000408411026,1.0571451858292484
66,1,16,-0.8,-1.0,-0.22659236192703247,-0.03006039932370186,1.1267560287659952
67,1,17,-0.8,-1.0,-0.2714848220348358,-0.012100042775273323,1.1203903867956768
68,1,18,-0.8,-1.0,-0.19820375740528107,0.01862962543964386,1.1831166601077134
69,1,19,-0.8,-1.0,-0.2693915069103241,0.024823609739542007,1.1540402090128756
70,1,20,-0.8,-1.0,-0.21186204254627228,-0.018645063042640686,1.144099545183209
71,1,21,-0.8,-1.0,-0.18757091462612152,-0.04286700487136841,1.13629791647076
72,1,22,-0.8,-1.0,-0.2014545500278473,-0.0656563863158226,1.1096191437221936
73,1,23,-0.8,-1.0,-0.28071129322052,-0.05720268189907074,1.0763491738311548
74,1,24,-0.8,-1.0,-0.21260923147201538,-0.015683742240071297,1.1462575671472826
75,1,25,-0.8,-1.0,-0.28391093015670776,-0.0402652770280838,1.0896965937772292
76,1,26,-0.8,-1.0,-0.20854313671588898,-0.07196515053510666,1.1004862120659245
77,1,27,-0.8,-1.0,-0.2527768313884735,-0.0012260177172720432,1.1388602477697332
78,1,28,-0.8,-1.0,-0.21800509095191956,-0.0711490660905838,1.0961214036694467
79,1,29,-0.8,-1.0,-0.1786620318889618,-0.06745036691427231,1.1205845299595558
80,1,30,-0.8,-1.0,-0.15963496267795563,0.1286272406578064,1.2976389441517688
