phase,exp_id,description,center_weight,side_weight,corner_weight,geom_residual,lr,label_jitter_m,checkpoint,global_rmse_m,inner_rmse_m,outer_rmse_m,output_csv
A,w_1_3_2,zone weights 1/3/2 (current default),1.0,3.0,2.0,0,0.0003,0.02,/home/lhp/projects/isac/models/cnn_best_ab/w_1_3_2/best_model.pth,0.618751645992055,0.39409940373531027,0.9012295546369519,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_best_ab/w_1_3_2/cnn_rmse.csv
A,w_1_3_1,zone weights 1/3/1,1.0,3.0,1.0,0,0.0003,0.02,/home/lhp/projects/isac/models/cnn_best_ab/w_1_3_1/best_model.pth,0.619061178951389,0.38721745467278956,0.9105816628280492,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_best_ab/w_1_3_1/cnn_rmse.csv
A,w_1_3_5,zone weights 1/3/5,1.0,3.0,5.0,0,0.0003,0.02,/home/lhp/projects/isac/models/cnn_best_ab/w_1_3_5/best_model.pth,0.5949413582567116,0.36459724753359524,0.8845762268522906,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_best_ab/w_1_3_5/cnn_rmse.csv
A,w_1_2_2,zone weights 1/2/2,1.0,2.0,2.0,0,0.0003,0.02,/home/lhp/projects/isac/models/cnn_best_ab/w_1_2_2/best_model.pth,0.5920588881713449,0.3655505114260845,0.8768707018029561,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_best_ab/w_1_2_2/cnn_rmse.csv
A,w_1_3_3,zone weights 1/3/3,1.0,3.0,3.0,0,0.0003,0.02,/home/lhp/projects/isac/models/cnn_best_ab/w_1_3_3/best_model.pth,0.6005385488540019,0.3724585654062151,0.8873265020072236,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_best_ab/w_1_3_3/cnn_rmse.csv
A,w_1_4_2,zone weights 1/4/2,1.0,4.0,2.0,0,0.0003,0.02,/home/lhp/projects/isac/models/cnn_best_ab/w_1_4_2/best_model.pth,0.6159675400722836,0.3851852242559046,0.9061534081017385,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_best_ab/w_1_4_2/cnn_rmse.csv
B,B_plain_w_1_2_2,plain (reuse w_1_2_2),1.0,2.0,2.0,0,0.0003,0.02,/home/lhp/projects/isac/models/cnn_best_ab/B_plain_w_1_2_2/best_model.pth,0.5920588881713449,0.3655505114260845,0.8768707018029561,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_best_ab/B_plain_w_1_2_2/cnn_rmse.csv
B,B_geom_w_1_2_2,geom residual on w_1_2_2 weights,1.0,2.0,2.0,1,0.0003,0.02,/home/lhp/projects/isac/models/cnn_best_ab/B_geom_w_1_2_2/best_model.pth,0.5948900857679009,0.3783230361136357,0.8672016667839397,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_best_ab/B_geom_w_1_2_2/cnn_rmse.csv
C,C_reuse_B_geom_w_1_2_2,reuse B_geom_w_1_2_2,1.0,2.0,2.0,1,0.0003,0.02,/home/lhp/projects/isac/models/cnn_best_ab/C_reuse_B_geom_w_1_2_2/best_model.pth,0.5948900857679009,0.3783230361136357,0.8672016667839397,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_best_ab/C_reuse_B_geom_w_1_2_2/cnn_rmse.csv
C,C_geom_B_geom_w_1_2_2_lr0p0003_j0p05,geom lr=0.0003 jitter=0.05,1.0,2.0,2.0,1,0.0003,0.05,/home/lhp/projects/isac/models/cnn_best_ab/C_geom_B_geom_w_1_2_2_lr0p0003_j0p05/best_model.pth,0.6000094746634584,0.3853332018333862,0.8699435913922642,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_best_ab/C_geom_B_geom_w_1_2_2_lr0p0003_j0p05/cnn_rmse.csv
C,C_geom_B_geom_w_1_2_2_lr0p0005_j0p02,geom lr=0.0005 jitter=0.02,1.0,2.0,2.0,1,0.0005,0.02,/home/lhp/projects/isac/models/cnn_best_ab/C_geom_B_geom_w_1_2_2_lr0p0005_j0p02/best_model.pth,0.6069163917703106,0.3998253721778754,0.8673128050264715,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_best_ab/C_geom_B_geom_w_1_2_2_lr0p0005_j0p02/cnn_rmse.csv
C,C_geom_B_geom_w_1_2_2_lr0p0005_j0p05,geom lr=0.0005 jitter=0.05,1.0,2.0,2.0,1,0.0005,0.05,/home/lhp/projects/isac/models/cnn_best_ab/C_geom_B_geom_w_1_2_2_lr0p0005_j0p05/best_model.pth,0.608437592541015,0.4029063881777979,0.8668726928835107,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_best_ab/C_geom_B_geom_w_1_2_2_lr0p0005_j0p05/cnn_rmse.csv
