sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.0925554633140564,0.06616005301475525,1.4000545867235294
1,0,1,-1.0,-1.0,-0.11050547659397125,-0.19113993644714355,1.202270813743746
2,0,2,-1.0,-1.0,-0.08367782086133957,-0.14880479872226715,1.2506716622118146
3,0,3,-1.0,-1.0,-0.14254048466682434,-0.17262868583202362,1.1915452622302893
4,0,4,-1.0,-1.0,-0.021933112293481827,-0.04859410971403122,1.36447352663903
5,0,5,-1.0,-1.0,-0.0815032348036766,-0.12838809192180634,1.2662320585026345
6,0,6,-1.0,-1.0,-0.05149942636489868,-0.10357467085123062,1.3050791964189743
7,0,7,-1.0,-1.0,-0.09641338884830475,-0.11303716152906418,1.2661642234248385
8,0,8,-1.0,-1.0,-0.0855707973241806,-0.2062356024980545,1.2108850835021303
9,0,9,-1.0,-1.0,-0.12297464907169342,-0.20668087899684906,1.182594052885491
10,0,10,-1.0,-1.0,-0.15865164995193481,-0.15225838124752045,1.1943755264964517
11,0,11,-1.0,-1.0,-0.08165305107831955,-0.14892104268074036,1.2520768787040986
12,0,12,-1.0,-1.0,-0.04505195841193199,-0.14163553714752197,1.2840230968409057
13,0,13,-1.0,-1.0,-0.21729397773742676,-0.13386321067810059,1.167399526770055
14,0,14,-1.0,-1.0,-0.06618340313434601,-0.16155517101287842,1.2549913018969474
15,0,15,-1.0,-1.0,-0.1215486079454422,-0.18916048109531403,1.1954654213402298
16,0,16,-1.0,-1.0,-0.05825295299291611,-0.060179516673088074,1.330469857391513
17,0,17,-1.0,-1.0,-0.042534127831459045,-0.21044807136058807,1.2410210088413813
18,0,18,-1.0,-1.0,-0.11331912875175476,-0.12890861928462982,1.2429815610032826
19,0,19,-1.0,-1.0,0.056373048573732376,0.04021061956882477,1.4825525794442231
20,0,20,-1.0,-1.0,-0.06513890624046326,-0.21607090532779694,1.220045118058696
21,0,21,-1.0,-1.0,-0.05894118547439575,-0.10406368970870972,1.2993435128920707
22,0,22,-1.0,-1.0,-0.08786924183368683,-0.15242846310138702,1.2451345429927363
23,0,23,-1.0,-1.0,-0.14385277032852173,-0.17223215103149414,1.1908768578908964
24,0,24,-1.0,-1.0,-0.17283183336257935,-0.133540078997612,1.1978981470065708
25,0,25,-1.0,-1.0,-0.07981112599372864,-0.2238031029701233,1.203839352573149
26,0,26,-1.0,-1.0,-0.11008574068546295,-0.1541237235069275,1.227784209079562
27,0,27,-1.0,-1.0,-0.14629702270030975,-0.10757281631231308,1.2350040694811868
28,0,28,-1.0,-1.0,-0.08284993469715118,-0.2036653310060501,1.2146246940214593
29,0,29,-1.0,-1.0,-0.12729839980602264,-0.1650550216436386,1.2077835898304106
30,0,30,-1.0,-1.0,-0.11302798986434937,-0.17880108952522278,1.2087543163641807
31,0,31,-1.0,-1.0,-0.0642494410276413,-0.19192415475845337,1.2363719829727304
32,0,32,-1.0,-1.0,-0.005507227033376694,-0.16509731113910675,1.2984908068022636
33,0,33,-1.0,-1.0,-0.05340072140097618,-0.17583434283733368,1.2551092481097261
34,0,34,-1.0,-1.0,-0.16722074151039124,-0.15346446633338928,1.1874947170959187
35,0,35,-1.0,-1.0,-0.0642591118812561,-0.17493103444576263,1.247537497479733
36,0,36,-1.0,-1.0,-0.06518816947937012,-0.17992526292800903,1.2435416088193534
37,0,37,-1.0,-1.0,-0.019080858677625656,-0.043853625655174255,1.3698241679081953
38,0,38,-1.0,-1.0,-0.09981119632720947,-0.18720482289791107,1.2128379455550795
39,0,39,-1.0,-1.0,-0.06497061252593994,-0.11168830841779709,1.2897199761350333
