sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,0.008244308643043041,0.21787747740745544,1.5810699339015448
1,0,1,-1.0,-1.0,-0.16231976449489594,0.015787620097398758,1.3166368770845758
2,0,2,-1.0,-1.0,0.058987490832805634,0.2589098811149597,1.6450861966806614
3,0,3,-1.0,-1.0,0.01695660687983036,0.24326340854167938,1.6062081569009705
4,0,4,-1.0,-1.0,-0.0247960202395916,0.19140170514583588,1.5396300936150036
5,0,5,-1.0,-1.0,0.06143248453736305,0.2598956227302551,1.6474149141627974
6,0,6,-1.0,-1.0,-0.12948034703731537,0.004573274403810501,1.3292749639712118
7,0,7,-1.0,-1.0,-0.06161405146121979,0.18621717393398285,1.5125076436669507
8,0,8,-1.0,-1.0,-0.15882007777690887,0.0351099856197834,1.333805212120958
9,0,9,-1.0,-1.0,0.08578521758317947,0.28255510330200195,1.6804395650329593
10,0,10,-1.0,-1.0,0.011996004730463028,0.2607693672180176,1.616686522151323
11,0,11,-1.0,-1.0,-0.04849927872419357,0.17511773109436035,1.512036806602517
12,0,12,-1.0,-1.0,-0.13191552460193634,0.046638473868370056,1.3597877596921668
13,0,13,-1.0,-1.0,0.10942306369543076,0.1430967152118683,1.5929499786834234
14,0,14,-1.0,-1.0,-0.0577198788523674,0.1296083629131317,1.4710223928524278
15,0,15,-1.0,-1.0,0.10562553256750107,0.2718874216079712,1.6852612353904493
16,0,16,-1.0,-1.0,0.01603066548705101,0.17580430209636688,1.5539736387849004
17,0,17,-1.0,-1.0,-0.1117766946554184,0.18515504896640778,1.4810581117052168
18,0,18,-1.0,-1.0,-0.0014318109024316072,0.27031800150871277,1.615811329714793
19,0,19,-1.0,-1.0,-0.046720363199710846,0.08450917899608612,1.4439190508005828
20,0,20,-1.0,-1.0,-0.213284432888031,0.08625218272209167,1.3412178003608568
21,0,21,-1.0,-1.0,-0.16408395767211914,-0.1444459706544876,1.1961305643408873
22,0,22,-1.0,-1.0,-0.09341438859701157,0.05497067794203758,1.390992667888804
23,0,23,-1.0,-1.0,-0.009513163939118385,0.22281011939048767,1.5736355233959591
24,0,24,-1.0,-1.0,0.06762439757585526,0.2801126539707184,1.6668863971954309
25,0,25,-1.0,-1.0,-0.21310853958129883,0.0015420056879520416,1.2736893497385153
26,0,26,-1.0,-1.0,0.0616101436316967,0.24583716690540314,1.6368036973029456
27,0,27,-1.0,-1.0,0.09135077893733978,-0.03957301378250122,1.453776639839135
28,0,28,-1.0,-1.0,-0.12616178393363953,0.08555673062801361,1.393566160348988
29,0,29,-1.0,-1.0,0.018212979659438133,0.23285508155822754,1.5989650790654857
30,0,30,-1.0,-1.0,0.04213804751634598,0.2264741063117981,1.609437927829
31,0,31,-1.0,-1.0,-0.16687320172786713,0.13440322875976562,1.407469696803365
32,0,32,-1.0,-1.0,-0.12535740435123444,-0.0069628991186618805,1.3232997974193237
33,0,33,-1.0,-1.0,-0.12006144225597382,-0.05449749529361725,1.2916140490915544
34,0,34,-1.0,-1.0,0.06489509344100952,0.25038158893585205,1.6423932775022194
35,0,35,-1.0,-1.0,-0.09029220044612885,0.11658728122711182,1.440255337489606
