sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.12645745277404785,-0.02556079626083374,1.3086666281363735
1,0,1,-1.0,-1.0,-0.18728256225585938,-0.11383992433547974,1.202409794252837
2,0,2,-1.0,-1.0,-0.13783329725265503,-0.023847639560699463,1.302384295865643
3,0,3,-1.0,-1.0,-0.20957094430923462,0.0008060932159423828,1.2753003286670763
4,0,4,-1.0,-1.0,-0.11349707841873169,-0.032629549503326416,1.3121330033446539
5,0,5,-1.0,-1.0,-0.14094239473342896,-0.037243545055389404,1.2903022749355477
6,0,6,-1.0,-1.0,-0.16401398181915283,-0.08947443962097168,1.2360944214328495
7,0,7,-1.0,-1.0,-0.16889256238937378,-0.03332418203353882,1.2748339930723638
8,0,8,-1.0,-1.0,-0.18166542053222656,-0.10340172052383423,1.2139027797613442
9,0,9,-1.0,-1.0,-0.21196264028549194,8.982419967651367e-05,1.2732566657094526
10,0,10,-1.0,-1.0,-0.20759260654449463,0.01352626085281372,1.2865243715690868
11,0,11,-1.0,-1.0,-0.161105215549469,-0.042927443981170654,1.2726870537813757
12,0,12,-1.0,-1.0,-0.15585851669311523,-0.09650135040283203,1.2364807534545186
13,0,13,-1.0,-1.0,-0.2734025716781616,-0.0788760781288147,1.1732063340637326
14,0,14,-1.0,-1.0,-0.15502208471298218,-0.08241856098175049,1.247374592716076
15,0,15,-1.0,-1.0,-0.1960587501525879,0.014172732830047607,1.2941668614294628
16,0,16,-1.0,-1.0,-0.10269618034362793,-0.043625473976135254,1.311413885391369
17,0,17,-1.0,-1.0,-0.15740329027175903,0.0027312636375427246,1.3097477628616132
18,0,18,-1.0,-1.0,-0.14857834577560425,-0.0250546932220459,1.2943867986388635
19,0,19,-1.0,-1.0,-0.0265578031539917,-0.02078324556350708,1.3807444234069974
20,0,20,-1.0,-1.0,-0.17445021867752075,-0.05124479532241821,1.2576441785514667
21,0,21,-1.0,-1.0,-0.17010992765426636,-0.06976622343063354,1.2466163849591072
22,0,22,-1.0,-1.0,-0.17248350381851196,-0.08861005306243896,1.2310220090767414
23,0,23,-1.0,-1.0,-0.23566073179244995,0.03156560659408569,1.2838777658452838
24,0,24,-1.0,-1.0,-0.21407556533813477,-0.011373281478881836,1.2629568502416884
25,0,25,-1.0,-1.0,-0.16993850469589233,-0.05860775709152222,1.2550782609043731
26,0,26,-1.0,-1.0,-0.1619616150856018,-0.04194563627243042,1.2728615393857146
27,0,27,-1.0,-1.0,-0.24481874704360962,-0.1904606819152832,1.10709197104028
28,0,28,-1.0,-1.0,-0.18530571460723877,-0.06638723611831665,1.2390962721009282
29,0,29,-1.0,-1.0,-0.20045626163482666,-0.011699020862579346,1.2712234323371092
30,0,30,-1.0,-1.0,-0.20245683193206787,0.014618277549743652,1.2905523445679539
31,0,31,-1.0,-1.0,-0.16260915994644165,-0.03714025020599365,1.2760573328730103
32,0,32,-1.0,-1.0,-0.12857598066329956,-0.13355165719985962,1.2288663687391073
33,0,33,-1.0,-1.0,-0.1602778434753418,-0.1581786870956421,1.189031716573801
34,0,34,-1.0,-1.0,-0.22315675020217896,-0.0032063722610473633,1.2637574811083896
35,0,35,-1.0,-1.0,-0.15157270431518555,-0.07282596826553345,1.2567738703465285
36,0,36,-1.0,-1.0,-0.17277568578720093,-0.08098852634429932,1.2364797429540277
37,0,37,-1.0,-1.0,-0.12493383884429932,-0.07165563106536865,1.2757601866073474
38,0,38,-1.0,-1.0,-0.18102169036865234,-0.05008286237716675,1.254220092326772
39,0,39,-1.0,-1.0,-0.13194799423217773,-0.023946940898895264,1.3062135579215843
40,0,40,-1.0,-1.0,-0.14009582996368408,-0.08210903406143188,1.257759518746522
41,0,41,-1.0,-1.0,-0.1263551115989685,-0.20117580890655518,1.1837970600171919
42,0,42,-1.0,-1.0,-0.09687697887420654,-0.08358961343765259,1.2866387169235705
43,0,43,-1.0,-1.0,-0.12770730257034302,-0.07125914096832275,1.2741483952915393
44,0,44,-1.0,-1.0,-0.07687747478485107,-0.07569801807403564,1.3063266629568038
45,0,45,-1.0,-1.0,-0.179554283618927,-0.09756332635879517,1.2196405714228493
46,0,46,-1.0,-1.0,-0.09541833400726318,-0.05394160747528076,1.3089287499771143
47,0,47,-1.0,-1.0,-0.14713454246520996,-0.16024601459503174,1.1968985941421915
48,0,48,-1.0,-1.0,-0.1334342360496521,-0.10936146974563599,1.2426476631871577
49,0,49,-1.0,-1.0,-0.0563274621963501,-0.047336041927337646,1.3409274684394576
50,1,0,-0.8,-1.0,-0.08664751052856445,-0.050816893577575684,1.1873585573670735
51,1,1,-0.8,-1.0,-0.17282980680465698,-0.08005601167678833,1.1133909434177653
52,1,2,-0.8,-1.0,-0.14477550983428955,-0.03288143873214722,1.1681769746325754
53,1,3,-0.8,-1.0,-0.06021958589553833,-0.09568899869918823,1.1683550180344353
54,1,4,-0.8,-1.0,-0.1674293875694275,-0.05407583713531494,1.1379446830149718
55,1,5,-0.8,-1.0,-0.18700003623962402,-0.12185978889465332,1.0709337915718065
56,1,6,-0.8,-1.0,-0.1377682089805603,-0.0935523509979248,1.1225855359028123
57,1,7,-0.8,-1.0,-0.15785926580429077,-0.055626094341278076,1.142009980780603
58,1,8,-0.8,-1.0,-0.003352046012878418,0.00012177228927612305,1.2786287662957179
59,1,9,-0.8,-1.0,-0.2498183250427246,-0.15559637546539307,1.0078280391941745
60,1,10,-0.8,-1.0,-0.07798755168914795,-0.06079655885696411,1.1846539914129994
61,1,11,-0.8,-1.0,-0.0881584882736206,-0.06486529111862183,1.1752426394458113
62,1,12,-0.8,-1.0,-0.21124005317687988,-0.13416290283203125,1.0470492604531163
63,1,13,-0.8,-1.0,-0.15258604288101196,-0.07967686653137207,1.1252286442630142
64,1,14,-0.8,-1.0,-0.14184528589248657,-0.07152152061462402,1.1380860751207365
65,1,15,-0.8,-1.0,-0.2013062834739685,-0.016817092895507812,1.151122406623289
66,1,16,-0.8,-1.0,-0.12960904836654663,-0.09122145175933838,1.129292910530484
67,1,17,-0.8,-1.0,-0.11219286918640137,-0.044607460498809814,1.1772228139704768
68,1,18,-0.8,-1.0,-0.15659433603286743,0.08302581310272217,1.2597284470360266
69,1,19,-0.8,-1.0,-0.13115429878234863,-0.014456987380981445,1.1910707794919253
70,1,20,-0.8,-1.0,-0.16339576244354248,-0.12808358669281006,1.0795847289904175
71,1,21,-0.8,-1.0,-0.24937748908996582,-0.11355960369110107,1.0435332892290252
72,1,22,-0.8,-1.0,-0.17820137739181519,-0.09494125843048096,1.098073245630198
73,1,23,-0.8,-1.0,-0.17450308799743652,-0.06192225217819214,1.1274911298467842
74,1,24,-0.8,-1.0,-0.08767133951187134,-0.03657841682434082,1.198162454545086
75,1,25,-0.8,-1.0,-0.13486850261688232,0.010712742805480957,1.2099339474865918
76,1,26,-0.8,-1.0,-0.13941240310668945,-0.04581683874130249,1.160534996628245
77,1,27,-0.8,-1.0,-0.07328426837921143,-0.07592540979385376,1.1755975513966483
78,1,28,-0.8,-1.0,-0.10972851514816284,-0.0733339786529541,1.1555018987084027
79,1,29,-0.8,-1.0,-0.05934774875640869,-0.06086677312850952,1.1960505737995608
80,1,30,-0.8,-1.0,-0.11198639869689941,0.3851134777069092,1.546577531746595
81,1,31,-0.8,-1.0,-0.1444135308265686,-0.09688317775726318,1.115981009328163
82,1,32,-0.8,-1.0,-0.16339808702468872,-0.02478623390197754,1.164604604658128
83,1,33,-0.8,-1.0,-0.0740920901298523,-0.05180764198303223,1.1941570421907766
84,1,34,-0.8,-1.0,-0.11352270841598511,-0.046069443225860596,1.1752593666965365
85,1,35,-0.8,-1.0,-0.17549043893814087,-0.15932625532150269,1.04725571702877
86,1,36,-0.8,-1.0,-0.1482679843902588,0.028500914573669434,1.2176077986977623
87,1,37,-0.8,-1.0,-0.10898619890213013,-0.035073935985565186,1.1868371338655173
88,1,38,-0.8,-1.0,-0.14719027280807495,-0.03554767370223999,1.1646153140061128
89,1,39,-0.8,-1.0,0.0038717985153198242,-0.0736004114151001,1.2265504743705116
90,1,40,-0.8,-1.0,-0.1684643030166626,-0.09246206283569336,1.1056502358145068
91,1,41,-0.8,-1.0,-0.19735413789749146,0.05340033769607544,1.2136038507550484
92,1,42,-0.8,-1.0,-0.043221354484558105,-0.012484252452850342,1.2441468040234613
93,1,43,-0.8,-1.0,-0.12306392192840576,-0.09653228521347046,1.1289359439120297
94,1,44,-0.8,-1.0,-0.22004008293151855,0.06790369749069214,1.2152250048943083
95,1,45,-0.8,-1.0,-0.11297661066055298,0.0019782185554504395,1.2148915539911436
96,1,46,-0.8,-1.0,-0.09737521409988403,-0.09034812450408936,1.1494120776964245
97,1,47,-0.8,-1.0,-0.13810420036315918,-0.0987585186958313,1.1181870403471081
98,1,48,-0.8,-1.0,-0.16674494743347168,-0.0809551477432251,1.1160893342652791
99,1,49,-0.8,-1.0,-0.2215062379837036,-0.03672724962234497,1.1236322460270973
100,2,0,-0.6,-1.0,-0.18346327543258667,0.2017049789428711,1.271848143187478
101,2,1,-0.6,-1.0,-0.30147844552993774,0.3305790424346924,1.3636552741252628
102,2,2,-0.6,-1.0,-0.1949482560157776,0.2127537727355957,1.2786080824823067
103,2,3,-0.6,-1.0,-0.2158045768737793,0.18105804920196533,1.2419759412870637
104,2,4,-0.6,-1.0,-0.276228129863739,0.3096567392349243,1.3490845038451025
105,2,5,-0.6,-1.0,-0.19675278663635254,0.20269858837127686,1.2684999840582614
106,2,6,-0.6,-1.0,-0.26859211921691895,0.293068528175354,1.3348623157474742
107,2,7,-0.6,-1.0,-0.2643812298774719,0.2698051929473877,1.313409755900538
108,2,8,-0.6,-1.0,-0.2684221863746643,0.2856327295303345,1.3277030397374918
109,2,9,-0.6,-1.0,-0.2058572769165039,0.10689061880111694,1.1749703520300387
110,2,10,-0.6,-1.0,-0.33500176668167114,0.1384274959564209,1.168863220061031
111,2,11,-0.6,-1.0,-0.34616726636886597,0.10311830043792725,1.1319456883718915
112,2,12,-0.6,-1.0,-0.1995139718055725,0.1680694818496704,1.2348179514436552
113,2,13,-0.6,-1.0,-0.17902100086212158,0.24429011344909668,1.3135757321686083
114,2,14,-0.6,-1.0,-0.2263350486755371,0.17236697673797607,1.230475446319046
115,2,15,-0.6,-1.0,-0.36626136302948,0.18578612804412842,1.2086035296468078
116,2,16,-0.6,-1.0,-0.40806126594543457,0.20302271842956543,1.218238128892759
117,2,17,-0.6,-1.0,-0.3983469009399414,0.04123407602310181,1.0605811489142207
118,2,18,-0.6,-1.0,-0.20141708850860596,0.21017467975616455,1.2741236568151035
119,2,19,-0.6,-1.0,-0.1565713882446289,0.25428497791290283,1.3303607554123305
120,2,20,-0.6,-1.0,-0.2614947557449341,0.2625840902328491,1.30717419852799
121,2,21,-0.6,-1.0,-0.2394498586654663,0.2857530117034912,1.3353490972479631
122,2,22,-0.6,-1.0,-0.2787235975265503,0.3109034299850464,1.3496986069240946
123,2,23,-0.6,-1.0,-0.20278716087341309,0.07704377174377441,1.147955280409067
124,2,24,-0.6,-1.0,-0.2946380376815796,0.2852590084075928,1.32103620189752
125,2,25,-0.6,-1.0,-0.23287981748580933,0.2686244249343872,1.3206760238413344
126,2,26,-0.6,-1.0,-0.18379974365234375,0.28243207931518555,1.3482784176276519
127,2,27,-0.6,-1.0,-0.1959468126296997,0.21604931354522705,1.281419100527972
128,2,28,-0.6,-1.0,-0.20557749271392822,0.29130256175994873,1.3501968079734292
129,2,29,-0.6,-1.0,-0.2116602063179016,0.23073887825012207,1.2905525877675128
130,2,30,-0.6,-1.0,-0.2405623197555542,0.3212226629257202,1.3692424076868346
131,2,31,-0.6,-1.0,-0.17641812562942505,0.2190566062927246,1.2905505079775934
132,2,32,-0.6,-1.0,-0.1934288740158081,0.23510205745697021,1.3002988782654912
133,2,33,-0.6,-1.0,-0.22994351387023926,0.3124169111251831,1.3635908299537924
134,2,34,-0.6,-1.0,-0.39261943101882935,0.14152568578720093,1.1602101498017043
135,2,35,-0.6,-1.0,-0.40045642852783203,0.20953726768493652,1.2258866337612992
136,2,36,-0.6,-1.0,-0.20266646146774292,0.26375114917755127,1.3247418268818065
137,2,37,-0.6,-1.0,-0.34542232751846313,0.37669193744659424,1.4000323146115499
138,2,38,-0.6,-1.0,-0.3602697253227234,0.3449280261993408,1.366126641367226
139,2,39,-0.6,-1.0,-0.1769869327545166,0.198225736618042,1.2707025501486495
140,2,40,-0.6,-1.0,-0.27646541595458984,0.3516216278076172,1.389804177512339
141,2,41,-0.6,-1.0,-0.20307087898254395,0.15413421392440796,1.220482900684234
142,2,42,-0.6,-1.0,-0.347598135471344,0.3826955556869507,1.4055439164017562
143,2,43,-0.6,-1.0,-0.17937994003295898,0.031649768352508545,1.1141016467937124
144,2,44,-0.6,-1.0,-0.31829655170440674,0.23455584049224854,1.2662878646165532
145,2,45,-0.6,-1.0,-0.19687020778656006,0.08733457326889038,1.1596594774311515
146,2,46,-0.6,-1.0,-0.13819140195846558,0.08595925569534302,1.180074017278353
147,2,47,-0.6,-1.0,-0.31247788667678833,0.2259659767150879,1.259230535570364
148,2,48,-0.6,-1.0,-0.24957704544067383,0.20544803142547607,1.2553490365430815
149,2,49,-0.6,-1.0,-0.24406588077545166,0.22230637073516846,1.2730757876764187
150,3,0,-0.4,-1.0,-0.12226545810699463,0.218361496925354,1.2496164263287783
151,3,1,-0.4,-1.0,-0.08924055099487305,0.26996493339538574,1.3074335039304739
152,3,2,-0.4,-1.0,-0.2179563045501709,0.20992827415466309,1.2235466217729145
153,3,3,-0.4,-1.0,-0.05700874328613281,0.21700072288513184,1.2644104403575176
154,3,4,-0.4,-1.0,-0.09511065483093262,0.25390660762786865,1.2904415110536598
155,3,5,-0.4,-1.0,-0.09831154346466064,0.2158968448638916,1.2527653659630928
156,3,6,-0.4,-1.0,-0.07318627834320068,0.22617626190185547,1.2689820463327193
157,3,7,-0.4,-1.0,-0.10817849636077881,0.2427910566329956,1.2765928875069035
158,3,8,-0.4,-1.0,-0.26506829261779785,0.16756975650787354,1.175340674855138
159,3,9,-0.4,-1.0,-0.08223986625671387,0.26402342319488525,1.303352107828835
160,3,10,-0.4,-1.0,-0.2116760015487671,0.14423859119415283,1.1596326495794431
161,3,11,-0.4,-1.0,-0.2679886817932129,0.13242626190185547,1.1400948323625115
162,3,12,-0.4,-1.0,-0.05414700508117676,0.21954667568206787,1.267638902945749
163,3,13,-0.4,-1.0,-0.09115278720855713,0.2124791145324707,1.2511963091483633
164,3,14,-0.4,-1.0,-0.26170045137405396,0.19734442234039307,1.2053051194032944
165,3,15,-0.4,-1.0,-0.21128368377685547,0.17464089393615723,1.1897037772975123
166,3,16,-0.4,-1.0,-0.07740426063537598,0.2275080680847168,1.2691903199557117
167,3,17,-0.4,-1.0,-0.08942103385925293,0.20863068103790283,1.2478971982319698
168,3,18,-0.4,-1.0,-0.12099635601043701,0.19241547584533691,1.224621451876014
169,3,19,-0.4,-1.0,-0.20805704593658447,0.17804503440856934,1.1935795745191344
170,3,20,-0.4,-1.0,-0.26117372512817383,0.1971515417098999,1.2051740739051675
171,3,21,-0.4,-1.0,-0.056160807609558105,0.22442913055419922,1.2717908971106153
172,3,22,-0.4,-1.0,-0.07388317584991455,0.2617785930633545,1.3032411138798055
173,3,23,-0.4,-1.0,-0.0719139575958252,0.25828516483306885,1.3003545698229453
174,3,24,-0.4,-1.0,-0.07553589344024658,0.24936127662658691,1.2908061651462757
175,3,25,-0.4,-1.0,-0.09356963634490967,0.23171508312225342,1.2692602624208522
176,3,26,-0.4,-1.0,-0.10385870933532715,0.2642688751220703,1.2984896813756215
177,3,27,-0.4,-1.0,-0.07832193374633789,0.29368841648101807,1.3330815793663415
178,3,28,-0.4,-1.0,-0.2718169093132019,0.23983919620513916,1.2464478076456413
179,3,29,-0.4,-1.0,-0.101432204246521,0.27001655101776123,1.3046397083180248
180,3,30,-0.4,-1.0,-0.12050092220306396,0.23474419116973877,1.2659829983521698
181,3,31,-0.4,-1.0,-0.09625518321990967,0.22709763050079346,1.2641319189473195
182,3,32,-0.4,-1.0,-0.0790635347366333,0.2632559537887573,1.3033862894470263
183,3,33,-0.4,-1.0,-0.2618486285209656,0.191267728805542,1.1992516846496621
184,3,34,-0.4,-1.0,-0.06245601177215576,0.27793991565704346,1.3217663832986108
185,3,35,-0.4,-1.0,-0.10576915740966797,0.1860114336013794,1.2219635466594803
