sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.3046876788139343,-0.180029034614563,1.075086790946796
1,0,1,-1.0,-1.0,-0.334469735622406,-0.12020301818847656,1.1031651109453997
2,0,2,-1.0,-1.0,-0.24592328071594238,-0.10450410842895508,1.170702605441206
3,0,3,-1.0,-1.0,-0.28022676706314087,-0.07596433162689209,1.1712879335492679
4,0,4,-1.0,-1.0,-0.2719604969024658,-0.10887336730957031,1.1507163827636628
5,0,5,-1.0,-1.0,-0.2715596556663513,-0.10445785522460938,1.1543920773817842
6,0,6,-1.0,-1.0,-0.3027336597442627,-0.11932873725891113,1.1232818979542105
7,0,7,-1.0,-1.0,-0.2963879108428955,-0.12757396697998047,1.1208020142286832
8,0,8,-1.0,-1.0,-0.3250502943992615,-0.10847890377044678,1.1181980907302909
9,0,9,-1.0,-1.0,-0.3114432692527771,-0.06020510196685791,1.1650428411978795
10,0,10,-1.0,-1.0,-0.2990056872367859,-0.07950389385223389,1.157024679062452
11,0,11,-1.0,-1.0,-0.2894495129585266,-0.12339484691619873,1.128414192151069
12,0,12,-1.0,-1.0,-0.3002476692199707,-0.0940084457397461,1.1447593724547505
13,0,13,-1.0,-1.0,-0.36059337854385376,-0.1132364273071289,1.0932476670073386
14,0,14,-1.0,-1.0,-0.2993224263191223,-0.11198365688323975,1.1311596208766406
15,0,15,-1.0,-1.0,-0.3009805679321289,-0.04880714416503906,1.1804219649769137
16,0,16,-1.0,-1.0,-0.2731327414512634,-0.1709059476852417,1.1026028111400148
17,0,17,-1.0,-1.0,-0.21714162826538086,0.0025632381439208984,1.2720063980470395
18,0,18,-1.0,-1.0,-0.28080350160598755,-0.18283939361572266,1.0885747838015212
19,0,19,-1.0,-1.0,-0.21618932485580444,-0.15988600254058838,1.1489781125840612
20,0,20,-1.0,-1.0,-0.23770159482955933,-0.02951216697692871,1.2340767774215728
21,0,21,-1.0,-1.0,-0.33213526010513306,-0.1546001434326172,1.0773784053335158
22,0,22,-1.0,-1.0,-0.310772180557251,-0.13547265529632568,1.105641224283082
23,0,23,-1.0,-1.0,-0.32679247856140137,-0.04971718788146973,1.1645796623371898
24,0,24,-1.0,-1.0,-0.32861214876174927,-0.11841630935668945,1.1081297082916763
25,0,25,-1.0,-1.0,-0.32585835456848145,-0.11792898178100586,1.1101874793416688
26,0,26,-1.0,-1.0,-0.27652329206466675,-0.13174784183502197,1.130168287063077
27,0,27,-1.0,-1.0,-0.3260827660560608,-0.152144193649292,1.083062281943776
28,0,28,-1.0,-1.0,-0.30357295274734497,-0.08621788024902344,1.1489161825484224
29,0,29,-1.0,-1.0,-0.3153981566429138,-0.08266818523406982,1.144629783951857
30,0,30,-1.0,-1.0,-0.3144589066505432,-0.03673684597015381,1.1823038926529406
31,0,31,-1.0,-1.0,-0.23849058151245117,-0.01717698574066162,1.2433172048206589
32,0,32,-1.0,-1.0,-0.28067952394485474,-0.10240483283996582,1.150260418940533
33,0,33,-1.0,-1.0,-0.34377211332321167,-0.16464412212371826,1.0622873819992107
34,0,34,-1.0,-1.0,-0.34494900703430176,-0.1058504581451416,1.1084201399219524
35,0,35,-1.0,-1.0,-0.2902008891105652,-0.10009646415710449,1.146141854938549
36,0,36,-1.0,-1.0,-0.2852092981338501,-0.07369136810302734,1.1700313794942188
37,0,37,-1.0,-1.0,-0.27349144220352173,-0.10991060733795166,1.1489446511825594
38,0,38,-1.0,-1.0,-0.2981030344963074,-0.0701451301574707,1.165027651668903
39,0,39,-1.0,-1.0,-0.23915499448776245,-0.1290111541748047,1.1565062438071065
40,0,40,-1.0,-1.0,-0.2810278534889221,-0.11920309066772461,1.1369802737726082
41,0,41,-1.0,-1.0,-0.3033580780029297,-0.18174409866333008,1.0746407248732286
42,0,42,-1.0,-1.0,-0.24798130989074707,-0.16559553146362305,1.1232822118181656
43,0,43,-1.0,-1.0,-0.3181060552597046,-0.19276535511016846,1.0566963252438675
44,0,44,-1.0,-1.0,-0.2237645983695984,-0.13898587226867676,1.1592612849988748
45,0,45,-1.0,-1.0,-0.294177770614624,-0.07993268966674805,1.1596158307984619
46,0,46,-1.0,-1.0,-0.22376984357833862,-0.10827064514160156,1.1822497612833645
47,0,47,-1.0,-1.0,-0.29516708850860596,-0.14600694179534912,1.1072910983942603
48,0,48,-1.0,-1.0,-0.2895594835281372,-0.1206052303314209,1.1305135507216446
49,0,49,-1.0,-1.0,-0.20801538228988647,-0.16133081912994385,1.1535188033277506
50,1,0,-0.8,-1.0,-0.26210957765579224,-0.1465855836868286,1.008782569447342
51,1,1,-0.8,-1.0,-0.3205947279930115,-0.11305367946624756,1.0082178288130281
52,1,2,-0.8,-1.0,-0.29691487550735474,-0.19914937019348145,0.9457570373765547
53,1,3,-0.8,-1.0,-0.256460964679718,-0.21826863288879395,0.952123213267305
54,1,4,-0.8,-1.0,-0.32600003480911255,-0.1803438663482666,0.9468432523041345
55,1,5,-0.8,-1.0,-0.35983121395111084,-0.1696171760559082,0.9398320033458731
56,1,6,-0.8,-1.0,-0.32443779706954956,-0.17855262756347656,0.949176060875395
57,1,7,-0.8,-1.0,-0.29053789377212524,-0.046831369400024414,1.080778458353966
58,1,8,-0.8,-1.0,-0.12305468320846558,-0.127496600151062,1.1043175017511706
59,1,9,-0.8,-1.0,-0.3487004041671753,-0.16855788230895996,0.9460271244892676
60,1,10,-0.8,-1.0,-0.2871900796890259,-0.2282271385192871,0.9266106863658952
61,1,11,-0.8,-1.0,-0.33278560638427734,-0.20483601093292236,0.922266262589484
62,1,12,-0.8,-1.0,-0.33614426851272583,-0.24011635780334473,0.8902725926993645
63,1,13,-0.8,-1.0,-0.3203367590904236,-0.1757526397705078,0.953656403284309
64,1,14,-0.8,-1.0,-0.2972468137741089,-0.1629561185836792,0.9764236916814264
65,1,15,-0.8,-1.0,-0.31124311685562134,-0.10406076908111572,1.020583360789568
66,1,16,-0.8,-1.0,-0.291151225566864,-0.16019046306610107,0.9819404939033904
67,1,17,-0.8,-1.0,-0.2586038112640381,-0.1540316343307495,1.0043765772313331
68,1,18,-0.8,-1.0,-0.30155837535858154,-0.00706171989440918,1.111022268577109
69,1,19,-0.8,-1.0,-0.30674928426742554,-0.17012643814086914,0.9653944257366818
70,1,20,-0.8,-1.0,-0.3349549174308777,-0.12372791767120361,0.9920280697090011
71,1,21,-0.8,-1.0,-0.33465152978897095,-0.21395611763000488,0.913462743487133
