sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.19084903597831726,0.17340920865535736,1.4253471343972353
1,0,1,-1.0,-1.0,-0.1772283911705017,0.02081320621073246,1.3111112547263548
2,0,2,-1.0,-1.0,-0.15581810474395752,-0.007845718413591385,1.3026945884390273
3,0,3,-1.0,-1.0,-0.19609519839286804,0.0001529254950582981,1.283186971732228
4,0,4,-1.0,-1.0,-0.1661105751991272,0.10288411378860474,1.3826514171120667
5,0,5,-1.0,-1.0,-0.1662723422050476,-0.004471651744097471,1.298529360297018
6,0,6,-1.0,-1.0,-0.1458987593650818,0.10748111456632614,1.398571896033657
7,0,7,-1.0,-1.0,-0.16466177999973297,0.03915635496377945,1.3332801175502553
8,0,8,-1.0,-1.0,-0.16938820481300354,-0.0051850867457687855,1.2959832815035806
9,0,9,-1.0,-1.0,-0.17728354036808014,-0.024375228211283684,1.27620769010262
10,0,10,-1.0,-1.0,-0.1910374015569687,0.00789029709994793,1.292386682331539
11,0,11,-1.0,-1.0,-0.15394973754882812,0.011052524670958519,1.3183429956719215
12,0,12,-1.0,-1.0,-0.1524600386619568,0.06948791444301605,1.3645982504768808
13,0,13,-1.0,-1.0,-0.2537340819835663,-0.019375644624233246,1.2322893113019557
14,0,14,-1.0,-1.0,-0.16343168914318085,0.02920329011976719,1.3263129159904856
15,0,15,-1.0,-1.0,-0.17456737160682678,-0.008960643783211708,1.289766657030119
16,0,16,-1.0,-1.0,-0.16498270630836487,0.10894196480512619,1.3881664749121252
17,0,17,-1.0,-1.0,-0.169279545545578,0.01297827623784542,1.310046358560932
18,0,18,-1.0,-1.0,-0.1852792501449585,0.0480983629822731,1.3275089750093902
19,0,19,-1.0,-1.0,-0.12225838750600815,0.20133240520954132,1.487827236647486
20,0,20,-1.0,-1.0,-0.1863843947649002,0.024391192942857742,1.3081848757958368
21,0,21,-1.0,-1.0,-0.19016674160957336,0.07904539257287979,1.3491363406372299
22,0,22,-1.0,-1.0,-0.16134676337242126,0.03667524456977844,1.33342971843653
23,0,23,-1.0,-1.0,-0.19628989696502686,-0.009031269699335098,1.2759188666032801
24,0,24,-1.0,-1.0,-0.20088687539100647,-0.00821634940803051,1.2736626694316995
25,0,25,-1.0,-1.0,-0.17456388473510742,-0.006887872237712145,1.2913622569566356
26,0,26,-1.0,-1.0,-0.16927790641784668,-0.0028990949504077435,1.2978094666075726
27,0,27,-1.0,-1.0,-0.21861404180526733,0.05475659668445587,1.3126597022508448
28,0,28,-1.0,-1.0,-0.16370536386966705,-0.0019268686883151531,1.3021285243272562
29,0,29,-1.0,-1.0,-0.17778046429157257,-0.004372767638415098,1.2912468976615477
30,0,30,-1.0,-1.0,-0.17437216639518738,-0.0038997544907033443,1.293783992298041
31,0,31,-1.0,-1.0,-0.1917230486869812,0.02778122015297413,1.3075342697317744
32,0,32,-1.0,-1.0,-0.14892789721488953,0.0744943618774414,1.3707158195065379
33,0,33,-1.0,-1.0,-0.17038679122924805,0.04643447697162628,1.3353962673161044
34,0,34,-1.0,-1.0,-0.1915450096130371,-0.015792502090334892,1.2736812279464544
35,0,35,-1.0,-1.0,-0.16090860962867737,0.024554334580898285,1.3243058354865715
36,0,36,-1.0,-1.0,-0.17474474012851715,0.035831376910209656,1.3243839644669704
37,0,37,-1.0,-1.0,-0.15473595261573792,0.12871676683425903,1.4101322099481337
38,0,38,-1.0,-1.0,-0.17256851494312286,0.012700706720352173,1.3077482876514614
39,0,39,-1.0,-1.0,-0.16281920671463013,0.0851224735379219,1.3705336417698688
40,0,40,-1.0,-1.0,-0.15788030624389648,0.0036518205888569355,1.3101460054448897
41,0,41,-1.0,-1.0,-0.14200663566589355,0.005534301977604628,1.3218365427294507
42,0,42,-1.0,-1.0,-0.14159029722213745,0.025924140587449074,1.3376799168946487
43,0,43,-1.0,-1.0,-0.17943641543388367,0.07923819869756699,1.35575797465623
44,0,44,-1.0,-1.0,-0.13957901298999786,0.09798090904951096,1.3949503043207154
45,0,45,-1.0,-1.0,-0.1735767424106598,0.0241147018969059,1.3159735268332586
46,0,46,-1.0,-1.0,-0.15301541984081268,0.009511280804872513,1.3177617026988335
47,0,47,-1.0,-1.0,-0.14689749479293823,0.046144381165504456,1.3498896068326185
48,0,48,-1.0,-1.0,-0.15443618595600128,-0.008935462683439255,1.3027613291570803
49,0,49,-1.0,-1.0,-0.14159831404685974,0.1664469689130783,1.4482582593355722
50,1,0,-0.8,-1.0,-0.16014373302459717,0.12222392112016678,1.2918214162654296
51,1,1,-0.8,-1.0,-0.16490861773490906,0.10247331112623215,1.2723161814474504
52,1,2,-0.8,-1.0,-0.15917547047138214,0.1576693207025528,1.323198523934139
53,1,3,-0.8,-1.0,-0.10514262318611145,0.12523223459720612,1.3224879416801123
54,1,4,-0.8,-1.0,-0.17890840768814087,0.11646038293838501,1.2775909175911537
55,1,5,-0.8,-1.0,-0.1654335856437683,0.08773606270551682,1.2593030915307977
56,1,6,-0.8,-1.0,-0.15433171391487122,0.11973220854997635,1.292550871153749
57,1,7,-0.8,-1.0,-0.16226422786712646,0.10536033660173416,1.2761380759111498
58,1,8,-0.8,-1.0,-0.12943223118782043,0.22856572270393372,1.3996552674043647
59,1,9,-0.8,-1.0,-0.21225383877754211,0.10964548587799072,1.2556905089874406
60,1,10,-0.8,-1.0,-0.15241682529449463,0.147612527012825,1.3177171473113731
61,1,11,-0.8,-1.0,-0.15300352871418,0.1550852507352829,1.323943492118336
62,1,12,-0.8,-1.0,-0.23901253938674927,0.13484089076519012,1.2659268455633736
63,1,13,-0.8,-1.0,-0.15191498398780823,0.12027871608734131,1.2942328189695333
64,1,14,-0.8,-1.0,-0.14577531814575195,0.12603001296520233,1.3022878039994483
65,1,15,-0.8,-1.0,-0.16891951858997345,-0.01965988241136074,1.1659027919043756
66,1,16,-0.8,-1.0,-0.15018850564956665,0.07662535458803177,1.2575281835138918
67,1,17,-0.8,-1.0,-0.169810950756073,0.138077512383461,1.3009068613778203
68,1,18,-0.8,-1.0,-0.19944298267364502,0.24143949151039124,1.379072420919767
69,1,19,-0.8,-1.0,-0.18277162313461304,0.2111579030752182,1.3593654164312994
70,1,20,-0.8,-1.0,-0.15522676706314087,0.1078953817486763,1.2818598592716344
71,1,21,-0.8,-1.0,-0.23349317908287048,0.12455286085605621,1.259185893744515
72,1,22,-0.8,-1.0,-0.22198370099067688,0.14454837143421173,1.2822222180547105
73,1,23,-0.8,-1.0,-0.19630920886993408,0.04802148416638374,1.2094592190601363
74,1,24,-0.8,-1.0,-0.1552562713623047,0.19730447232723236,1.359864873828437
75,1,25,-0.8,-1.0,-0.17462177574634552,0.05675193667411804,1.2279342730924785
76,1,26,-0.8,-1.0,-0.1471097767353058,0.09444906562566757,1.274395700276613
77,1,27,-0.8,-1.0,-0.1528944969177246,0.1061987355351448,1.2815698087185567
78,1,28,-0.8,-1.0,-0.15179233253002167,0.13485218584537506,1.3069287141557857
79,1,29,-0.8,-1.0,-0.13695049285888672,0.15456882119178772,1.331414214956513
80,1,30,-0.8,-1.0,-0.07851879298686981,0.32980185747146606,1.5129137821461225
81,1,31,-0.8,-1.0,-0.14175206422805786,0.0766056701540947,1.26189148263865
82,1,32,-0.8,-1.0,-0.17248713970184326,0.1265881210565567,1.289563175786792
83,1,33,-0.8,-1.0,-0.14328519999980927,0.16742770373821259,1.3394632402551279
84,1,34,-0.8,-1.0,-0.15589730441570282,0.1453208178281784,1.3140121986532565
85,1,35,-0.8,-1.0,-0.20557716488838196,0.13164840638637543,1.2782670388377215
86,1,36,-0.8,-1.0,-0.18555909395217896,0.07973414659500122,1.2423217998361387
87,1,37,-0.8,-1.0,-0.15544867515563965,0.1539171189069748,1.3217303536142284
88,1,38,-0.8,-1.0,-0.1739102602005005,0.11430932581424713,1.2781524306117824
89,1,39,-0.8,-1.0,-0.11566688865423203,0.13646747171878815,1.3266009654598754
90,1,40,-0.8,-1.0,-0.18204545974731445,0.08300986886024475,1.2469074504018303
91,1,41,-0.8,-1.0,-0.19495755434036255,0.10430494695901871,1.2591925098760541
92,1,42,-0.8,-1.0,-0.15650193393230438,0.1686762571334839,1.3341266637843625
93,1,43,-0.8,-1.0,-0.14888674020767212,0.10201911628246307,1.2799978944238044
