sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.13896766304969788,-0.07852428406476974,1.261147961316373
1,0,1,-1.0,-1.0,-0.2354964315891266,-0.156448096036911,1.13843995045532
2,0,2,-1.0,-1.0,-0.19400274753570557,-0.06406255811452866,1.2351560492921985
3,0,3,-1.0,-1.0,-0.1745266318321228,-0.03279169648885727,1.2715731138771857
4,0,4,-1.0,-1.0,-0.16515925526618958,-0.05456910282373428,1.2612686670187372
5,0,5,-1.0,-1.0,-0.17713767290115356,-0.04418593645095825,1.2612227929420958
6,0,6,-1.0,-1.0,-0.17125284671783447,-0.0910295695066452,1.2300606032161863
7,0,7,-1.0,-1.0,-0.16903218626976013,-0.06450674682855606,1.2512614172046168
8,0,8,-1.0,-1.0,-0.17576077580451965,-0.042383939027786255,1.2634867703835706
9,0,9,-1.0,-1.0,-0.22628358006477356,-0.12062235921621323,1.1712993356046277
10,0,10,-1.0,-1.0,-0.17581766843795776,-0.03378329426050186,1.2699808022600705
11,0,11,-1.0,-1.0,-0.1644037663936615,-0.049626030027866364,1.2654768857698242
12,0,12,-1.0,-1.0,-0.19146788120269775,-0.1086893156170845,1.2033947495406467
13,0,13,-1.0,-1.0,-0.11014660447835922,-0.01197967492043972,1.329670345721718
14,0,14,-1.0,-1.0,-0.19953739643096924,-0.12831571698188782,1.1834584356762647
15,0,15,-1.0,-1.0,-0.2339472770690918,-0.09849239140748978,1.183026940800608
16,0,16,-1.0,-1.0,-0.1437087059020996,-0.08208226412534714,1.2553118139255703
17,0,17,-1.0,-1.0,-0.20264622569084167,-0.1006055548787117,1.20194983644081
18,0,18,-1.0,-1.0,-0.17121395468711853,-0.040411897003650665,1.2679493823956451
19,0,19,-1.0,-1.0,-0.15899130702018738,-0.14096729457378387,1.202178360585274
20,0,20,-1.0,-1.0,-0.2052781879901886,-0.139225572347641,1.1715440127389172
21,0,21,-1.0,-1.0,-0.28282639384269714,-0.11917296797037125,1.1358671760918153
22,0,22,-1.0,-1.0,-0.18303966522216797,-0.09473003447055817,1.21940063108479
23,0,23,-1.0,-1.0,-0.17046606540679932,-0.023035528138279915,1.2816341630596955
24,0,24,-1.0,-1.0,-0.18214151263237,-0.0576377809047699,1.247773640263872
25,0,25,-1.0,-1.0,-0.24697887897491455,-0.09331662952899933,1.1786074592494866
26,0,26,-1.0,-1.0,-0.1674695611000061,-0.022528396919369698,1.2839617075769953
27,0,27,-1.0,-1.0,-0.12612465023994446,-0.08290915936231613,1.2667729618600931
28,0,28,-1.0,-1.0,-0.20070281624794006,-0.09513621777296066,1.2073336126937728
29,0,29,-1.0,-1.0,-0.18146222829818726,-0.05147656798362732,1.2528770030560412
30,0,30,-1.0,-1.0,-0.15722164511680603,-0.01163182221353054,1.2989022327798843
31,0,31,-1.0,-1.0,-0.16698947548866272,-0.09008140861988068,1.2336362417203193
32,0,32,-1.0,-1.0,-0.2208041250705719,-0.16772332787513733,1.1401011667699814
33,0,33,-1.0,-1.0,-0.2578072249889374,-0.11140570789575577,1.1577780146638061
34,0,34,-1.0,-1.0,-0.16275253891944885,-0.029211310669779778,1.2819570938285398
35,0,35,-1.0,-1.0,-0.2000015377998352,-0.12148583680391312,1.188185454572959
36,0,36,-1.0,-1.0,-0.22519850730895996,-0.15100055932998657,1.1493987138213873
37,0,37,-1.0,-1.0,-0.17546850442886353,-0.10801991075277328,1.214693651420911
38,0,38,-1.0,-1.0,-0.1925627589225769,-0.08779585361480713,1.2182246520905162
39,0,39,-1.0,-1.0,-0.17313224077224731,-0.13621583580970764,1.195756402264377
40,0,40,-1.0,-1.0,-0.22799944877624512,-0.14136457443237305,1.1546599694842985
41,0,41,-1.0,-1.0,-0.2632558047771454,-0.1233765110373497,1.1451029432307043
42,0,42,-1.0,-1.0,-0.1670997440814972,-0.1316789984703064,1.2032058003544688
43,0,43,-1.0,-1.0,-0.1471213400363922,-0.08493846654891968,1.2508955266620638
44,0,44,-1.0,-1.0,-0.1646798849105835,-0.12012851983308792,1.2132326719488347
45,0,45,-1.0,-1.0,-0.21515297889709473,-0.13977175951004028,1.1644644572809237
46,0,46,-1.0,-1.0,-0.18635687232017517,-0.04668378084897995,1.2533263553109395
47,0,47,-1.0,-1.0,-0.2728247344493866,-0.12802378833293915,1.1353970145027878
48,0,48,-1.0,-1.0,-0.2509170174598694,-0.10211304575204849,1.1693272840996571
49,0,49,-1.0,-1.0,-0.21214735507965088,-0.13832910358905792,1.1675566469467877
50,1,0,-0.8,-1.0,-0.14955869317054749,-0.10281943529844284,1.1081547091034767
51,1,1,-0.8,-1.0,-0.16597074270248413,-0.11758754402399063,1.0865748209722386
52,1,2,-0.8,-1.0,-0.16450312733650208,-0.13723815977573395,1.0715476042212255
53,1,3,-0.8,-1.0,-0.2751633822917938,-0.12669409811496735,1.0188801075468203
54,1,4,-0.8,-1.0,-0.15646931529045105,-0.10366673022508621,1.10342424872219
55,1,5,-0.8,-1.0,-0.1717226207256317,-0.10494335740804672,1.0935533177471723
56,1,6,-0.8,-1.0,-0.22786203026771545,-0.1363556832075119,1.0359649426198476
57,1,7,-0.8,-1.0,-0.16653668880462646,-0.12294679135084152,1.0818956037586949
58,1,8,-0.8,-1.0,-0.10598697513341904,-0.12406749278306961,1.117547241007645
59,1,9,-0.8,-1.0,-0.15769794583320618,-0.11641807109117508,1.092368506448773
60,1,10,-0.8,-1.0,-0.13535434007644653,-0.139027401804924,1.0876707535361956
61,1,11,-0.8,-1.0,-0.21249350905418396,-0.153765007853508,1.0301832549777927
62,1,12,-0.8,-1.0,-0.12063739448785782,-0.1183418557047844,1.113038468863646
63,1,13,-0.8,-1.0,-0.16671770811080933,-0.10564786940813065,1.0958613939338506
64,1,14,-0.8,-1.0,-0.17600569128990173,-0.11635371297597885,1.0817576705870553
65,1,15,-0.8,-1.0,-0.15376827120780945,-0.027749208733439445,1.167427534546019
66,1,16,-0.8,-1.0,-0.1506066620349884,-0.0974004939198494,1.1119341598176897
67,1,17,-0.8,-1.0,-0.15867972373962402,-0.11203370243310928,1.095342796734126
68,1,18,-0.8,-1.0,-0.06192267686128616,-0.0866517424583435,1.174292627280777
69,1,19,-0.8,-1.0,-0.12677636742591858,-0.08598855882883072,1.1351858764308336
70,1,20,-0.8,-1.0,-0.17366495728492737,-0.10413303226232529,1.0931025613438052
71,1,21,-0.8,-1.0,-0.1079728826880455,-0.10290367156267166,1.1329975082015091
72,1,22,-0.8,-1.0,-0.19820329546928406,-0.10844298452138901,1.0756547705621715
73,1,23,-0.8,-1.0,-0.16286763548851013,-0.07004326581954956,1.1272786600284648
74,1,24,-0.8,-1.0,-0.14954116940498352,-0.12543277442455292,1.0899378525171843
75,1,25,-0.8,-1.0,-0.16244927048683167,-0.028138024732470512,1.1623195049871948
76,1,26,-0.8,-1.0,-0.1656242311000824,-0.15313711762428284,1.0581159471972197
77,1,27,-0.8,-1.0,-0.15500396490097046,-0.10144699364900589,1.1060819999059195
78,1,28,-0.8,-1.0,-0.272396445274353,-0.1481296420097351,1.0020222641147256
79,1,29,-0.8,-1.0,-0.1954205334186554,-0.1458100974559784,1.0464973583435118
80,1,30,-0.8,-1.0,-0.1723947823047638,-0.10423944145441055,1.093743702850074
81,1,31,-0.8,-1.0,-0.16136780381202698,-0.11057526618242264,1.0949554507532908
82,1,32,-0.8,-1.0,-0.14899805188179016,-0.11028524488210678,1.102449945316429
83,1,33,-0.8,-1.0,-0.1371871531009674,-0.1132475957274437,1.1070910967474896
84,1,34,-0.8,-1.0,-0.18038219213485718,-0.16618110239505768,1.0388359744573377
85,1,35,-0.8,-1.0,-0.13701701164245605,-0.14928069710731506,1.078549848252604
86,1,36,-0.8,-1.0,-0.15240693092346191,-0.030319614335894585,1.1660432382453312
87,1,37,-0.8,-1.0,-0.14571532607078552,-0.10307738929986954,1.1102065592149042
88,1,38,-0.8,-1.0,-0.1523553431034088,-0.09511145204305649,1.1127744092269236
89,1,39,-0.8,-1.0,-0.14169281721115112,-0.12081090360879898,1.098335929542764
90,1,40,-0.8,-1.0,-0.1475490927696228,-0.10903774946928024,1.1043124187549949
91,1,41,-0.8,-1.0,-0.11880316585302353,-0.054081566631793976,1.165671827504476
92,1,42,-0.8,-1.0,-0.11602509766817093,-0.10059616714715958,1.1299331491598144
93,1,43,-0.8,-1.0,-0.17337870597839355,-0.10723348706960678,1.0907274144951187
94,1,44,-0.8,-1.0,-0.21353697776794434,-0.10030175000429153,1.0739626704364063
95,1,45,-0.8,-1.0,-0.1477012038230896,-0.1316913217306137,1.0860265559606612
96,1,46,-0.8,-1.0,-0.28136491775512695,-0.15416932106018066,0.992175330257179
97,1,47,-0.8,-1.0,-0.15910521149635315,-0.12675973773002625,1.0831872809355116
98,1,48,-0.8,-1.0,-0.14635169506072998,-0.09401793032884598,1.1171658861223828
99,1,49,-0.8,-1.0,-0.16676372289657593,-0.0531119778752327,1.1391159331179415
100,2,0,-0.6,-1.0,-0.2758488953113556,-0.10289650410413742,0.9538703376347575
101,2,1,-0.6,-1.0,-0.2685973346233368,-0.07228118926286697,0.9851344671740386
102,2,2,-0.6,-1.0,-0.2519610524177551,-0.08267050236463547,0.9811343008304759
103,2,3,-0.6,-1.0,-0.328268826007843,-0.16487130522727966,0.8782242126882767
104,2,4,-0.6,-1.0,-0.2267906665802002,-0.044964663684368134,1.0253671050717217
105,2,5,-0.6,-1.0,-0.31328505277633667,-0.15951913595199585,0.8880391566774225
106,2,6,-0.6,-1.0,-0.21387043595314026,-0.035150595009326935,1.039245117641586
107,2,7,-0.6,-1.0,-0.24437469244003296,-0.06561435014009476,0.9997729252391457
108,2,8,-0.6,-1.0,-0.2226296067237854,-0.04914797097444534,1.02299950871125
109,2,9,-0.6,-1.0,-0.2844220995903015,-0.10335015505552292,0.9505631781559543
110,2,10,-0.6,-1.0,-0.2410266399383545,-0.13854867219924927,0.9332525185627008
111,2,11,-0.6,-1.0,-0.24091854691505432,-0.09876155108213425,0.9701392847202285
112,2,12,-0.6,-1.0,-0.2714890241622925,-0.08293401449918747,0.9741301160565868
113,2,13,-0.6,-1.0,-0.24777105450630188,-0.06724867224693298,0.9970407561723402
114,2,14,-0.6,-1.0,-0.26301807165145874,-0.07678908854722977,0.9827895029246884
115,2,15,-0.6,-1.0,-0.21715375781059265,-0.09899904578924179,0.9789657627553924
116,2,16,-0.6,-1.0,-0.197855144739151,-0.0520147904753685,1.0297555253992223
117,2,17,-0.6,-1.0,-0.2633691728115082,-0.09592703729867935,0.9647114779565711
118,2,18,-0.6,-1.0,-0.3168143332004547,-0.15615953505039215,0.8900903617987745
119,2,19,-0.6,-1.0,-0.25983375310897827,-0.08917005360126495,0.9722778752911362
120,2,20,-0.6,-1.0,-0.2459491491317749,-0.08462518453598022,0.981459656728845
121,2,21,-0.6,-1.0,-0.24716287851333618,-0.05946497619152069,1.0045397778631824
122,2,22,-0.6,-1.0,-0.2546427249908447,-0.04937520623207092,1.0114144283764528
123,2,23,-0.6,-1.0,-0.2760787010192871,-0.07748661190271378,0.9777300031972459
124,2,24,-0.6,-1.0,-0.21221941709518433,-0.028210358694195747,1.0463024837145625
125,2,25,-0.6,-1.0,-0.29585519433021545,-0.13999448716640472,0.912202578882611
126,2,26,-0.6,-1.0,-0.28208473324775696,-0.07963886111974716,0.9737221075826027
127,2,27,-0.6,-1.0,-0.2723565101623535,-0.07452251762151718,0.9817631215433827
128,2,28,-0.6,-1.0,-0.23339474201202393,-0.04473618417978287,1.023195178350559
129,2,29,-0.6,-1.0,-0.25614723563194275,-0.06369752436876297,0.9974452613736444
130,2,30,-0.6,-1.0,-0.21284961700439453,-0.029628196731209755,1.044752054620027
131,2,31,-0.6,-1.0,-0.26032301783561707,-0.06955712288618088,0.9905071427224258
132,2,32,-0.6,-1.0,-0.205333411693573,-0.05865686386823654,1.0207294528266628
133,2,33,-0.6,-1.0,-0.24352455139160156,-0.03679665923118591,1.0270518103429658
134,2,34,-0.6,-1.0,-0.155531644821167,-0.05071156471967697,1.048189225336886
135,2,35,-0.6,-1.0,-0.23238220810890198,-0.061117298901081085,1.0082874428146413
136,2,36,-0.6,-1.0,-0.253938227891922,-0.054020605981349945,1.0072913004798938
137,2,37,-0.6,-1.0,-0.25098806619644165,-0.03722149878740311,1.024085822738736
138,2,38,-0.6,-1.0,-0.18286657333374023,-0.02118776924908161,1.0639895106202528
139,2,39,-0.6,-1.0,-0.26403412222862244,-0.07247793674468994,0.9864939172909681
140,2,40,-0.6,-1.0,-0.23541447520256042,-0.03554132580757141,1.031068930342119
141,2,41,-0.6,-1.0,-0.26561975479125977,-0.11905433982610703,0.9422714070611892
142,2,42,-0.6,-1.0,-0.22516372799873352,-0.03698386251926422,1.0333935900014684
143,2,43,-0.6,-1.0,-0.2575393617153168,-0.07243456691503525,0.9887653520570241
144,2,44,-0.6,-1.0,-0.19721093773841858,-0.01754266954958439,1.0618198692967282
145,2,45,-0.6,-1.0,-0.2682441174983978,-0.06832882016897202,0.9889758100692637
146,2,46,-0.6,-1.0,-0.23665663599967957,-0.06569904088973999,1.0024653023209438
147,2,47,-0.6,-1.0,-0.23453015089035034,-0.08451318740844727,0.9857404905132339
148,2,48,-0.6,-1.0,-0.244798481464386,-0.04867735505104065,1.015471759116269
149,2,49,-0.6,-1.0,-0.21101301908493042,-0.08216216415166855,0.9968636638157543
150,3,0,-0.4,-1.0,-0.01918720453977585,0.06000877171754837,1.1263378628566014
151,3,1,-0.4,-1.0,-0.0005749668926000595,0.07876624912023544,1.1503377666206518
152,3,2,-0.4,-1.0,0.07065609842538834,0.0360860675573349,1.1379769340243373
