sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.04958971217274666,0.14944106340408325,1.4914739265060561
1,0,1,-1.0,-1.0,-0.05737018026411533,0.08230752870440483,1.4352493036910148
2,0,2,-1.0,-1.0,-0.04490783754736184,0.0569651260972023,1.424561798085338
3,0,3,-1.0,-1.0,-0.058761650677770366,0.04477587461471557,1.4062312250877447
4,0,4,-1.0,-1.0,-0.036998248646035785,0.04287184336781501,1.4194907730591935
5,0,5,-1.0,-1.0,-0.028651468167267734,0.04073738968670367,1.4236053823252768
6,0,6,-1.0,-1.0,-0.013762829995844507,0.0037211486837267806,1.4071673318453586
7,0,7,-1.0,-1.0,-0.02219691046345792,0.0006325405859649133,1.3990583844810514
8,0,8,-1.0,-1.0,-0.039295154986659614,-0.02742301291062534,1.3670624693290179
9,0,9,-1.0,-1.0,-0.051708833102897755,-0.02951118194643527,1.3568731271500931
10,0,10,-1.0,-1.0,-0.06702683469371117,-0.012329805299726217,1.3586505587092335
11,0,11,-1.0,-1.0,-0.05442332794766904,-0.02009317441141701,1.3617388257535492
12,0,12,-1.0,-1.0,-0.038650476181019314,-0.034491294268263056,1.3624976946001615
13,0,13,-1.0,-1.0,-0.07479854650344081,-0.006720569034859413,1.3574246784004553
14,0,14,-1.0,-1.0,-0.056178767819523204,-0.01677925068667671,1.3629092266893368
15,0,15,-1.0,-1.0,-0.059936780519806915,-0.004635197544811156,1.3691128319412256
16,0,16,-1.0,-1.0,-0.04216085600482076,0.004727245656348675,1.3881400015609415
17,0,17,-1.0,-1.0,-0.03812477393039718,-0.0025400391207256057,1.385687671910136
18,0,18,-1.0,-1.0,-0.04133579489749727,0.026161149174940317,1.4042947561750871
19,0,19,-1.0,-1.0,0.021788350244229628,-0.008188028612057162,1.423988208969183
20,0,20,-1.0,-1.0,-0.0024197000514408797,-0.026140210911456598,1.394119558592103
21,0,21,-1.0,-1.0,-0.019137297200725337,-0.03539277317064672,1.3757029998492094
22,0,22,-1.0,-1.0,-0.020191012957986296,-0.042858550860051,1.3697245725875034
23,0,23,-1.0,-1.0,-0.04615673213949528,-0.039105228895440276,1.353933432920131
24,0,24,-1.0,-1.0,-0.06505785512750853,-0.010534674917803407,1.3613076227652559
25,0,25,-1.0,-1.0,-0.0645425055372502,-0.04012149641573662,1.340316181201171
26,0,26,-1.0,-1.0,-0.05977365759645401,-0.02309341963392659,1.355865790449809
27,0,27,-1.0,-1.0,-0.06633102939868121,-0.0219106016346168,1.3521821688879363
28,0,28,-1.0,-1.0,-0.06777557986419304,-0.03072115271805187,1.344821123155702
