sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
1,0,1,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
2,0,2,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
3,0,3,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
4,0,4,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
5,0,5,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
6,0,6,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
7,0,7,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
8,0,8,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
9,0,9,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
10,0,10,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
11,0,11,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
12,0,12,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
13,0,13,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
14,0,14,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
15,0,15,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
16,0,16,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
17,0,17,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
18,0,18,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
19,0,19,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
20,0,20,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
21,0,21,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
22,0,22,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
23,0,23,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
24,0,24,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
25,0,25,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
26,0,26,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
27,0,27,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
28,0,28,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
29,0,29,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
30,0,30,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
31,0,31,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
32,0,32,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
33,0,33,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
34,0,34,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
35,0,35,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
36,0,36,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
37,0,37,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
38,0,38,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
39,0,39,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
40,0,40,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
41,0,41,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
42,0,42,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
43,0,43,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
44,0,44,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
45,0,45,-1.0,-1.0,-0.035061207599937916,-0.03922860510647297,1.3616859205867349
