sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.23890450596809387,0.02301603928208351,1.2750796711045442
1,0,1,-1.0,-1.0,-0.2388274222612381,-0.04368627816438675,1.2222600491190712
2,0,2,-1.0,-1.0,-0.2615172863006592,0.017715811729431152,1.2574188609516073
3,0,3,-1.0,-1.0,-0.2767544686794281,0.024899112060666084,1.2543931953251015
4,0,4,-1.0,-1.0,-0.24637733399868011,0.05412614718079567,1.2958121225243904
5,0,5,-1.0,-1.0,-0.25249138474464417,0.03696944937109947,1.2783093400308005
6,0,6,-1.0,-1.0,-0.23319269716739655,-0.03526393696665764,1.23235916477076
7,0,7,-1.0,-1.0,-0.25959107279777527,-8.792150765657425e-05,1.2441983540399126
8,0,8,-1.0,-1.0,-0.24102076888084412,-0.027917591854929924,1.2332857258135048
9,0,9,-1.0,-1.0,-0.2716546654701233,0.054660480469465256,1.2817159027629803
10,0,10,-1.0,-1.0,-0.2852652966976166,0.016238519921898842,1.2424115362784578
11,0,11,-1.0,-1.0,-0.24280625581741333,-0.025886408984661102,1.2337907660661283
12,0,12,-1.0,-1.0,-0.22930829226970673,-0.024690546095371246,1.2430584214911145
13,0,13,-1.0,-1.0,-0.34100836515426636,-0.000237985048443079,1.197411400203226
14,0,14,-1.0,-1.0,-0.22447368502616882,-0.0486750453710556,1.227379417505709
15,0,15,-1.0,-1.0,-0.26469677686691284,0.06398008018732071,1.293338486624953
16,0,16,-1.0,-1.0,-0.251490980386734,0.023812033236026764,1.268249514820053
17,0,17,-1.0,-1.0,-0.2579144835472107,-0.011285061948001385,1.2362233384207606
18,0,18,-1.0,-1.0,-0.29098600149154663,-0.03262445330619812,1.1993816316844599
19,0,19,-1.0,-1.0,-0.1755751222372055,0.07867446541786194,1.3576505372954812
20,0,20,-1.0,-1.0,-0.26046717166900635,-0.05549986660480499,1.1995788036485056
21,0,21,-1.0,-1.0,-0.2880391478538513,0.0275043323636055,1.2500613616997562
22,0,22,-1.0,-1.0,-0.22431224584579468,-0.05649083852767944,1.221434005473483
23,0,23,-1.0,-1.0,-0.26201140880584717,0.036735326051712036,1.272575065375823
24,0,24,-1.0,-1.0,-0.28766995668411255,0.03042835369706154,1.2526758091035568
25,0,25,-1.0,-1.0,-0.26727378368377686,-0.0024355044588446617,1.2377490177097166
26,0,26,-1.0,-1.0,-0.27065202593803406,0.005737770348787308,1.2423594206084019
27,0,27,-1.0,-1.0,-0.3038971424102783,-0.032293081283569336,1.1920637016855369
28,0,28,-1.0,-1.0,-0.244288831949234,-0.041018545627593994,1.2209606051576227
29,0,29,-1.0,-1.0,-0.25660407543182373,0.04028116911649704,1.2786017407633072
30,0,30,-1.0,-1.0,-0.24542921781539917,0.07801668345928192,1.3158636081080857
31,0,31,-1.0,-1.0,-0.26538142561912537,-0.026009267196059227,1.219968195246641
32,0,32,-1.0,-1.0,-0.1990540325641632,-0.048597302287817,1.2436565184831976
33,0,33,-1.0,-1.0,-0.22123178839683533,0.014005308970808983,1.2785486670536157
34,0,34,-1.0,-1.0,-0.2674556374549866,0.029908981174230576,1.2638566978102468
35,0,35,-1.0,-1.0,-0.23252707719802856,-0.052245885133743286,1.2195296427230142
36,0,36,-1.0,-1.0,-0.2501099705696106,-0.03021736443042755,1.2258929058002483
37,0,37,-1.0,-1.0,-0.19376592338085175,-0.018604207783937454,1.270098849413432
38,0,38,-1.0,-1.0,-0.25053420662879944,0.011155961081385612,1.258624389190017
39,0,39,-1.0,-1.0,-0.24436651170253754,-0.007023445330560207,1.2477918122666867
40,0,40,-1.0,-1.0,-0.23139721155166626,-0.04962845891714096,1.2222750559963016
41,0,41,-1.0,-1.0,-0.2008288949728012,-0.03761627897620201,1.2509423973956617
42,0,42,-1.0,-1.0,-0.21216219663619995,0.00562070868909359,1.277482451602938
43,0,43,-1.0,-1.0,-0.2376992404460907,0.02638726681470871,1.2785043095335404
44,0,44,-1.0,-1.0,-0.20464110374450684,-0.0005818326026201248,1.2772753998949067
45,0,45,-1.0,-1.0,-0.2513740360736847,-0.059149615466594696,1.2023478198679705
46,0,46,-1.0,-1.0,-0.2364671379327774,0.03073859214782715,1.2827332056197225
47,0,47,-1.0,-1.0,-0.23675702512264252,-0.03084273263812065,1.2336148700384508
48,0,48,-1.0,-1.0,-0.2429809421300888,-0.005839215591549873,1.249573334876298
49,0,49,-1.0,-1.0,-0.1929016411304474,-0.0005505857989192009,1.2846427100313957
50,1,0,-0.8,-1.0,-0.19978013634681702,0.031980834901332855,1.193837647390757
51,1,1,-0.8,-1.0,-0.1963973492383957,-0.07654007524251938,1.1032290753236733
52,1,2,-0.8,-1.0,-0.22239790856838226,-0.033092278987169266,1.126292465117478
53,1,3,-0.8,-1.0,-0.18330523371696472,-0.07447771728038788,1.1121618275104612
