sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.3413926064968109,0.0311167910695076,1.2235054293310443
1,0,1,-1.0,-1.0,-0.31481242179870605,-0.01355642918497324,1.201063252174362
2,0,2,-1.0,-1.0,-0.3188784122467041,-0.03924082964658737,1.1777031887202092
3,0,3,-1.0,-1.0,-0.32859835028648376,-0.04657457023859024,1.1661047231504382
4,0,4,-1.0,-1.0,-0.3355017304420471,-0.03438269719481468,1.1721666800085535
5,0,5,-1.0,-1.0,-0.3300444185733795,-0.047402456402778625,1.1645954495669908
6,0,6,-1.0,-1.0,-0.3113735020160675,-0.033734068274497986,1.1865396346262385
7,0,7,-1.0,-1.0,-0.3361039161682129,-0.061553724110126495,1.1495387870179743
8,0,8,-1.0,-1.0,-0.31536921858787537,-0.015327257104218006,1.199291339691436
9,0,9,-1.0,-1.0,-0.34246179461479187,-0.029819104820489883,1.1720100088789838
10,0,10,-1.0,-1.0,-0.3424553871154785,-0.05032955855131149,1.155092578668395
11,0,11,-1.0,-1.0,-0.3279470205307007,-0.047773927450180054,1.1654997642458866
12,0,12,-1.0,-1.0,-0.32051610946655273,0.005601600743830204,1.2136444853881319
13,0,13,-1.0,-1.0,-0.3628190755844116,-0.04981893301010132,1.1440470228557766
14,0,14,-1.0,-1.0,-0.3261553645133972,-0.006628931500017643,1.2003552276334157
15,0,15,-1.0,-1.0,-0.340999960899353,-0.040842730551958084,1.1637283699685583
16,0,16,-1.0,-1.0,-0.33309200406074524,-0.0005199993029236794,1.201551724579987
17,0,17,-1.0,-1.0,-0.34725624322891235,-0.03472904860973358,1.1652563759111139
18,0,18,-1.0,-1.0,-0.3532019257545471,-0.05639522895216942,1.1440007485975938
19,0,19,-1.0,-1.0,-0.2791726291179657,0.055322252213954926,1.2780051465587452
20,0,20,-1.0,-1.0,-0.33837005496025085,-0.003323880024254322,1.1962932217074578
21,0,21,-1.0,-1.0,-0.29719632863998413,-0.037467896938323975,1.1918057937019144
22,0,22,-1.0,-1.0,-0.31666141748428345,-0.035743605345487595,1.1818384039227645
23,0,23,-1.0,-1.0,-0.3411654531955719,-0.005087767727673054,1.1932783874637556
24,0,24,-1.0,-1.0,-0.3372211158275604,-0.04519343376159668,1.1622957576438255
25,0,25,-1.0,-1.0,-0.317586213350296,-0.01160889770835638,1.201085154058145
26,0,26,-1.0,-1.0,-0.32374221086502075,-0.05084798485040665,1.1654244485286311
27,0,27,-1.0,-1.0,-0.3509993553161621,0.005589812062680721,1.1968344525974737
28,0,28,-1.0,-1.0,-0.33174288272857666,-0.015555133111774921,1.1898316144423495
29,0,29,-1.0,-1.0,-0.3366430699825287,-0.054304011166095734,1.1551551064245615
30,0,30,-1.0,-1.0,-0.3465164005756378,-0.04253944009542465,1.1592116021199077
31,0,31,-1.0,-1.0,-0.349323570728302,0.009991892613470554,1.2014422327996912
32,0,32,-1.0,-1.0,-0.3040257394313812,0.023060567677021027,1.2373492217275057
33,0,33,-1.0,-1.0,-0.30521923303604126,0.02382882684469223,1.2373139378594284
34,0,34,-1.0,-1.0,-0.3331586718559265,-0.05713437870144844,1.1548475816087833
35,0,35,-1.0,-1.0,-0.32675811648368835,-0.018407993018627167,1.1902846306200507
36,0,36,-1.0,-1.0,-0.3304126560688019,-0.0029193470254540443,1.201048308640824
37,0,37,-1.0,-1.0,-0.28968191146850586,-0.011079876683652401,1.2175856426531384
38,0,38,-1.0,-1.0,-0.31970807909965515,0.014502444304525852,1.2214795565796992
39,0,39,-1.0,-1.0,-0.323678195476532,-0.013124623335897923,1.196383798093151
40,0,40,-1.0,-1.0,-0.3242899477481842,-0.005874806083738804,1.2020270279378895
41,0,41,-1.0,-1.0,-0.2820415496826172,0.00824402179569006,1.2377480938659877
42,0,42,-1.0,-1.0,-0.30891209840774536,-0.011330298148095608,1.2062629344745364
43,0,43,-1.0,-1.0,-0.3332732617855072,-0.014199758879840374,1.1900952309973776
44,0,44,-1.0,-1.0,-0.31397396326065063,-0.02101224660873413,1.1954282681844097
45,0,45,-1.0,-1.0,-0.31942009925842285,-0.0005388436838984489,1.209178069714355
46,0,46,-1.0,-1.0,-0.3227258324623108,-0.03908737003803253,1.175607664331215
47,0,47,-1.0,-1.0,-0.29465392231941223,0.03499092161655426,1.252485248267649
48,0,48,-1.0,-1.0,-0.31185588240623474,0.0069793714210391045,1.2196514998336259
49,0,49,-1.0,-1.0,-0.26341214776039124,-0.029617372900247574,1.2182791580930772
50,1,0,-0.8,-1.0,-0.31552624702453613,-7.470604032278061e-05,1.1111099904251054
51,1,1,-0.8,-1.0,-0.30012044310569763,-0.038200780749320984,1.083945252100889
52,1,2,-0.8,-1.0,-0.30429232120513916,-0.03340604901313782,1.0862918433370388
53,1,3,-0.8,-1.0,-0.22925671935081482,-0.1344490349292755,1.0367865573689972
54,1,4,-0.8,-1.0,-0.3175082802772522,-0.03730094060301781,1.0768415568526546
55,1,5,-0.8,-1.0,-0.3155098259449005,-0.04647112637758255,1.0695550671132257
56,1,6,-0.8,-1.0,-0.2864297032356262,-0.0636242926120758,1.0679671882154818
57,1,7,-0.8,-1.0,-0.307066947221756,-0.017692163586616516,1.0990503537147065
58,1,8,-0.8,-1.0,-0.2677954435348511,0.004034561105072498,1.1363657376987928
59,1,9,-0.8,-1.0,-0.3296741843223572,-0.047709815204143524,1.0621030877232993
60,1,10,-0.8,-1.0,-0.2902182936668396,-0.00854476448148489,1.1148367020102194
61,1,11,-0.8,-1.0,-0.26771900057792664,-0.00033356528729200363,1.1325440578789765
62,1,12,-0.8,-1.0,-0.3737870156764984,0.011777675710618496,1.097885045472579
63,1,13,-0.8,-1.0,-0.2949790060520172,-0.07559140771627426,1.0533648227542953
64,1,14,-0.8,-1.0,-0.2981615364551544,-0.06475576758384705,1.061378169061683
65,1,15,-0.8,-1.0,-0.3249865770339966,-0.06791305541992188,1.0461471331770236
66,1,16,-0.8,-1.0,-0.30622321367263794,-0.03630317747592926,1.0828328959071976
67,1,17,-0.8,-1.0,-0.31768855452537537,-0.01938614249229431,1.0928073334179107
68,1,18,-0.8,-1.0,-0.31171995401382446,-0.004467238672077656,1.108829509972322
69,1,19,-0.8,-1.0,-0.31678587198257446,0.003728480078279972,1.1139868739064636
70,1,20,-0.8,-1.0,-0.3080201745033264,-0.036906275898218155,1.0814775402660828
71,1,21,-0.8,-1.0,-0.35444357991218567,-0.0176241472363472,1.0786949705892686
72,1,22,-0.8,-1.0,-0.3055892884731293,-0.05857391655445099,1.0633555483769916
73,1,23,-0.8,-1.0,-0.3344719707965851,-0.03292498365044594,1.0732895383919037
74,1,24,-0.8,-1.0,-0.2820129692554474,0.00016528647392988205,1.1263397197502343
75,1,25,-0.8,-1.0,-0.3374018371105194,-0.04718565195798874,1.0591752650734652
76,1,26,-0.8,-1.0,-0.28086215257644653,-0.049307651817798615,1.0831989870378151
77,1,27,-0.8,-1.0,-0.3096039891242981,-0.011149032972753048,1.10377284006879
78,1,28,-0.8,-1.0,-0.2704314589500427,-0.09227495640516281,1.050907985714748
79,1,29,-0.8,-1.0,-0.26204538345336914,-0.029033537954092026,1.1100319994855015
80,1,30,-0.8,-1.0,-0.22384068369865417,0.18083912134170532,1.3139028077646706
81,1,31,-0.8,-1.0,-0.3016809821128845,-0.05540734529495239,1.0679780554443563
82,1,32,-0.8,-1.0,-0.2930115759372711,-0.04276597872376442,1.083205536185207
83,1,33,-0.8,-1.0,-0.28665241599082947,-1.4347024261951447e-05,1.1240538457588967
