sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,0.0765814483165741,0.006146695930510759,1.4735531169901193
1,0,1,-1.0,-1.0,0.001986660063266754,-0.16454245150089264,1.3045944129456015
2,0,2,-1.0,-1.0,0.050205715000629425,-0.14509354531764984,1.3541776434713166
3,0,3,-1.0,-1.0,-0.01949452981352806,-0.112385593354702,1.3225922697301231
4,0,4,-1.0,-1.0,0.11064828932285309,-0.07969719171524048,1.442392762569403
5,0,5,-1.0,-1.0,0.06945358216762543,-0.11083424091339111,1.3908079348145923
6,0,6,-1.0,-1.0,0.09752918779850006,-0.1841793805360794,1.36752828168639
7,0,7,-1.0,-1.0,0.06346967816352844,-0.139396533370018,1.3680665492397588
8,0,8,-1.0,-1.0,-0.02889847382903099,-0.1401326209306717,1.2970775164650497
9,0,9,-1.0,-1.0,-0.026416677981615067,-0.11440091580152512,1.3161117820479884
10,0,10,-1.0,-1.0,-0.0008548498153686523,-0.1032116636633873,1.3425797374185486
11,0,11,-1.0,-1.0,0.06061980128288269,-0.17316585779190063,1.3448304954879426
12,0,12,-1.0,-1.0,0.09041118621826172,-0.1853177547454834,1.361140593679748
13,0,13,-1.0,-1.0,-0.1303653120994568,-0.037936192005872726,1.296854371566845
14,0,14,-1.0,-1.0,0.0742800235748291,-0.19474638998508453,1.3425762345185428
15,0,15,-1.0,-1.0,-0.011682745069265366,-0.09576550871133804,1.3395562741556952
16,0,16,-1.0,-1.0,0.11363629996776581,-0.1276017725467682,1.4146605514643562
17,0,17,-1.0,-1.0,0.002767227590084076,-0.14597079157829285,1.3171590646410596
18,0,18,-1.0,-1.0,0.039178185164928436,-0.08077552169561386,1.387395020185904
19,0,19,-1.0,-1.0,0.22098380327224731,-0.16442838311195374,1.4795206571055592
20,0,20,-1.0,-1.0,-0.0061842575669288635,-0.16780266165733337,1.2962338291575386
21,0,21,-1.0,-1.0,-0.0301232747733593,-0.052588678896427155,1.3558204429390972
22,0,22,-1.0,-1.0,0.07081341743469238,-0.19191786646842957,1.3415059110906293
23,0,23,-1.0,-1.0,-0.05245175585150719,-0.11218840628862381,1.29848261479206
24,0,24,-1.0,-1.0,-0.01950831338763237,-0.09360810369253159,1.3352566109957342
25,0,25,-1.0,-1.0,-0.03761208429932594,-0.12863005697727203,1.298258863975178
26,0,26,-1.0,-1.0,0.03155013918876648,-0.13900646567344666,1.3436538080221756
27,0,27,-1.0,-1.0,-0.038847416639328,-0.09912284463644028,1.3173435153963573
28,0,28,-1.0,-1.0,-0.006055843085050583,-0.12712107598781586,1.32281616373933
29,0,29,-1.0,-1.0,-0.001575767993927002,-0.12906581163406372,1.3249065278432093
30,0,30,-1.0,-1.0,0.01636599749326706,-0.08574984967708588,1.367060049239226
31,0,31,-1.0,-1.0,-0.003415502607822418,-0.16421185433864594,1.3006623254597882
32,0,32,-1.0,-1.0,0.12330935895442963,-0.23875603079795837,1.3569511032314652
33,0,33,-1.0,-1.0,0.021097131073474884,-0.17489536106586456,1.3127974010779848
34,0,34,-1.0,-1.0,0.001274891197681427,-0.09222060441970825,1.3515231551042877
35,0,35,-1.0,-1.0,0.05841805040836334,-0.1796373426914215,1.3391204796196021
36,0,36,-1.0,-1.0,0.02951369434595108,-0.16904807090759277,1.3230191061765666
37,0,37,-1.0,-1.0,0.1616230010986328,-0.20600785315036774,1.407050647965553
38,0,38,-1.0,-1.0,-0.027110349386930466,-0.1419011503458023,1.2972462788722416
39,0,39,-1.0,-1.0,0.11626163125038147,-0.22844967246055603,1.3569561294780261
40,0,40,-1.0,-1.0,0.054702214896678925,-0.19201388955116272,1.32862271423689
41,0,41,-1.0,-1.0,0.043433092534542084,-0.25556445121765137,1.2817710032946894
42,0,42,-1.0,-1.0,0.14497746527194977,-0.23284125328063965,1.3782256486688234
43,0,43,-1.0,-1.0,0.09726579487323761,-0.12153980135917664,1.4055904614057655
44,0,44,-1.0,-1.0,0.15693631768226624,-0.2054387629032135,1.4035060394130754
45,0,45,-1.0,-1.0,-0.009968031197786331,-0.17120413482189178,1.2911490562234542
46,0,46,-1.0,-1.0,0.1082964688539505,-0.10181234776973724,1.4265560351745903
47,0,47,-1.0,-1.0,-0.002764865756034851,-0.25004565715789795,1.2477617678540678
48,0,48,-1.0,-1.0,-0.009965118020772934,-0.16706539690494537,1.2938118567120716
49,0,49,-1.0,-1.0,0.18841931223869324,-0.21466469764709473,1.424462003292337
50,1,0,-0.8,-1.0,0.15002310276031494,-0.14472000300884247,1.2782987792498006
51,1,1,-0.8,-1.0,0.10931581258773804,-0.22626186907291412,1.1939539112849535
52,1,2,-0.8,-1.0,0.11931289732456207,-0.16813215613365173,1.2398146284207685
53,1,3,-0.8,-1.0,0.19022223353385925,-0.26665061712265015,1.232209961472222
54,1,4,-0.8,-1.0,0.08637124300003052,-0.15963757038116455,1.2214184350714097
55,1,5,-0.8,-1.0,0.0877879410982132,-0.1714661568403244,1.2143458146756823
56,1,6,-0.8,-1.0,0.11837968230247498,-0.22522667050361633,1.2015385773935463
57,1,7,-0.8,-1.0,0.13543374836444855,-0.22353701293468475,1.21570188280744
58,1,8,-0.8,-1.0,0.19563186168670654,-0.1622934192419052,1.3011668299842092
59,1,9,-0.8,-1.0,0.03170808404684067,-0.1223733127117157,1.2091182486876437
