sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.12409119307994843,0.271833598613739,1.5442723013131077
1,0,1,-1.0,-1.0,-0.18156027793884277,0.23806050419807434,1.484128495347601
2,0,2,-1.0,-1.0,-0.06829871982336044,0.2658761441707611,1.5717855094965796
3,0,3,-1.0,-1.0,-0.11145102977752686,0.21626213192939758,1.5062578949332883
4,0,4,-1.0,-1.0,-0.07567435503005981,0.2645234763622284,1.566332506277103
5,0,5,-1.0,-1.0,-0.1198718398809433,0.23127985000610352,1.5134978187184838
6,0,6,-1.0,-1.0,-0.11136224120855331,0.26686039566993713,1.547453497998203
7,0,7,-1.0,-1.0,-0.12330830097198486,0.2645914852619171,1.538759227345711
8,0,8,-1.0,-1.0,-0.16088277101516724,0.2530459463596344,1.5080589735376717
9,0,9,-1.0,-1.0,-0.09138749539852142,0.2630856931209564,1.5559441351427172
10,0,10,-1.0,-1.0,-0.14053623378276825,0.22870057821273804,1.4994609285808767
11,0,11,-1.0,-1.0,-0.10477650165557861,0.28121957182884216,1.5629935070963366
12,0,12,-1.0,-1.0,-0.13258911669254303,0.29190385341644287,1.556090359507595
13,0,13,-1.0,-1.0,-0.25436118245124817,0.12451474368572235,1.3492630043850111
14,0,14,-1.0,-1.0,-0.11960412561893463,0.2890434265136719,1.5610028350599843
15,0,15,-1.0,-1.0,-0.11804865300655365,0.2510075867176056,1.5306397879607605
16,0,16,-1.0,-1.0,-0.09922592341899872,0.21539829671382904,1.512807640347983
17,0,17,-1.0,-1.0,-0.02310784161090851,0.30276623368263245,1.6283482885260538
18,0,18,-1.0,-1.0,-0.15710708498954773,0.14502452313899994,1.4218120919321622
19,0,19,-1.0,-1.0,0.03122427687048912,0.20527876913547516,1.5862283632994933
20,0,20,-1.0,-1.0,-0.10755768418312073,0.2656959295272827,1.5486895986873956
21,0,21,-1.0,-1.0,-0.15809333324432373,0.026259388774633408,1.327409194097938
22,0,22,-1.0,-1.0,-0.14050337672233582,0.25962600111961365,1.524923640095561
23,0,23,-1.0,-1.0,-0.13067695498466492,0.280559778213501,1.5477583474731917
24,0,24,-1.0,-1.0,-0.19603879749774933,0.18229959905147552,1.4297503128330291
25,0,25,-1.0,-1.0,-0.14752984046936035,0.19539329409599304,1.4682201811921343
26,0,26,-1.0,-1.0,-0.1050393283367157,0.2441059798002243,1.5325646129278443
27,0,27,-1.0,-1.0,-0.221938356757164,0.20885194838047028,1.4376031976136536
28,0,28,-1.0,-1.0,-0.13241475820541382,0.28100165724754333,1.547148796221851
29,0,29,-1.0,-1.0,-0.12418173253536224,0.2690677344799042,1.541943757833831
30,0,30,-1.0,-1.0,-0.1221947968006134,0.2819984555244446,1.5537252056689361
31,0,31,-1.0,-1.0,-0.08591581881046295,0.29987800121307373,1.5890980801507004
32,0,32,-1.0,-1.0,-0.1320664882659912,0.287057101726532,1.5523609644330887
33,0,33,-1.0,-1.0,-0.1928267925977707,0.21161840856075287,1.4558666679031063
34,0,34,-1.0,-1.0,-0.17254699766635895,0.199207603931427,1.4569754110478017
35,0,35,-1.0,-1.0,-0.09563064575195312,0.30894574522972107,1.590981738694074
36,0,36,-1.0,-1.0,-0.12071529030799866,0.2957899868488312,1.5659544344315517
37,0,37,-1.0,-1.0,-0.09309274703264236,0.2101898193359375,1.512296321594795
38,0,38,-1.0,-1.0,-0.13167673349380493,0.30415812134742737,1.5667845099542055
39,0,39,-1.0,-1.0,-0.08881478011608124,0.23864205181598663,1.537690683285108
40,0,40,-1.0,-1.0,-0.09099659323692322,0.2979586124420166,1.584608391092034
41,0,41,-1.0,-1.0,-0.1562654823064804,0.16319304704666138,1.4369780795284293
42,0,42,-1.0,-1.0,-0.10760445892810822,0.1833612471818924,1.4821314526913185
43,0,43,-1.0,-1.0,-0.13094095885753632,0.22257956862449646,1.4999881394896155
44,0,44,-1.0,-1.0,-0.06344840675592422,0.2644355595111847,1.5735076011778206
45,0,45,-1.0,-1.0,-0.15414854884147644,0.2551395297050476,1.5135520858084759
46,0,46,-1.0,-1.0,-0.09696373343467712,0.19448769092559814,1.4974229003541397
