sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.19325676560401917,0.11189994215965271,1.3737380127296206
1,0,1,-1.0,-1.0,-0.11431769281625748,-0.052265990525484085,1.2971634060414128
2,0,2,-1.0,-1.0,-0.12335804104804993,0.004272115416824818,1.3330654920141385
3,0,3,-1.0,-1.0,-0.15633085370063782,0.018275419250130653,1.3223700154898115
4,0,4,-1.0,-1.0,-0.13119208812713623,0.06748290359973907,1.3763527662669246
5,0,5,-1.0,-1.0,-0.12478072196245193,0.020898256450891495,1.3447089033218442
6,0,6,-1.0,-1.0,-0.09414272010326385,0.015174493193626404,1.3605721822721681
7,0,7,-1.0,-1.0,-0.1365700215101242,0.03850330412387848,1.350555604346315
8,0,8,-1.0,-1.0,-0.11687996983528137,-0.11133840680122375,1.252844928514587
9,0,9,-1.0,-1.0,-0.11330652236938477,-0.03463969752192497,1.3107806211846569
10,0,10,-1.0,-1.0,-0.16462917625904083,0.023139167577028275,1.3208550902305154
11,0,11,-1.0,-1.0,-0.11900299787521362,0.007884987629950047,1.3386515103053092
12,0,12,-1.0,-1.0,-0.10081568360328674,-0.009252176620066166,1.337951301201169
13,0,13,-1.0,-1.0,-0.22390517592430115,-0.022599192336201668,1.2480526891036834
14,0,14,-1.0,-1.0,-0.10434360802173615,-0.024318911135196686,1.3244447741072218
15,0,15,-1.0,-1.0,-0.11392441391944885,-0.001413829391822219,1.3350296941933153
16,0,16,-1.0,-1.0,-0.14730340242385864,0.055560361593961716,1.356944790507817
17,0,17,-1.0,-1.0,-0.10591459274291992,-0.012597574852406979,1.3320481465237684
18,0,18,-1.0,-1.0,-0.17792820930480957,0.016457777470350266,1.3072828471439382
19,0,19,-1.0,-1.0,-0.05525130406022072,0.09193684160709381,1.4439100264693743
20,0,20,-1.0,-1.0,-0.11459169536828995,-0.03893766179680824,1.3067473680185413
21,0,21,-1.0,-1.0,-0.15515369176864624,-0.06937789171934128,1.2569100178425208
22,0,22,-1.0,-1.0,-0.10514415800571442,-0.0015648312401026487,1.3407608900053383
23,0,23,-1.0,-1.0,-0.13036955893039703,-0.032255079597234726,1.3010716102506683
24,0,24,-1.0,-1.0,-0.17392659187316895,0.018511980772018433,1.3113977011533986
25,0,25,-1.0,-1.0,-0.1356809139251709,-0.12206878513097763,1.231994602502229
26,0,26,-1.0,-1.0,-0.14110590517520905,0.011601119302213192,1.327040274708491
27,0,27,-1.0,-1.0,-0.15448889136314392,-0.019998978823423386,1.2943303428164923
28,0,28,-1.0,-1.0,-0.10039415955543518,-0.05757449194788933,1.3028647306567367
29,0,29,-1.0,-1.0,-0.14004409313201904,0.006720437668263912,1.3240129158645366
30,0,30,-1.0,-1.0,-0.11527158319950104,0.007821621373295784,1.3410625608083375
31,0,31,-1.0,-1.0,-0.12301236391067505,-0.02695157192647457,1.3099353255905044
32,0,32,-1.0,-1.0,-0.08117777109146118,-0.03225648030638695,1.3344518755824197
33,0,33,-1.0,-1.0,-0.1377585232257843,-0.06178556755185127,1.2742474977506457
34,0,34,-1.0,-1.0,-0.16173197329044342,0.021130690351128578,1.3211363182429383
35,0,35,-1.0,-1.0,-0.09704998880624771,-0.019695032387971878,1.3327852611128383
36,0,36,-1.0,-1.0,-0.11617328226566315,-0.02186816930770874,1.3182911458378623
37,0,37,-1.0,-1.0,-0.0745314359664917,0.049991853535175323,1.399633864803391
38,0,38,-1.0,-1.0,-0.11406011879444122,-0.0965404212474823,1.265357136760289
39,0,39,-1.0,-1.0,-0.1325036883354187,0.044084977358579636,1.3574473436187195
40,0,40,-1.0,-1.0,-0.09333546459674835,-0.04388006031513214,1.3176516682420243
41,0,41,-1.0,-1.0,-0.09147922694683075,-0.15708160400390625,1.239322967340538
42,0,42,-1.0,-1.0,-0.09620438516139984,0.002653400646522641,1.349874199779194
43,0,43,-1.0,-1.0,-0.16291174292564392,0.05643100664019585,1.3478735927091239
44,0,44,-1.0,-1.0,-0.090213842689991,0.051513515412807465,1.3904644997729043
45,0,45,-1.0,-1.0,-0.11734263598918915,-0.06803257018327713,1.2836071488121672
46,0,46,-1.0,-1.0,-0.09175800532102585,0.009244276210665703,1.357747226092704
47,0,47,-1.0,-1.0,-0.10297147929668427,-0.14632770419120789,1.2383119782940941
48,0,48,-1.0,-1.0,-0.1067388504743576,-0.14324703812599182,1.2377160897927109
49,0,49,-1.0,-1.0,-0.027630150318145752,0.06912610679864883,1.4451760296962954
50,1,0,-0.8,-1.0,-0.1194649264216423,0.06165226176381111,1.2610446111373366
51,1,1,-0.8,-1.0,-0.10587143898010254,0.018709486350417137,1.232713866557801
52,1,2,-0.8,-1.0,-0.11187426000833511,0.049755897372961044,1.2551910125986352
53,1,3,-0.8,-1.0,-0.008673951029777527,0.01644846796989441,1.2881631899014847
54,1,4,-0.8,-1.0,-0.1485295593738556,0.05208536610007286,1.2374560002567958
55,1,5,-0.8,-1.0,-0.11493738740682602,0.020945077762007713,1.2294875497456073
56,1,6,-0.8,-1.0,-0.07559676468372345,0.03187663480639458,1.2607654170368325
57,1,7,-0.8,-1.0,-0.10784430801868439,0.024418501183390617,1.2363303634178684
58,1,8,-0.8,-1.0,-0.05875933915376663,0.0726379007101059,1.303836563121139
59,1,9,-0.8,-1.0,-0.14944875240325928,0.01157787349075079,1.202708077583977
60,1,10,-0.8,-1.0,-0.08184695988893509,0.05054370313882828,1.2725509267708728
61,1,11,-0.8,-1.0,-0.08542255312204361,0.08703968673944473,1.3008751700809762
62,1,12,-0.8,-1.0,-0.21835404634475708,0.03438354656100273,1.1867018735974235
63,1,13,-0.8,-1.0,-0.08133213222026825,0.02507113851606846,1.251900292833936
64,1,14,-0.8,-1.0,-0.07991936802864075,0.028324320912361145,1.255375252870687
65,1,15,-0.8,-1.0,-0.11551962047815323,0.002921897219493985,1.2142346238980013
66,1,16,-0.8,-1.0,-0.0941600501537323,0.03546999394893646,1.253159264885191
67,1,17,-0.8,-1.0,-0.16641771793365479,0.05753680691123009,1.2328059888402547
68,1,18,-0.8,-1.0,-0.14646942913532257,0.17410236597061157,1.3437330735054858
69,1,19,-0.8,-1.0,-0.16868823766708374,0.11778592318296432,1.2837444883332059
70,1,20,-0.8,-1.0,-0.091591477394104,0.005450202152132988,1.2299482687936243
71,1,21,-0.8,-1.0,-0.18711426854133606,0.02376599609851837,1.1931997882136978
72,1,22,-0.8,-1.0,-0.13653776049613953,0.05328859016299248,1.2448289028677886
73,1,23,-0.8,-1.0,-0.17672598361968994,0.024644378572702408,1.1993192244083652
74,1,24,-0.8,-1.0,-0.10391664505004883,0.10581686347723007,1.3066610014035769
75,1,25,-0.8,-1.0,-0.11848168820142746,0.02351004257798195,1.2296503635484188
76,1,26,-0.8,-1.0,-0.08126825094223022,0.03250056505203247,1.2580273224125171
77,1,27,-0.8,-1.0,-0.11252283304929733,0.04888239875435829,1.254104916462439
78,1,28,-0.8,-1.0,-0.07098351418972015,0.016152609139680862,1.2506123146861106
79,1,29,-0.8,-1.0,-0.052100393921136856,0.07823017984628677,1.3122248822150395
80,1,30,-0.8,-1.0,-0.11268207430839539,0.2113969922065735,1.3927988382046215
81,1,31,-0.8,-1.0,-0.07756981253623962,0.021578360348939896,1.2512105027101366
82,1,32,-0.8,-1.0,-0.11941221356391907,0.04008743166923523,1.24297288810427
83,1,33,-0.8,-1.0,-0.10456209629774094,0.07339169085025787,1.2789853790767773
84,1,34,-0.8,-1.0,-0.08630221337080002,0.04917578399181366,1.2689106967609092
85,1,35,-0.8,-1.0,-0.15253934264183044,0.03340671584010124,1.219481341870427
86,1,36,-0.8,-1.0,-0.139999121427536,0.05080598220229149,1.2408845119303193
87,1,37,-0.8,-1.0,-0.12239333987236023,0.0664987564086914,1.2635546617660116
88,1,38,-0.8,-1.0,-0.15281490981578827,0.0527261458337307,1.2357511396226537
89,1,39,-0.8,-1.0,-0.038948845118284225,0.05590007081627846,1.301585118191129
90,1,40,-0.8,-1.0,-0.15026670694351196,0.042099785059690475,1.2280575369775968
91,1,41,-0.8,-1.0,-0.1670994758605957,0.05332174152135849,1.2288408215133155
92,1,42,-0.8,-1.0,-0.12514397501945496,0.06258983910083771,1.2587802908422447
93,1,43,-0.8,-1.0,-0.08736913651227951,0.030748652294278145,1.2531103430271913
94,1,44,-0.8,-1.0,-0.14508527517318726,0.07191628217697144,1.2561519863420512
95,1,45,-0.8,-1.0,-0.18558883666992188,0.11586271226406097,1.2738330621576466
96,1,46,-0.8,-1.0,-0.052984170615673065,0.0038670815993100405,1.2513120181910944
97,1,47,-0.8,-1.0,-0.0787292867898941,0.01873396895825863,1.2482188675244663
98,1,48,-0.8,-1.0,-0.12218214571475983,0.06406137347221375,1.2616115289990897
99,1,49,-0.8,-1.0,-0.13130536675453186,-0.08232031762599945,1.1354684108214272
100,2,0,-0.6,-1.0,-0.21326673030853271,-0.0024623239878565073,1.0698803844121834
101,2,1,-0.6,-1.0,-0.2604209780693054,0.1496439278125763,1.198747293173893
102,2,2,-0.6,-1.0,-0.22983306646347046,0.004552231170237064,1.0705833661293915
103,2,3,-0.6,-1.0,-0.19495320320129395,-0.012752402573823929,1.0671085822073823
104,2,4,-0.6,-1.0,-0.2477879524230957,0.1694342941045761,1.2213230099716388
105,2,5,-0.6,-1.0,-0.1785607933998108,0.04840165004134178,1.1299367348082834
106,2,6,-0.6,-1.0,-0.2489108443260193,0.1019497960805893,1.156527971263091
107,2,7,-0.6,-1.0,-0.25430160760879517,0.08106832206249237,1.1349960772922858
108,2,8,-0.6,-1.0,-0.26454880833625793,0.10367428511381149,1.1535269522686096
109,2,9,-0.6,-1.0,-0.17956465482711792,-0.03295479342341423,1.0544867524219506
110,2,10,-0.6,-1.0,-0.2924295961856842,0.010808772407472134,1.056567048359167
111,2,11,-0.6,-1.0,-0.31569361686706543,-0.048035331070423126,0.9935123805873431
112,2,12,-0.6,-1.0,-0.14010843634605408,0.03207610175013542,1.1299032392748625
113,2,13,-0.6,-1.0,-0.20584967732429504,0.05994318053126335,1.1308554385155039
114,2,14,-0.6,-1.0,-0.23153093457221985,-0.010123646818101406,1.0562313414995395
115,2,15,-0.6,-1.0,-0.37436649203300476,-0.008145223371684551,1.0171953489069332
116,2,16,-0.6,-1.0,-0.38735002279281616,0.003954715095460415,1.026228572379771
117,2,17,-0.6,-1.0,-0.3041583299636841,-0.08514493703842163,0.96149991157374
118,2,18,-0.6,-1.0,-0.18653659522533417,0.060394641011953354,1.1381514757600275
119,2,19,-0.6,-1.0,-0.18268977105617523,0.014970524236559868,1.0974119519351813
120,2,20,-0.6,-1.0,-0.2519736886024475,0.08609390258789062,1.1404921212632644
121,2,21,-0.6,-1.0,-0.24320954084396362,0.07735124230384827,1.134894325934543
122,2,22,-0.6,-1.0,-0.2364165186882019,0.23694579303264618,1.2892741534615393
123,2,23,-0.6,-1.0,-0.14335474371910095,-0.014152212999761105,1.0864716973842974
124,2,24,-0.6,-1.0,-0.24644947052001953,0.15940460562705994,1.2121126253136765
125,2,25,-0.6,-1.0,-0.24207326769828796,0.06392376124858856,1.1225174009544463
126,2,26,-0.6,-1.0,-0.19985929131507874,0.13221199810504913,1.2008399541154096
127,2,27,-0.6,-1.0,-0.18299990892410278,0.03480974957346916,1.1156703338216054
128,2,28,-0.6,-1.0,-0.2329486608505249,0.04497690126299858,1.1075664358153157
129,2,29,-0.6,-1.0,-0.20644286274909973,0.11761650443077087,1.1848855941639174
130,2,30,-0.6,-1.0,-0.23893243074417114,0.153518408536911,1.2087077845376195
131,2,31,-0.6,-1.0,-0.18595105409622192,-0.014529465697705746,1.068919409301786
132,2,32,-0.6,-1.0,-0.21272993087768555,0.051429521292448044,1.1204829961598117
133,2,33,-0.6,-1.0,-0.21502408385276794,0.18906764686107635,1.2498353190821334
134,2,34,-0.6,-1.0,-0.3217219412326813,0.04555366560816765,1.0819524692231093
135,2,35,-0.6,-1.0,-0.41960248351097107,-0.009162011556327343,1.0071262002840127
136,2,36,-0.6,-1.0,-0.21741148829460144,0.09335219115018845,1.1583578821684903
137,2,37,-0.6,-1.0,-0.2968098521232605,0.21884439885616302,1.2559880311502019
138,2,38,-0.6,-1.0,-0.25691232085227966,0.18976964056491852,1.2382491482706315
139,2,39,-0.6,-1.0,-0.21180027723312378,-0.020433194935321808,1.0536840846956457
140,2,40,-0.6,-1.0,-0.2389160394668579,0.2614174783229828,1.3120806686987703
141,2,41,-0.6,-1.0,-0.20931661128997803,0.07515741139650345,1.1439392333051508
142,2,42,-0.6,-1.0,-0.29232487082481384,0.2205723077058792,1.2587536468473182
143,2,43,-0.6,-1.0,-0.10235656797885895,-0.06032924726605415,1.0633109183006448
144,2,44,-0.6,-1.0,-0.2527928352355957,0.1484900861978531,1.1998259429427622
145,2,45,-0.6,-1.0,-0.16414892673492432,-0.053906023502349854,1.041662119130505
146,2,46,-0.6,-1.0,-0.12421821802854538,-0.0384955108165741,1.072781052580541
147,2,47,-0.6,-1.0,-0.3458278477191925,0.025073610246181488,1.0561152349143526
148,2,48,-0.6,-1.0,-0.243129700422287,0.030151106417179108,1.0902145260329386
149,2,49,-0.6,-1.0,-0.2582041919231415,0.08304083347320557,1.1356944225403454
150,3,0,-0.4,-1.0,-0.132698655128479,0.028105873614549637,1.0622860708542028
151,3,1,-0.4,-1.0,-0.14762473106384277,0.047827161848545074,1.0777917412367637
152,3,2,-0.4,-1.0,-0.1949823498725891,0.006881984882056713,1.0275424897997143
153,3,3,-0.4,-1.0,-0.14975343644618988,0.05622826889157295,1.0854683314478504
154,3,4,-0.4,-1.0,-0.11659173667430878,0.05245168134570122,1.0899425605455904
155,3,5,-0.4,-1.0,-0.1296730637550354,0.039508506655693054,1.074083138248217
156,3,6,-0.4,-1.0,-0.14127716422080994,0.024301299825310707,1.056470850794023
157,3,7,-0.4,-1.0,-0.13774877786636353,0.08628948032855988,1.1174974445532655
158,3,8,-0.4,-1.0,-0.1862867921590805,0.011005519889295101,1.0333467455081473
159,3,9,-0.4,-1.0,-0.1560770869255066,0.03851727023720741,1.0667785656375401
160,3,10,-0.4,-1.0,-0.17956528067588806,0.004776062443852425,1.0286721543541812
161,3,11,-0.4,-1.0,-0.1860831081867218,0.008712937124073505,1.0311460740964535
162,3,12,-0.4,-1.0,-0.14621436595916748,0.03870314359664917,1.0692573911659757
163,3,13,-0.4,-1.0,-0.12768660485744476,0.07753833383321762,1.1114150647054106
164,3,14,-0.4,-1.0,-0.2010984718799591,0.004425945691764355,1.0239303190487536
165,3,15,-0.4,-1.0,-0.18719935417175293,0.035108331590890884,1.0567560612524523
166,3,16,-0.4,-1.0,-0.14305883646011353,0.01961340568959713,1.051489542783555
167,3,17,-0.4,-1.0,-0.13194869458675385,0.049624938517808914,1.0833115959373183
168,3,18,-0.4,-1.0,-0.14129316806793213,0.030613472685217857,1.0625880457489683
169,3,19,-0.4,-1.0,-0.18302002549171448,0.04078111797571182,1.0631583348083147
170,3,20,-0.4,-1.0,-0.1986517757177353,0.015405024401843548,1.0351755749640394
171,3,21,-0.4,-1.0,-0.1529189646244049,0.040285687893629074,1.0692255844669063
172,3,22,-0.4,-1.0,-0.1533835232257843,0.030761217698454857,1.0598529966593144
173,3,23,-0.4,-1.0,-0.13799859583377838,0.03923747316002846,1.0717552245756083
174,3,24,-0.4,-1.0,-0.14508099853992462,0.045152697712183,1.075791735811563
175,3,25,-0.4,-1.0,-0.14334622025489807,0.03416082262992859,1.065532622550834
176,3,26,-0.4,-1.0,-0.13907507061958313,0.0424196831882,1.0745792733299684
177,3,27,-0.4,-1.0,-0.147306889295578,0.037714798003435135,1.068038299965309
178,3,28,-0.4,-1.0,-0.21268519759178162,0.03768335282802582,1.054454160187935
179,3,29,-0.4,-1.0,-0.14990252256393433,0.04253879189491272,1.072117475291578
180,3,30,-0.4,-1.0,-0.1413833200931549,0.03061852417886257,1.062570999748561
