sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,0.02818208932876587,0.06343080848455429,1.4792036686171985
1,0,1,-1.0,-1.0,-0.070135697722435,-0.031994450837373734,1.342267620059346
2,0,2,-1.0,-1.0,0.016765668988227844,0.01874418556690216,1.4393235012530885
3,0,3,-1.0,-1.0,-0.019102782011032104,0.03800205886363983,1.4281483208909542
4,0,4,-1.0,-1.0,0.033389873802661896,0.036377616226673126,1.463548152502528
5,0,5,-1.0,-1.0,0.04287037253379822,0.018658656626939774,1.45782168752896
6,0,6,-1.0,-1.0,-0.039399854838848114,-0.00505497632548213,1.3829924942017267
7,0,7,-1.0,-1.0,0.008780576288700104,0.024162784218788147,1.4375491851328572
8,0,8,-1.0,-1.0,-0.08236493915319443,-0.046537257730960846,1.3233084696284978
9,0,9,-1.0,-1.0,-0.05781499296426773,0.020536446943879128,1.3889590444011515
10,0,10,-1.0,-1.0,-0.012029509991407394,0.03730238601565361,1.4325089630301049
11,0,11,-1.0,-1.0,0.005678229033946991,0.00716059235855937,1.4232923660137082
12,0,12,-1.0,-1.0,-0.04725337773561478,-0.026178894564509392,1.3623706072973667
13,0,13,-1.0,-1.0,-0.06689077615737915,-0.02121950127184391,1.3522958582761082
14,0,14,-1.0,-1.0,-0.016291946172714233,-0.022572427988052368,1.3867394108821733
15,0,15,-1.0,-1.0,-0.02890496701002121,0.016570888459682465,1.4058598558752278
16,0,16,-1.0,-1.0,0.028295859694480896,0.023748349398374557,1.4510179385385655
17,0,17,-1.0,-1.0,-0.021411508321762085,0.020346635952591896,1.4137689675278842
18,0,18,-1.0,-1.0,0.018716253340244293,-0.004183878656476736,1.4245815358719358
19,0,19,-1.0,-1.0,0.10272523760795593,0.014372237026691437,1.4983170508634203
20,0,20,-1.0,-1.0,-0.0753912702202797,-0.013077858835458755,1.3523744362807477
21,0,21,-1.0,-1.0,-0.13509297370910645,-0.025108695030212402,1.3032563909810886
22,0,22,-1.0,-1.0,-0.022369012236595154,-0.014890404418110847,1.3878772508917219
23,0,23,-1.0,-1.0,-0.05461449921131134,-0.0028128952253609896,1.3740945626230774
24,0,24,-1.0,-1.0,-0.006334565579891205,0.0066893440671265125,1.4144944082673514
25,0,25,-1.0,-1.0,-0.12200105935335159,-0.012822169810533524,1.3211367106375556
26,0,26,-1.0,-1.0,0.005825527012348175,0.01980329118669033,1.4323699743798295
27,0,27,-1.0,-1.0,-0.08202731609344482,-0.06031860038638115,1.3136494894675725
28,0,28,-1.0,-1.0,-0.051159560680389404,-0.030243096873164177,1.3567338097248047
29,0,29,-1.0,-1.0,-0.008499115705490112,0.018136177211999893,1.421152799281154
30,0,30,-1.0,-1.0,0.0073032379150390625,0.028022751212120056,1.4392673796497502
31,0,31,-1.0,-1.0,-0.0674554631114006,0.0007433989085257053,1.3678913201492875
32,0,32,-1.0,-1.0,-0.03755571320652962,-0.041127704083919525,1.3585783323227143
33,0,33,-1.0,-1.0,-0.09425384551286697,-0.013096300885081291,1.339535370079842
34,0,34,-1.0,-1.0,0.008938081562519073,0.021944353356957436,1.4360801905831115
35,0,35,-1.0,-1.0,-0.01656308025121689,-0.012242000550031662,1.3938486433621042
36,0,36,-1.0,-1.0,-0.06600341945886612,-0.009445486590266228,1.3614506441655994
37,0,37,-1.0,-1.0,-0.007551785558462143,-0.03774670884013176,1.3823475882339415
38,0,38,-1.0,-1.0,-0.08590465784072876,-0.035735923796892166,1.3286743405413939
39,0,39,-1.0,-1.0,0.006873480975627899,0.00566726503893733,1.4230814645208736
40,0,40,-1.0,-1.0,-0.010409999638795853,-0.011511817574501038,1.3987127137513817
41,0,41,-1.0,-1.0,-0.07058992236852646,-0.06192594766616821,1.3205249032354363
42,0,42,-1.0,-1.0,0.041801683604717255,-0.00012242747470736504,1.443989580295057
43,0,43,-1.0,-1.0,0.028620325028896332,0.023293543606996536,1.450927099977913
44,0,44,-1.0,-1.0,0.0523051917552948,0.015658188611268997,1.4625005205770945
45,0,45,-1.0,-1.0,-0.08751159906387329,-0.04348720982670784,1.3219499989061863
46,0,46,-1.0,-1.0,0.09745264053344727,0.011154772713780403,1.4922587820467643
47,0,47,-1.0,-1.0,-0.10820071399211884,-0.04221503809094429,1.308685600051937
48,0,48,-1.0,-1.0,-0.09130790829658508,-0.024574728682637215,1.3331075640955903
49,0,49,-1.0,-1.0,0.034875109791755676,-0.035493403673172,1.4146517123392814
50,1,0,-0.8,-1.0,0.05332312732934952,0.02350073680281639,1.3325592361583967
51,1,1,-0.8,-1.0,-0.03773228079080582,-0.035998232662677765,1.2289635808997221
52,1,2,-0.8,-1.0,-0.008663497865200043,0.009817240759730339,1.2829436150301132
53,1,3,-0.8,-1.0,0.04516778141260147,-0.18410229682922363,1.174733008294756
54,1,4,-0.8,-1.0,-0.006947766989469528,0.017091546207666397,1.2897313897281442
55,1,5,-0.8,-1.0,-0.021195009350776672,-0.0017523006536066532,1.266110454387967
56,1,6,-0.8,-1.0,-0.03839148208498955,-0.06955334544181824,1.2024053025245736
57,1,7,-0.8,-1.0,-0.021267428994178772,-0.034363050013780594,1.2405156735503284
58,1,8,-0.8,-1.0,0.046760544180870056,0.020648721605539322,1.3261701369343621
59,1,9,-0.8,-1.0,-0.06048792600631714,-0.028624113649129868,1.2208395554561529
60,1,10,-0.8,-1.0,0.04601047933101654,-0.0057890149764716625,1.305445982750474
61,1,11,-0.8,-1.0,0.06318040192127228,-0.03627278283238411,1.2937737651423475
62,1,12,-0.8,-1.0,-0.0289653018116951,0.01611756905913353,1.275534954425387
63,1,13,-0.8,-1.0,-0.021683726459741592,-0.009844725951552391,1.2594378461772342
64,1,14,-0.8,-1.0,-0.013114400207996368,-0.006312715355306864,1.2675185863822924
65,1,15,-0.8,-1.0,0.008507557213306427,0.016189027577638626,1.2985856189871405
66,1,16,-0.8,-1.0,0.030524373054504395,-0.005260729696601629,1.2958691871177874
67,1,17,-0.8,-1.0,0.01756817102432251,0.018298573791980743,1.3058903857747166
68,1,18,-0.8,-1.0,0.02879265695810318,0.05787671357393265,1.343875146488563
69,1,19,-0.8,-1.0,0.04982784390449524,0.06849554181098938,1.365243599928351
70,1,20,-0.8,-1.0,-0.04967310652136803,-0.01721126213669777,1.236472462430214
71,1,21,-0.8,-1.0,-0.03143445402383804,-0.02239063009619713,1.2435485831222464
72,1,22,-0.8,-1.0,-0.024844415485858917,-0.04868738725781441,1.2271356352766485
73,1,23,-0.8,-1.0,0.03450252115726471,0.011915275827050209,1.311627608458272
74,1,24,-0.8,-1.0,0.06675583124160767,0.01950184628367424,1.3381515928948973
75,1,25,-0.8,-1.0,0.05249173939228058,0.030239887535572052,1.3372121714976215
76,1,26,-0.8,-1.0,0.02416471391916275,-0.0336429663002491,1.270076136399089
77,1,27,-0.8,-1.0,0.07016919553279877,0.0247446671128273,1.344357118339609
78,1,28,-0.8,-1.0,-0.04903203994035721,-0.12142662703990936,1.155787198713765
79,1,29,-0.8,-1.0,0.06601624190807343,-0.03296246379613876,1.2981316295645127
80,1,30,-0.8,-1.0,0.023532778024673462,0.28849294781684875,1.529189430075551
81,1,31,-0.8,-1.0,0.00613490492105484,0.00023899460211396217,1.2846522997506857
82,1,32,-0.8,-1.0,-0.013131238520145416,-0.015437446534633636,1.260367354971987
83,1,33,-0.8,-1.0,0.07469475269317627,0.021248459815979004,1.3446335289087084
84,1,34,-0.8,-1.0,0.03365221619606018,-0.03861930966377258,1.2724892334789963
85,1,35,-0.8,-1.0,0.012136459350585938,-0.00636375742033124,1.283307683750997
86,1,36,-0.8,-1.0,0.05613389611244202,0.048524409532547,1.3536501340664973
87,1,37,-0.8,-1.0,0.024542398750782013,0.035096634179353714,1.3233651081342295
88,1,38,-0.8,-1.0,-0.0031056031584739685,0.024607818573713303,1.2980222885604866
89,1,39,-0.8,-1.0,0.09552986919879913,0.001391096506267786,1.3434127715595248
90,1,40,-0.8,-1.0,0.028999604284763336,0.010789433494210243,1.3072626449064628
91,1,41,-0.8,-1.0,-0.013044074177742004,0.041306544095277786,1.3052275464310497
92,1,42,-0.8,-1.0,0.034507155418395996,0.05370451882481575,1.3441337007293357
93,1,43,-0.8,-1.0,0.005566529929637909,0.001545086968690157,1.2853131896055527
94,1,44,-0.8,-1.0,0.01968526840209961,0.06087009236216545,1.3406451029649613
95,1,45,-0.8,-1.0,0.04159894585609436,0.05448228493332863,1.3491559120073198
96,1,46,-0.8,-1.0,-0.01677483692765236,-0.11239646375179291,1.1837574471275896
97,1,47,-0.8,-1.0,0.014248818159103394,-0.012950221076607704,1.2795578939407994
98,1,48,-0.8,-1.0,0.010664239525794983,0.0359785221517086,1.3154573378128132
99,1,49,-0.8,-1.0,-0.07470279186964035,-0.04555949941277504,1.1987546493269117
100,2,0,-0.6,-1.0,-0.14941897988319397,0.09931115061044693,1.1880691316358516
101,2,1,-0.6,-1.0,-0.14658473432064056,0.21922734379768372,1.3008077179256892
102,2,2,-0.6,-1.0,-0.16404415667057037,0.11571124941110611,1.1978602127942832
103,2,3,-0.6,-1.0,-0.16324171423912048,0.07831170409917831,1.163406176439706
104,2,4,-0.6,-1.0,-0.2051514983177185,0.182399183511734,1.246584601400947
105,2,5,-0.6,-1.0,-0.09200010448694229,0.08286631852388382,1.1961034059121924
106,2,6,-0.6,-1.0,-0.22084449231624603,0.17806844413280487,1.2375799602726334
107,2,7,-0.6,-1.0,-0.10372152179479599,0.1795700341463089,1.2797178569456618
108,2,8,-0.6,-1.0,-0.11090442538261414,0.18145868182182312,1.278694294177647
109,2,9,-0.6,-1.0,-0.10367999970912933,0.031164754182100296,1.1443925432106596
110,2,10,-0.6,-1.0,-0.22456370294094086,0.024573376402258873,1.091193391100653
111,2,11,-0.6,-1.0,-0.20947477221488953,-0.027379365637898445,1.0480939136945455
112,2,12,-0.6,-1.0,-0.12855839729309082,0.09454777091741562,1.1917600461431581
113,2,13,-0.6,-1.0,-0.11989292502403259,0.15603508055210114,1.2517667158496755
114,2,14,-0.6,-1.0,-0.15626981854438782,0.08257793635129929,1.169987804299373
115,2,15,-0.6,-1.0,-0.30480748414993286,0.06735007464885712,1.1074180797092004
116,2,16,-0.6,-1.0,-0.2853468954563141,0.059515561908483505,1.1052510131753914
117,2,17,-0.6,-1.0,-0.3251325488090515,-0.05300961062312126,0.9860744968289064
118,2,18,-0.6,-1.0,-0.10157380998134613,0.11260531097650528,1.2191469332732774
119,2,19,-0.6,-1.0,-0.1606571078300476,0.14793334901332855,1.229135123034573
120,2,20,-0.6,-1.0,-0.14158204197883606,0.15555903315544128,1.2431668043120487
121,2,21,-0.6,-1.0,-0.1956176608800888,0.13517232239246368,1.2050482470498807
122,2,22,-0.6,-1.0,-0.144310861825943,0.19554226100444794,1.2794428039179564
123,2,23,-0.6,-1.0,-0.16138532757759094,0.011411700397729874,1.1024229943926445
124,2,24,-0.6,-1.0,-0.19510290026664734,0.1938677877187729,1.2606593338110805
125,2,25,-0.6,-1.0,-0.1719171702861786,0.1349739134311676,1.2130213078363679
126,2,26,-0.6,-1.0,-0.13155531883239746,0.1710025817155838,1.2612245897138143
127,2,27,-0.6,-1.0,-0.15978389978408813,0.09203905612230301,1.1774291974406768
128,2,28,-0.6,-1.0,-0.15491600334644318,0.15727007389068604,1.239908782128773
129,2,29,-0.6,-1.0,-0.1561482697725296,0.18235409259796143,1.2629194585202446
130,2,30,-0.6,-1.0,-0.19262877106666565,0.18792012333869934,1.2558286258863849
131,2,31,-0.6,-1.0,-0.18027885258197784,0.05900050327181816,1.1391434973346708
132,2,32,-0.6,-1.0,-0.11399896442890167,0.15107400715351105,1.2494672370737143
133,2,33,-0.6,-1.0,-0.1544802188873291,0.18170657753944397,1.262900752538642
134,2,34,-0.6,-1.0,-0.2575950026512146,0.12429727613925934,1.1752810503635203
135,2,35,-0.6,-1.0,-0.33948642015457153,0.06766825914382935,1.0989917364871746
136,2,36,-0.6,-1.0,-0.15745596587657928,0.1677032709121704,1.2487498352501245
137,2,37,-0.6,-1.0,-0.2282891869544983,0.17385339736938477,1.231300421120124
138,2,38,-0.6,-1.0,-0.17048144340515137,0.23858918249607086,1.3109497905929148
139,2,39,-0.6,-1.0,-0.14795440435409546,0.0856640487909317,1.176015156101306
140,2,40,-0.6,-1.0,-0.15067154169082642,0.194071963429451,1.2758150012030596
141,2,41,-0.6,-1.0,-0.08660377562046051,0.086514413356781,1.201702647762414
142,2,42,-0.6,-1.0,-0.15959864854812622,0.2193337380886078,1.2964289857920388
143,2,43,-0.6,-1.0,-0.11556492745876312,-0.03230122849345207,1.0821821713017248
144,2,44,-0.6,-1.0,-0.04831409826874733,0.13534465432167053,1.2622855533776098
145,2,45,-0.6,-1.0,-0.15007460117340088,0.0017054867930710316,1.0981105348645999
146,2,46,-0.6,-1.0,-0.05985753610730171,0.06546930223703384,1.194562143762118
147,2,47,-0.6,-1.0,-0.29012078046798706,0.07006049156188965,1.1140262951561972
148,2,48,-0.6,-1.0,-0.17231746017932892,0.11965283751487732,1.198555310122389
149,2,49,-0.6,-1.0,-0.14689238369464874,0.11765087395906448,1.206005799329082
150,3,0,-0.4,-1.0,-0.10398125648498535,0.013803701847791672,1.0561368483262452
151,3,1,-0.4,-1.0,-0.116532102227211,0.01806447096168995,1.0567919928265117
152,3,2,-0.4,-1.0,-0.12976747751235962,0.021502630785107613,1.0566424375875356
153,3,3,-0.4,-1.0,-0.1075204461812973,0.013946617022156715,1.0552876534730535
154,3,4,-0.4,-1.0,-0.0924098938703537,0.03625721484422684,1.0809443504202985
155,3,5,-0.4,-1.0,-0.11394692957401276,0.025351393967866898,1.0645054439560104
156,3,6,-0.4,-1.0,-0.08681388199329376,-0.005525278393179178,1.0426243409910754
157,3,7,-0.4,-1.0,-0.10150205343961716,0.0610833577811718,1.1022698926582961
158,3,8,-0.4,-1.0,-0.13651977479457855,-0.012315226718783379,1.0222245548047981
159,3,9,-0.4,-1.0,-0.111480213701725,0.010288655757904053,1.0506792255673065
160,3,10,-0.4,-1.0,-0.11825382709503174,-0.0018927543424069881,1.0371108811408658
161,3,11,-0.4,-1.0,-0.13664734363555908,-0.02691393904387951,1.0080928050736728
162,3,12,-0.4,-1.0,-0.09549936652183533,0.04015196114778519,1.0838065962468522
163,3,13,-0.4,-1.0,-0.10710305720567703,0.0348447747528553,1.075496316558801
164,3,14,-0.4,-1.0,-0.15068072080612183,-0.0176231749355793,1.0135207592355504
165,3,15,-0.4,-1.0,-0.12216752767562866,0.04684678837656975,1.0830877531447816
166,3,16,-0.4,-1.0,-0.09531090408563614,-0.024564141407608986,1.021915142953165
167,3,17,-0.4,-1.0,-0.06934848427772522,0.0752517357468605,1.1249429852557302
168,3,18,-0.4,-1.0,-0.09220440685749054,-0.006359208840876818,1.040221201962966
169,3,19,-0.4,-1.0,-0.11760379374027252,0.046227987855672836,1.083669977383528
170,3,20,-0.4,-1.0,-0.1436185985803604,-0.0067021106369793415,1.0258518996458164
171,3,21,-0.4,-1.0,-0.09280242770910263,0.050666894763708115,1.094655777938359
172,3,22,-0.4,-1.0,-0.09645993262529373,0.043765805661678314,1.0870067293123873
173,3,23,-0.4,-1.0,-0.10431140661239624,0.0027743205428123474,1.0454607033263559
174,3,24,-0.4,-1.0,-0.10296927392482758,0.014037666842341423,1.0566454665628409
175,3,25,-0.4,-1.0,-0.09472792595624924,0.036431316286325455,1.0804540307528028
176,3,26,-0.4,-1.0,-0.11291568726301193,0.023225633427500725,1.0627361382407106
177,3,27,-0.4,-1.0,-0.1048022210597992,0.016172103583812714,1.0581812098091605
178,3,28,-0.4,-1.0,-0.16403847932815552,0.006460642907768488,1.0337508718062045
179,3,29,-0.4,-1.0,-0.10556884855031967,0.02728111296892166,1.0686422170243186
180,3,30,-0.4,-1.0,-0.1045617014169693,0.008947394788265228,1.0513128143990558
181,3,31,-0.4,-1.0,-0.10589228570461273,0.009427083656191826,1.0514002020290378
182,3,32,-0.4,-1.0,-0.10501307249069214,-0.022599373012781143,1.0209452840560997
183,3,33,-0.4,-1.0,-0.14248117804527283,0.010582974180579185,1.0428776972227451
184,3,34,-0.4,-1.0,-0.10791102051734924,0.008802443742752075,1.0502372791119943
185,3,35,-0.4,-1.0,-0.07720047235488892,-0.03166080638766289,1.0207253934990048
186,3,36,-0.4,-1.0,-0.10076746344566345,0.017000528052449226,1.0601085722659274
187,3,37,-0.4,-1.0,-0.09780041873455048,0.010561982169747353,1.0547796484213476
188,3,38,-0.4,-1.0,-0.10032618045806885,-0.0034088825341314077,1.040672020153669
189,3,39,-0.4,-1.0,-0.09629848599433899,0.08457580208778381,1.1262944908342978
190,3,40,-0.4,-1.0,-0.10883916914463043,-0.0153685063123703,1.026778363516646
191,3,41,-0.4,-1.0,-0.09962460398674011,0.0604691319167614,1.1021888033719143
192,3,42,-0.4,-1.0,-0.10553812980651855,0.02176745794713497,1.0633515557507747
193,3,43,-0.4,-1.0,-0.10258372873067856,0.008812341839075089,1.051740832839814
194,3,44,-0.4,-1.0,-0.10964711010456085,0.03181089833378792,1.0718855025565985
195,3,45,-0.4,-1.0,-0.0836002454161644,-0.006410136353224516,1.042750987456895
196,3,46,-0.4,-1.0,-0.11432541161775589,0.017681356519460678,1.0570171776535395
197,3,47,-0.4,-1.0,-0.09439820051193237,0.009882327169179916,1.0551088922850491
198,3,48,-0.4,-1.0,-0.10026111453771591,0.0007974214386194944,1.0447195213148657
199,4,0,-0.2,-1.0,0.047891534864902496,-0.41644418239593506,0.6340249248390996
200,4,1,-0.2,-1.0,0.040374889969825745,-0.3971259891986847,0.6490278581291178
201,4,2,-0.2,-1.0,0.0307789146900177,-0.39695754647254944,0.6456927351472291
202,4,3,-0.2,-1.0,0.02230130136013031,-0.39060482382774353,0.6486758430282594
203,4,4,-0.2,-1.0,0.020915091037750244,-0.39682096242904663,0.6423616028478345
204,4,5,-0.2,-1.0,0.04009265452623367,-0.4013795256614685,0.6449736080296168
205,4,6,-0.2,-1.0,0.04868525266647339,-0.41783109307289124,0.6330600217092313
206,4,7,-0.2,-1.0,0.026557236909866333,-0.3781941533088684,0.661793542258844
207,4,8,-0.2,-1.0,0.02563849836587906,-0.4064670205116272,0.6349756922002243
208,4,9,-0.2,-1.0,0.033601224422454834,-0.3955910801887512,0.6479812299743494
209,4,10,-0.2,-1.0,0.03496650606393814,-0.37894508242607117,0.664016919674984
210,4,11,-0.2,-1.0,0.05486566573381424,-0.3865600526332855,0.6642778609853092
211,4,12,-0.2,-1.0,0.07004301249980927,-0.41247060894966125,0.6466173628568552
212,4,13,-0.2,-1.0,0.022976405918598175,-0.3805360198020935,0.6583723113550628
213,4,14,-0.2,-1.0,0.018840298056602478,-0.38802313804626465,0.6499282695961485
214,4,15,-0.2,-1.0,0.027867980301380157,-0.4027797281742096,0.639215041692779
215,4,16,-0.2,-1.0,0.055499233305454254,-0.4192187786102295,0.634497190962
216,4,17,-0.2,-1.0,0.04610194265842438,-0.4018200933933258,0.6468271537653779
217,4,18,-0.2,-1.0,0.058321043848991394,-0.41558974981307983,0.6389562600200198
218,4,19,-0.2,-1.0,0.04634290188550949,-0.4056347608566284,0.643393241191832
219,4,20,-0.2,-1.0,0.027849555015563965,-0.3818921148777008,0.6587661021721989
220,4,21,-0.2,-1.0,0.037778109312057495,-0.4078913927078247,0.6380682033274313
221,4,22,-0.2,-1.0,0.025352969765663147,-0.40057173371315,0.640389106251709
222,4,23,-0.2,-1.0,0.053045377135276794,-0.4032245874404907,0.6482074173635373
223,4,24,-0.2,-1.0,0.04435668885707855,-0.3917868435382843,0.655464289707928
224,4,25,-0.2,-1.0,0.010661840438842773,-0.3777804672718048,0.6569136609369408
225,4,26,-0.2,-1.0,0.019277751445770264,-0.351785808801651,0.6842984509335402
226,4,27,-0.2,-1.0,0.06776967644691467,-0.4157264232635498,0.6427100528985756
227,4,28,-0.2,-1.0,0.04995106905698776,-0.40146031975746155,0.6486333985754752
228,4,29,-0.2,-1.0,0.03367435932159424,-0.40357112884521484,0.640570920781867
229,4,30,-0.2,-1.0,0.05750168859958649,-0.41579633951187134,0.6384363997763342
230,4,31,-0.2,-1.0,0.05582490563392639,-0.4123157858848572,0.6409517281845337
231,4,32,-0.2,-1.0,-0.01615428924560547,-0.40119901299476624,0.6263879527906253
232,4,33,-0.2,-1.0,-0.004596799612045288,-0.3954934775829315,0.6353035072834345
233,4,34,-0.2,-1.0,0.03381938487291336,-0.40546005964279175,0.6388655926110752
234,4,35,-0.2,-1.0,0.04621858149766922,-0.4099580943584442,0.6393536113042946
235,4,36,-0.2,-1.0,0.04881807416677475,-0.4157387912273407,0.6350366872146456
236,4,37,-0.2,-1.0,-0.041669219732284546,-0.4007582366466522,0.6198058784224406
237,4,38,-0.2,-1.0,0.015543371438980103,-0.3807030916213989,0.655734401795861
238,4,39,-0.2,-1.0,0.03046758472919464,-0.4044695496559143,0.6385701409382826
239,4,40,-0.2,-1.0,0.046785905957221985,-0.4011916220188141,0.647668709233035
240,4,41,-0.2,-1.0,-0.02164551615715027,-0.39881840348243713,0.6270802451825883
241,4,42,-0.2,-1.0,-0.02618429809808731,-0.4125736355781555,0.6126023439765148
242,4,43,-0.2,-1.0,-0.010222628712654114,-0.38145560026168823,0.6470028014625312
243,4,44,-0.2,-1.0,0.03194192051887512,-0.39903610944747925,0.6441697386884969
244,4,45,-0.2,-1.0,0.008110195398330688,-0.4034063518047333,0.6318495346960928
245,4,46,-0.2,-1.0,0.04392072558403015,-0.38216495513916016,0.6642420214256516
246,4,47,-0.2,-1.0,0.019333913922309875,-0.39337822794914246,0.6450560751768809
247,4,48,-0.2,-1.0,0.025915488600730896,-0.4030039310455322,0.6383119255793319
248,4,49,-0.2,-1.0,0.04092543572187424,-0.39963966608047485,0.6468984434374059
249,5,0,0.0,-1.0,0.02130541205406189,-0.4404630959033966,0.5599423788469711
250,5,1,0.0,-1.0,0.061821773648262024,-0.4243943989276886,0.5789160039961184
