sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.12082643806934357,0.11622875183820724,1.4208845056612165
1,0,1,-1.0,-1.0,-0.11053581535816193,-0.13050806522369385,1.2438499750378316
2,0,2,-1.0,-1.0,-0.08686148375272751,-0.05990883335471153,1.3105698575271636
3,0,3,-1.0,-1.0,-0.09761331975460052,-0.048276178538799286,1.3115181863096768
4,0,4,-1.0,-1.0,-0.08838333934545517,0.01751948520541191,1.3661591557192851
5,0,5,-1.0,-1.0,-0.08293239027261734,-0.003560351673513651,1.3542174764667996
6,0,6,-1.0,-1.0,-0.057246219366788864,-0.15755191445350647,1.2643193693601174
7,0,7,-1.0,-1.0,-0.10092562437057495,-0.009504366666078568,1.3376906714808945
8,0,8,-1.0,-1.0,-0.1264752298593521,-0.088121697306633,1.262761878966976
9,0,9,-1.0,-1.0,-0.14025309681892395,-0.008526971563696861,1.3123198937934704
10,0,10,-1.0,-1.0,-0.12299329042434692,0.00514940032735467,1.3339662985319962
11,0,11,-1.0,-1.0,-0.08778901398181915,-0.07115527242422104,1.3018761119851554
12,0,12,-1.0,-1.0,-0.07823741436004639,-0.1175021380186081,1.2761068688348092
13,0,13,-1.0,-1.0,-0.11262522637844086,-0.07020395249128342,1.2852838903614816
14,0,14,-1.0,-1.0,-0.06755026429891586,-0.11658152937889099,1.2844807136907743
15,0,15,-1.0,-1.0,-0.11900978535413742,0.004402517341077328,1.336027011382201
16,0,16,-1.0,-1.0,-0.09718301147222519,0.010280808433890343,1.3548969800926547
17,0,17,-1.0,-1.0,-0.07592792063951492,-0.09274287521839142,1.2949998835214627
18,0,18,-1.0,-1.0,-0.11242952197790146,0.07825475186109543,1.3965724697871604
19,0,19,-1.0,-1.0,-0.015256233513355255,-0.012952320277690887,1.394268054457068
20,0,20,-1.0,-1.0,-0.07587678730487823,-0.13983137905597687,1.2624950569006976
21,0,21,-1.0,-1.0,-0.17815934121608734,0.07306847721338272,1.351627916706156
22,0,22,-1.0,-1.0,-0.06687629222869873,-0.1451951265335083,1.2654687770573108
23,0,23,-1.0,-1.0,-0.15037819743156433,-0.028769003227353096,1.2904056945362676
24,0,24,-1.0,-1.0,-0.12091309577226639,0.01814444735646248,1.345143821629307
25,0,25,-1.0,-1.0,-0.1691054403781891,-0.034481827169656754,1.2738175345294818
26,0,26,-1.0,-1.0,-0.09696044772863388,-0.03627527877688408,1.3206989707208232
27,0,27,-1.0,-1.0,-0.05313342809677124,-0.19134466350078583,1.2451826204362273
28,0,28,-1.0,-1.0,-0.10919259488582611,-0.11469754576683044,1.2559053580893431
29,0,29,-1.0,-1.0,-0.11580470204353333,-0.04958130046725273,1.2981128723457924
30,0,30,-1.0,-1.0,-0.11797589063644409,0.0010626979637891054,1.3342012796999987
31,0,31,-1.0,-1.0,-0.08258581906557083,-0.10124858468770981,1.284290810488588
32,0,32,-1.0,-1.0,-0.05516047775745392,-0.18889814615249634,1.2452340904851504
33,0,33,-1.0,-1.0,-0.15958574414253235,-0.036016661673784256,1.2788901430611688
34,0,34,-1.0,-1.0,-0.1180199533700943,0.006039536092430353,1.33791044200812
35,0,35,-1.0,-1.0,-0.07026807218790054,-0.10484549403190613,1.2906211865408785
36,0,36,-1.0,-1.0,-0.09233447909355164,-0.11810865998268127,1.2655390288094304
37,0,37,-1.0,-1.0,-0.05103185027837753,-0.15998315811157227,1.2673471678440313
38,0,38,-1.0,-1.0,-0.13278883695602417,-0.07841263711452484,1.2654558343689004
39,0,39,-1.0,-1.0,-0.068427175283432,-0.04901381582021713,1.3312410188434058
40,0,40,-1.0,-1.0,-0.06730043888092041,-0.11647892743349075,1.284732640272208
41,0,41,-1.0,-1.0,-0.11651777476072311,-0.10899542272090912,1.2547629254349348
42,0,42,-1.0,-1.0,-0.055199723690748215,-0.09598443657159805,1.3076282732622484
43,0,43,-1.0,-1.0,-0.09790933132171631,0.014268383383750916,1.3573901163808142
44,0,44,-1.0,-1.0,-0.04934289678931236,-0.054769452661275864,1.3406005055598031
45,0,45,-1.0,-1.0,-0.09957617521286011,-0.13717138767242432,1.2470911267808107
46,0,46,-1.0,-1.0,-0.05754263699054718,0.02442075125873089,1.39199991260784
47,0,47,-1.0,-1.0,-0.1305811107158661,-0.09580700099468231,1.254374020973923
48,0,48,-1.0,-1.0,-0.13739308714866638,-0.06700494885444641,1.270657487901835
49,0,49,-1.0,-1.0,-0.007538050413131714,-0.16115398705005646,1.2994781086343026
50,1,0,-0.8,-1.0,-0.0742613822221756,-0.020515793934464455,1.2190512094518013
51,1,1,-0.8,-1.0,-0.05234580487012863,-0.20011106133460999,1.0949014155139905
52,1,2,-0.8,-1.0,-0.04830591753125191,-0.1270950585603714,1.1519579117347363
53,1,3,-0.8,-1.0,0.007338292896747589,-0.19494779407978058,1.140133401595816
54,1,4,-0.8,-1.0,-0.07427328079938889,-0.10141834616661072,1.1550447002465454
55,1,5,-0.8,-1.0,-0.055310167372226715,-0.1758859008550644,1.1107326389499184
56,1,6,-0.8,-1.0,-0.026569493114948273,-0.22768694162368774,1.0930060425812116
57,1,7,-0.8,-1.0,-0.04743507504463196,-0.17894883453845978,1.1137679213277927
58,1,8,-0.8,-1.0,0.0031906887888908386,-0.09154146164655685,1.2126055411651586
59,1,9,-0.8,-1.0,-0.03856269270181656,-0.18872462213039398,1.1126340421194114
60,1,10,-0.8,-1.0,-0.03727869316935539,-0.14660733938217163,1.144562285369312
61,1,11,-0.8,-1.0,-0.036664679646492004,-0.10532636940479279,1.1760619526970517
62,1,12,-0.8,-1.0,-0.06536687910556793,-0.024213455617427826,1.2214111521159345
63,1,13,-0.8,-1.0,-0.03681454807519913,-0.21925531327724457,1.0917940739331187
64,1,14,-0.8,-1.0,-0.041566066443920135,-0.20203281939029694,1.1008967494272779
65,1,15,-0.8,-1.0,-0.12488958239555359,-0.043016254901885986,1.171149847090483
66,1,16,-0.8,-1.0,-0.04249779134988785,-0.13627474009990692,1.1488389446303087
67,1,17,-0.8,-1.0,-0.09593493491411209,-0.02251572720706463,1.204650621313885
68,1,18,-0.8,-1.0,-0.10338953137397766,0.14436346292495728,1.3397141039329872
69,1,19,-0.8,-1.0,-0.12411630898714066,0.10968189686536789,1.2993123858441
