sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.14204943180084229,0.14560599625110626,1.4312554894636202
1,0,1,-1.0,-1.0,-0.06693582236766815,0.134416401386261,1.4688462585699205
2,0,2,-1.0,-1.0,-0.11613196134567261,0.18205301463603973,1.4759647824947575
3,0,3,-1.0,-1.0,-0.009274914860725403,0.27212461829185486,1.6124010787606229
4,0,4,-1.0,-1.0,-0.08022923022508621,0.15863674879074097,1.4793300458588394
5,0,5,-1.0,-1.0,-0.12128521502017975,0.1737818866968155,1.4662549542557963
6,0,6,-1.0,-1.0,0.018555335700511932,0.045062050223350525,1.4593182177650683
7,0,7,-1.0,-1.0,-0.08177538961172104,0.16074179112911224,1.4800195744639077
8,0,8,-1.0,-1.0,-0.052568987011909485,0.10717526823282242,1.4572105540923252
9,0,9,-1.0,-1.0,-0.07285336405038834,0.12897878885269165,1.4608880827195396
10,0,10,-1.0,-1.0,-0.10003304481506348,0.1758737713098526,1.48074969069026
11,0,11,-1.0,-1.0,-0.10920441150665283,0.18223333358764648,1.4802676904955292
12,0,12,-1.0,-1.0,-0.09260348230600357,0.14375463128089905,1.4599805125068268
13,0,13,-1.0,-1.0,-0.2370007336139679,0.18612122535705566,1.410337350334361
14,0,14,-1.0,-1.0,-0.07264208048582077,0.14357200264930725,1.4723279648668683
15,0,15,-1.0,-1.0,-0.07072198390960693,0.1243969276547432,1.4587069898058083
16,0,16,-1.0,-1.0,-0.14404237270355225,0.1533551812171936,1.4362770045389956
17,0,17,-1.0,-1.0,-0.018335890024900436,0.21045593917369843,1.5584825971097929
18,0,18,-1.0,-1.0,-0.11627906560897827,0.2179190218448639,1.504755605954831
19,0,19,-1.0,-1.0,0.06256411224603653,0.27802857756614685,1.6620467916725319
20,0,20,-1.0,-1.0,0.156539648771286,0.15009449422359467,1.6310430113345986
21,0,21,-1.0,-1.0,-0.11392652988433838,0.2370195984840393,1.5216253420196524
22,0,22,-1.0,-1.0,-0.04387764632701874,0.16553634405136108,1.5075294108234751
