sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.22556805610656738,0.004056582693010569,1.2680198961261322
1,0,1,-1.0,-1.0,-0.21297547221183777,0.10224194079637527,1.3543798962590738
2,0,2,-1.0,-1.0,-0.23832130432128906,-0.04023277759552002,1.2252785628798184
3,0,3,-1.0,-1.0,-0.16647595167160034,0.053848106414079666,1.343636174912802
4,0,4,-1.0,-1.0,-0.22948747873306274,0.045354120433330536,1.298635738972278
5,0,5,-1.0,-1.0,-0.2613215446472168,-0.0361853651702404,1.2143247138695632
6,0,6,-1.0,-1.0,-0.028222784399986267,-0.06371256709098816,1.3494388143901386
7,0,7,-1.0,-1.0,-0.18298250436782837,0.050302449613809586,1.3306587931674425
8,0,8,-1.0,-1.0,-0.0506003201007843,0.06690472364425659,1.4281615600229411
9,0,9,-1.0,-1.0,-0.16607457399368286,0.0026023858226835728,1.3040870983937978
10,0,10,-1.0,-1.0,-0.14178046584129333,-0.010235467925667763,1.3100284721195603
11,0,11,-1.0,-1.0,-0.21107816696166992,0.017507757991552353,1.2875246390720274
12,0,12,-1.0,-1.0,-0.12199695408344269,0.04887741431593895,1.3678571485724824
13,0,13,-1.0,-1.0,-0.4327973425388336,-0.06370516866445541,1.0946994408588437
14,0,14,-1.0,-1.0,-0.20458459854125977,0.08786242455244064,1.3476387927152007
15,0,15,-1.0,-1.0,-0.20269858837127686,-0.06040746346116066,1.2322839265788728
16,0,16,-1.0,-1.0,-0.25093361735343933,0.004573813173919916,1.2531037434011572
17,0,17,-1.0,-1.0,-0.3351286053657532,0.05013314262032509,1.2429133471938132
18,0,18,-1.0,-1.0,-0.19296255707740784,0.03403046354651451,1.311689152894563
19,0,19,-1.0,-1.0,-0.21871981024742126,0.0835026279091835,1.3358056294184166
20,0,20,-1.0,-1.0,-0.2741268575191498,0.18196038901805878,1.3870552188657614
21,0,21,-1.0,-1.0,-0.07608841359615326,0.03946297988295555,1.3907177664926937
22,0,22,-1.0,-1.0,-0.12535306811332703,0.21732965111732483,1.4989658885205488
23,0,23,-1.0,-1.0,-0.19249308109283447,0.05847259238362312,1.331327027033648
24,0,24,-1.0,-1.0,-0.3529667556285858,0.06109558418393135,1.242809662859296
25,0,25,-1.0,-1.0,-0.12855130434036255,0.12338532507419586,1.4217655987394475
26,0,26,-1.0,-1.0,-0.1910141110420227,-0.02246825024485588,1.26886819264748
27,0,27,-1.0,-1.0,-0.35169896483421326,-0.0066362968645989895,1.18619799312927
28,0,28,-1.0,-1.0,-0.124331995844841,0.2326074093580246,1.511990568457813
29,0,29,-1.0,-1.0,-0.19803030788898468,0.04159785434603691,1.3145651285664415
30,0,30,-1.0,-1.0,-0.2189100682735443,0.06426464021205902,1.3201366239333499
31,0,31,-1.0,-1.0,-0.2738657593727112,0.26608482003211975,1.459534757012362
32,0,32,-1.0,-1.0,0.00683940201997757,-0.04834356531500816,1.385415299156645
33,0,33,-1.0,-1.0,-0.1794370710849762,0.13077740371227264,1.3971331565229816
34,0,34,-1.0,-1.0,-0.389339804649353,0.0537714920938015,1.2179245591313475
35,0,35,-1.0,-1.0,-0.18638673424720764,0.07311102747917175,1.3466750994602699
36,0,36,-1.0,-1.0,-0.0980236604809761,0.061769481748342514,1.393167523819114
37,0,37,-1.0,-1.0,-0.05699707940220833,-0.009665757417678833,1.367485436956118
38,0,38,-1.0,-1.0,-0.060259394347667694,0.12060718238353729,1.4624885856379812
39,0,39,-1.0,-1.0,-0.16681134700775146,0.03681807965040207,1.3301109208502067
40,0,40,-1.0,-1.0,-0.20236605405807495,0.063565194606781,1.3294325236347446
41,0,41,-1.0,-1.0,-0.06321080774068832,-0.04596495255827904,1.3370702533827383
42,0,42,-1.0,-1.0,-0.2743416428565979,0.006146101746708155,1.2405281251757891
43,0,43,-1.0,-1.0,-0.35451996326446533,0.05328051745891571,1.235331666510103
44,0,44,-1.0,-1.0,-0.2603743374347687,0.05180658772587776,1.2858239454562246
45,0,45,-1.0,-1.0,-0.12268227338790894,0.1559043526649475,1.4511379210597382
