sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.14708685874938965,0.10047900676727295,1.3923055953537884
1,0,1,-1.0,-1.0,-0.17443197965621948,0.07358700037002563,1.354308533377036
2,0,2,-1.0,-1.0,-0.12146401405334473,0.2632756233215332,1.538730248965578
3,0,3,-1.0,-1.0,-0.15854907035827637,0.2598327398300171,1.5149977555569276
4,0,4,-1.0,-1.0,-0.1227794885635376,0.16533136367797852,1.4585996753243933
5,0,5,-1.0,-1.0,-0.1352483034133911,0.24848461151123047,1.5187196324304781
6,0,6,-1.0,-1.0,-0.1534045934677124,0.0812792181968689,1.3732765672165244
7,0,7,-1.0,-1.0,-0.15575098991394043,0.1667410135269165,1.4401531111923855
8,0,8,-1.0,-1.0,-0.18639397621154785,0.20285248756408691,1.452173842480289
9,0,9,-1.0,-1.0,-0.14110136032104492,0.32689201831817627,1.5806167471967527
10,0,10,-1.0,-1.0,-0.17748063802719116,0.251498818397522,1.4975938679330087
11,0,11,-1.0,-1.0,-0.13758927583694458,0.20104408264160156,1.4786004009196845
12,0,12,-1.0,-1.0,-0.12916642427444458,0.07302302122116089,1.381929636660834
13,0,13,-1.0,-1.0,-0.2940065264701843,0.1294611096382141,1.3319568997726168
14,0,14,-1.0,-1.0,-0.12198543548583984,0.13816893100738525,1.4374762923295412
15,0,15,-1.0,-1.0,-0.14016282558441162,0.30526018142700195,1.5630176287316253
16,0,16,-1.0,-1.0,-0.12359672784805298,0.1232384443283081,1.4246920011903337
17,0,17,-1.0,-1.0,-0.09214472770690918,0.3152809143066406,1.5981755469815182
18,0,18,-1.0,-1.0,-0.16197705268859863,0.11305356025695801,1.393259016917234
19,0,19,-1.0,-1.0,-0.07187116146087646,0.10426914691925049,1.4425094418289788
20,0,20,-1.0,-1.0,-0.11089837551116943,0.19977855682373047,1.493308502648636
21,0,21,-1.0,-1.0,-0.14174437522888184,0.023195743560791016,1.3354895159050042
22,0,22,-1.0,-1.0,-0.14962166547775269,0.10284090042114258,1.3926239131461686
23,0,23,-1.0,-1.0,-0.16675102710723877,0.3052574396133423,1.548547976167616
24,0,24,-1.0,-1.0,-0.20458459854125977,0.21213078498840332,1.4498091946164404
25,0,25,-1.0,-1.0,-0.19050413370132446,0.22385919094085693,1.467349609604014
26,0,26,-1.0,-1.0,-0.1399317979812622,0.21612071990966797,1.4895190222072874
27,0,27,-1.0,-1.0,-0.2258560061454773,-0.06592714786529541,1.213173943140922
28,0,28,-1.0,-1.0,-0.150526762008667,0.22484242916107178,1.490585038948357
29,0,29,-1.0,-1.0,-0.15989983081817627,0.25662171840667725,1.511577466566196
30,0,30,-1.0,-1.0,-0.1339966058731079,0.27185964584350586,1.5386971233366447
31,0,31,-1.0,-1.0,-0.10424983501434326,0.2506023645401001,1.5383025164983384
32,0,32,-1.0,-1.0,-0.12165206670761108,0.0623624324798584,1.3784444239299358
33,0,33,-1.0,-1.0,-0.17998427152633667,0.07629525661468506,1.3530843559643513
34,0,34,-1.0,-1.0,-0.1958659291267395,0.23249506950378418,1.4716234913490407
35,0,35,-1.0,-1.0,-0.10995745658874512,0.16121220588684082,1.4630753624412374
36,0,36,-1.0,-1.0,-0.1291050910949707,0.16203618049621582,1.45216597782035
37,0,37,-1.0,-1.0,-0.15602701902389526,0.006264448165893555,1.313338696704054
38,0,38,-1.0,-1.0,-0.18014967441558838,0.2510640621185303,1.4957659722982681
39,0,39,-1.0,-1.0,-0.12063479423522949,0.12888264656066895,1.4309644282146001
40,0,40,-1.0,-1.0,-0.10846555233001709,0.17399907112121582,1.4741463598895799
41,0,41,-1.0,-1.0,-0.14734435081481934,0.07307082414627075,1.3705847838500758
42,0,42,-1.0,-1.0,-0.12531310319900513,0.12084639072418213,1.4217502590239892
43,0,43,-1.0,-1.0,-0.15852141380310059,0.0733346939086914,1.3638671402215088
44,0,44,-1.0,-1.0,-0.08947265148162842,0.12981879711151123,1.4510515382667835
45,0,45,-1.0,-1.0,-0.14443856477737427,0.13099133968353271,1.4181420168231922
46,0,46,-1.0,-1.0,-0.10106909275054932,0.21371495723724365,1.5103578295985771
47,0,47,-1.0,-1.0,-0.1558825969696045,0.06674879789352417,1.3603261329203589
48,0,48,-1.0,-1.0,-0.16599369049072266,0.2162318229675293,1.4747156917522115
49,0,49,-1.0,-1.0,-0.10163712501525879,0.03353297710418701,1.3693963158679425
50,1,0,-0.8,-1.0,-0.11029255390167236,0.1577855348587036,1.3476511811041951
51,1,1,-0.8,-1.0,-0.1656011939048767,0.012333452701568604,1.194688605718493
52,1,2,-0.8,-1.0,-0.15026932954788208,0.0697927474975586,1.2516415088692663
53,1,3,-0.8,-1.0,-0.13057851791381836,-0.1373884081840515,1.091890048958092
54,1,4,-0.8,-1.0,-0.17913371324539185,0.10947990417480469,1.27138530894304
55,1,5,-0.8,-1.0,-0.19030779600143433,0.03711354732513428,1.2030499132047483
56,1,6,-0.8,-1.0,-0.19607067108154297,-0.041308045387268066,1.13305820599256
57,1,7,-0.8,-1.0,-0.13103032112121582,0.08504021167755127,1.2746892531972052
58,1,8,-0.8,-1.0,-0.02072453498840332,0.18068993091583252,1.4146727407195892
59,1,9,-0.8,-1.0,-0.24645912647247314,-0.07021647691726685,1.0820835912542788
60,1,10,-0.8,-1.0,-0.12376141548156738,0.0505450963973999,1.24937729399734
61,1,11,-0.8,-1.0,-0.1410677433013916,-0.010993003845214844,1.1884134622937557
62,1,12,-0.8,-1.0,-0.23619288206100464,-0.03466224670410156,1.1179246147111392
63,1,13,-0.8,-1.0,-0.15612035989761353,0.03820645809173584,1.2216601984847366
64,1,14,-0.8,-1.0,-0.14377880096435547,0.05759251117706299,1.2446397799209157
65,1,15,-0.8,-1.0,-0.15610504150390625,0.23427832126617432,1.392136376912956
66,1,16,-0.8,-1.0,-0.13074058294296265,0.10652852058410645,1.2931796217794251
67,1,17,-0.8,-1.0,-0.12716424465179443,0.14251768589019775,1.3259165193355436
68,1,18,-0.8,-1.0,-0.21923625469207764,-0.015449345111846924,1.1430776526136692
69,1,19,-0.8,-1.0,-0.1296200156211853,0.11149048805236816,1.298006328369254
70,1,20,-0.8,-1.0,-0.169569730758667,0.03203141689300537,1.2093515493147078
71,1,21,-0.8,-1.0,-0.26400768756866455,-0.06569081544876099,1.0771357441484761
72,1,22,-0.8,-1.0,-0.26715755462646484,-0.10866636037826538,1.0384588237927286
73,1,23,-0.8,-1.0,-0.19210147857666016,0.11542713642120361,1.2703221280500034
74,1,24,-0.8,-1.0,-0.13238894939422607,0.06996393203735352,1.2611611042019095
75,1,25,-0.8,-1.0,-0.1064157485961914,0.22551274299621582,1.4081692359377442
76,1,26,-0.8,-1.0,-0.1758832335472107,0.01910865306854248,1.195033131309197
77,1,27,-0.8,-1.0,-0.11625128984451294,0.15041160583496094,1.3382672234942712
78,1,28,-0.8,-1.0,-0.1841258406639099,-0.0328516960144043,1.1465935731723556
79,1,29,-0.8,-1.0,-0.1349005103111267,-0.015116453170776367,1.1884245588169706
80,1,30,-0.8,-1.0,-0.029005765914916992,0.5165945291519165,1.701320391591768
81,1,31,-0.8,-1.0,-0.15142887830734253,0.12808823585510254,1.301240780089661
82,1,32,-0.8,-1.0,-0.18714362382888794,0.06332820653915405,1.2272977685286328
83,1,33,-0.8,-1.0,-0.1136317253112793,0.08669519424438477,1.2853045762359256
84,1,34,-0.8,-1.0,-0.15272998809814453,0.005794107913970947,1.196068666850649
85,1,35,-0.8,-1.0,-0.18576598167419434,-0.0564655065536499,1.1258511311855253
86,1,36,-0.8,-1.0,-0.12580323219299316,0.24330270290374756,1.4143347880785437
87,1,37,-0.8,-1.0,-0.11746299266815186,0.14988696575164795,1.3371973677744984
88,1,38,-0.8,-1.0,-0.14920824766159058,0.14444780349731445,1.3165449782827494
89,1,39,-0.8,-1.0,-0.0668100118637085,0.12311446666717529,1.3412507833885463
90,1,40,-0.8,-1.0,-0.15468603372573853,0.0880202054977417,1.2649972658626447
91,1,41,-0.8,-1.0,-0.12987124919891357,0.2736433744430542,1.4391803180675153
92,1,42,-0.8,-1.0,-0.055512428283691406,0.2105083465576172,1.421123570111235
93,1,43,-0.8,-1.0,-0.11787080764770508,0.06994009017944336,1.2688861381670105
94,1,44,-0.8,-1.0,-0.1455371379852295,0.3231266736984253,1.4761388255881707
95,1,45,-0.8,-1.0,-0.1329658031463623,0.0969691276550293,1.2838519723084953
96,1,46,-0.8,-1.0,-0.15910470485687256,-0.012656748294830322,1.177112346390239
97,1,47,-0.8,-1.0,-0.13541162014007568,0.09123682975769043,1.2776836593086935
98,1,48,-0.8,-1.0,-0.14973992109298706,0.09090632200241089,1.2700058163665955
99,1,49,-0.8,-1.0,-0.19309383630752563,0.2316685914993286,1.3730777876048599
100,2,0,-0.6,-1.0,-0.1212158203125,0.2395954132080078,1.3288457695178038
101,2,1,-0.6,-1.0,-0.21949946880340576,0.31262660026550293,1.3666635452683527
102,2,2,-0.6,-1.0,-0.13267111778259277,0.23526787757873535,1.320713070099802
103,2,3,-0.6,-1.0,-0.1434686779975891,0.2177903652191162,1.3005515067038973
104,2,4,-0.6,-1.0,-0.2074224352836609,0.3228715658187866,1.3798935915390214
105,2,5,-0.6,-1.0,-0.13616794347763062,0.27271485328674316,1.3546007804642912
106,2,6,-0.6,-1.0,-0.20208758115768433,0.3068084716796875,1.366046366241916
107,2,7,-0.6,-1.0,-0.16494238376617432,0.2728828191757202,1.3451787244807984
108,2,8,-0.6,-1.0,-0.15392589569091797,0.3001161813735962,1.3745123468360012
109,2,9,-0.6,-1.0,-0.1515204906463623,0.1605236530303955,1.2441659935688218
110,2,10,-0.6,-1.0,-0.2568397521972656,0.065615713596344,1.1195069471582029
