sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.12824875116348267,0.13595686852931976,1.431903714293306
1,0,1,-1.0,-1.0,-0.1364838182926178,-0.06467036157846451,1.272989288478209
2,0,2,-1.0,-1.0,-0.10553264617919922,-0.04237315431237221,1.3103896453470705
3,0,3,-1.0,-1.0,-0.16465607285499573,-0.051863908767700195,1.2636302956621854
4,0,4,-1.0,-1.0,-0.07167989760637283,0.06983859091997147,1.4164507838713438
5,0,5,-1.0,-1.0,-0.08875465393066406,0.011645136401057243,1.3615410249922466
6,0,6,-1.0,-1.0,-0.07509277760982513,0.011537399142980576,1.3706426521506085
7,0,7,-1.0,-1.0,-0.10688172280788422,-0.00827726535499096,1.3346063987057712
8,0,8,-1.0,-1.0,-0.12589754164218903,-0.10880143940448761,1.2483148569630507
9,0,9,-1.0,-1.0,-0.12520071864128113,-0.09824512898921967,1.2563580819405749
10,0,10,-1.0,-1.0,-0.1567898988723755,-0.043665479868650436,1.2749819563580174
11,0,11,-1.0,-1.0,-0.09052875638008118,-0.05178225040435791,1.3138701776126078
12,0,12,-1.0,-1.0,-0.08365610986948013,-0.0055760848335921764,1.352244448328194
13,0,13,-1.0,-1.0,-0.18852412700653076,-0.09674853086471558,1.2142307478175483
14,0,14,-1.0,-1.0,-0.08653829991817474,-0.03111365996301174,1.3315979188278453
15,0,15,-1.0,-1.0,-0.11764875054359436,-0.06384526938199997,1.2864405960151213
16,0,16,-1.0,-1.0,-0.08767786622047424,0.05597420409321785,1.3954974724070022
17,0,17,-1.0,-1.0,-0.08954642713069916,-0.08235947787761688,1.2926677207200292
18,0,18,-1.0,-1.0,-0.14468808472156525,0.03562501445412636,1.3431595746523843
19,0,19,-1.0,-1.0,0.030453279614448547,0.06719040870666504,1.4834855341066429
20,0,20,-1.0,-1.0,-0.13966453075408936,-0.06731362640857697,1.26888966861808
21,0,21,-1.0,-1.0,-0.09479368478059769,-0.060306746512651443,1.304768900519447
22,0,22,-1.0,-1.0,-0.09557147324085236,-0.03794793784618378,1.320429903595845
23,0,23,-1.0,-1.0,-0.13790884613990784,-0.08620177209377289,1.2562755903416998
24,0,24,-1.0,-1.0,-0.1557101011276245,-0.007671693339943886,1.302897118554163
25,0,25,-1.0,-1.0,-0.12705808877944946,-0.09010341763496399,1.2609279800864759
26,0,26,-1.0,-1.0,-0.12773457169532776,-0.03935327008366585,1.2975704671093897
27,0,27,-1.0,-1.0,-0.13178032636642456,-0.030975349247455597,1.3010819249572576
28,0,28,-1.0,-1.0,-0.11293324828147888,-0.09657960385084152,1.2661184123859628
29,0,29,-1.0,-1.0,-0.1290626972913742,-0.06086917966604233,1.2808194575936567
30,0,30,-1.0,-1.0,-0.10402326285839081,-0.056138258427381516,1.3014028203071564
31,0,31,-1.0,-1.0,-0.1376904845237732,-0.04991591349244118,1.2830578599251663
32,0,32,-1.0,-1.0,-0.0682184249162674,-0.01752469688653946,1.3540585751338114
33,0,33,-1.0,-1.0,-0.11657574772834778,-0.040053658187389374,1.3045824575936706
34,0,34,-1.0,-1.0,-0.1550092101097107,-0.029909588396549225,1.286501007261311
35,0,35,-1.0,-1.0,-0.08662744611501694,-0.044774409383535385,1.321629808667673
36,0,36,-1.0,-1.0,-0.12791460752487183,-0.03506075218319893,1.3006308791297214
37,0,37,-1.0,-1.0,-0.051519013941287994,0.04278362914919853,1.4096147977857212
38,0,38,-1.0,-1.0,-0.13367635011672974,-0.09609634429216385,1.2520217590557527
39,0,39,-1.0,-1.0,-0.09347938001155853,0.003383296076208353,1.352241721479183
40,0,40,-1.0,-1.0,-0.08428283035755157,-0.07641962915658951,1.3005916485143323
41,0,41,-1.0,-1.0,-0.06995071470737457,-0.14691565930843353,1.2620398430344772
42,0,42,-1.0,-1.0,-0.05291484296321869,-0.013008365407586098,1.3678899010646983
