sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.02073943242430687,0.38058727979660034,1.6926229634342211
1,0,1,-1.0,-1.0,-0.09180700778961182,0.10259972512722015,1.4284749437601905
2,0,2,-1.0,-1.0,-0.03352387249469757,0.10642144083976746,1.4690964943759115
3,0,3,-1.0,-1.0,-0.10328478366136551,0.1040029525756836,1.4222941673609828
4,0,4,-1.0,-1.0,0.006216995418071747,0.30399781465530396,1.6470831619848405
5,0,5,-1.0,-1.0,-0.012147430330514908,0.1487153023481369,1.5150576045983783
6,0,6,-1.0,-1.0,-0.044644396752119064,0.18652108311653137,1.5233307616329257
7,0,7,-1.0,-1.0,-0.039839647710323334,0.21815061569213867,1.5510637719385274
8,0,8,-1.0,-1.0,-0.06502947211265564,0.013281820341944695,1.3787349039802483
9,0,9,-1.0,-1.0,-0.07647348195314407,0.026705801486968994,1.3809511332204152
10,0,10,-1.0,-1.0,-0.09407422691583633,0.12981311976909637,1.4481640763188812
11,0,11,-1.0,-1.0,-0.04428853094577789,0.1617613136768341,1.5043516085137485
12,0,12,-1.0,-1.0,-0.04242027550935745,0.15985742211341858,1.5040705330492847
13,0,13,-1.0,-1.0,-0.1970030963420868,0.051952969282865524,1.3234081293641933
14,0,14,-1.0,-1.0,-0.025963250547647476,0.14167509973049164,1.5007230332837347
15,0,15,-1.0,-1.0,-0.07399357855319977,0.07273097336292267,1.4171237185838337
16,0,16,-1.0,-1.0,-0.0030241236090660095,0.3017488420009613,1.6396679376496677
17,0,17,-1.0,-1.0,-0.06662112474441528,0.08585873991250992,1.431881743656844
18,0,18,-1.0,-1.0,-0.04205998778343201,0.1301749348640442,1.4815344918024773
19,0,19,-1.0,-1.0,0.06322590261697769,0.34040096402168274,1.710884000844576
20,0,20,-1.0,-1.0,-0.07779031991958618,0.06388524174690247,1.4079497511065102
21,0,21,-1.0,-1.0,-0.09451145678758621,0.11426765471696854,1.4357931286356655
22,0,22,-1.0,-1.0,-0.04511335492134094,0.1568669080734253,1.5000498484866909
23,0,23,-1.0,-1.0,-0.09037872403860092,0.04011877626180649,1.3817590001204991
24,0,24,-1.0,-1.0,-0.10162340849637985,0.12295003235340118,1.438088062437126
25,0,25,-1.0,-1.0,-0.08314890414476395,0.0021698945201933384,1.3582932045230744
26,0,26,-1.0,-1.0,-0.05221318453550339,0.12775547802448273,1.4731368795134283
27,0,27,-1.0,-1.0,-0.14869584143161774,0.11390018463134766,1.4019601961958734
28,0,28,-1.0,-1.0,-0.0595654733479023,0.07573822885751724,1.4288561284974997
29,0,29,-1.0,-1.0,-0.07742588222026825,0.1283758282661438,1.4575235890414797
30,0,30,-1.0,-1.0,-0.05698360875248909,0.10632478445768356,1.4536968194457944
31,0,31,-1.0,-1.0,-0.07594749331474304,0.07878004759550095,1.420436350633656
32,0,32,-1.0,-1.0,-0.036673035472631454,0.1583056002855301,1.506542632731758
33,0,33,-1.0,-1.0,-0.09980592131614685,0.10217687487602234,1.4230752765784902
34,0,34,-1.0,-1.0,-0.08721570670604706,0.12795063853263855,1.4510161298380966
35,0,35,-1.0,-1.0,-0.03436635434627533,0.1338564157485962,1.489321560024146
36,0,36,-1.0,-1.0,-0.06777379661798477,0.12114852666854858,1.458087690477875
37,0,37,-1.0,-1.0,-0.013204284012317657,0.2820247411727905,1.6178236065995586
38,0,38,-1.0,-1.0,-0.06669443845748901,0.03076302632689476,1.3905149001894084
39,0,39,-1.0,-1.0,-0.017777353525161743,0.23235100507736206,1.5758966739489044
40,0,40,-1.0,-1.0,-0.021532785147428513,0.1219741553068161,1.4886987928112898
41,0,41,-1.0,-1.0,-0.06142634153366089,0.018464289605617523,1.38498737234993
42,0,42,-1.0,-1.0,0.0241335928440094,0.22637523710727692,1.5977627602937516
43,0,43,-1.0,-1.0,-0.01608508825302124,0.31245219707489014,1.640310739818761
44,0,44,-1.0,-1.0,0.043634578585624695,0.2916117310523987,1.660552316975219
45,0,45,-1.0,-1.0,-0.08973783999681473,0.06528761982917786,1.4012190809773393
46,0,46,-1.0,-1.0,0.03450842946767807,0.1322798877954483,1.533709697089301
47,0,47,-1.0,-1.0,-0.07496050000190735,0.035612765699625015,1.3885934887636293
48,0,48,-1.0,-1.0,-0.05364144593477249,-0.03508485108613968,1.3515382930038962
49,0,49,-1.0,-1.0,0.03327690809965134,0.2910131514072418,1.6535949098610678
50,1,0,-0.8,-1.0,0.02595505863428116,0.3188641369342804,1.5561504974053644
51,1,1,-0.8,-1.0,-0.038944534957408905,0.23532304167747498,1.4509405357113996
52,1,2,-0.8,-1.0,-0.020091641694307327,0.26752063632011414,1.4882424570117692
53,1,3,-0.8,-1.0,0.006434239447116852,0.24052156507968903,1.4796046552983033
54,1,4,-0.8,-1.0,-0.04199637845158577,0.29273536801338196,1.4985773994002465
55,1,5,-0.8,-1.0,-0.04501285403966904,0.2463933825492859,1.457224092110742
56,1,6,-0.8,-1.0,-0.0327693335711956,0.27376657724380493,1.4869849322747644
57,1,7,-0.8,-1.0,-0.020680226385593414,0.22031179070472717,1.4479296171013933
58,1,8,-0.8,-1.0,0.03882069140672684,0.32089146971702576,1.5647282278732189
59,1,9,-0.8,-1.0,-0.12090303003787994,0.21721969544887543,1.3938423446001293
60,1,10,-0.8,-1.0,0.02310008555650711,0.32681629061698914,1.5613888752933254
61,1,11,-0.8,-1.0,-0.011300444602966309,0.35235825181007385,1.565541385566756
62,1,12,-0.8,-1.0,-0.14600536227226257,0.23978620767593384,1.4017056848426164
63,1,13,-0.8,-1.0,-0.013586781919002533,0.24109119176864624,1.4692695790283787
64,1,14,-0.8,-1.0,0.0010623186826705933,0.24256421625614166,1.4784000371798887
65,1,15,-0.8,-1.0,-0.04009057581424713,0.10640785843133926,1.3422371929599273
66,1,16,-0.8,-1.0,0.017526693642139435,0.2750149965286255,1.514599992139951
67,1,17,-0.8,-1.0,-0.024400796741247177,0.3027639389038086,1.5161622619639952
68,1,18,-0.8,-1.0,-0.11707045137882233,0.2975797653198242,1.4663239804856822
69,1,19,-0.8,-1.0,0.014709167182445526,0.38281339406967163,1.6049685074510336
70,1,20,-0.8,-1.0,-0.03982896730303764,0.22550620138645172,1.4421253234681848
71,1,21,-0.8,-1.0,-0.17401587963104248,0.21217100322246552,1.3642634129842581
72,1,22,-0.8,-1.0,-0.10935544967651367,0.26720401644706726,1.4431894935146632
73,1,23,-0.8,-1.0,-0.03414713591337204,0.2072973996400833,1.4297194202385999
74,1,24,-0.8,-1.0,-0.003451697528362274,0.34192517399787903,1.5605295161513881
75,1,25,-0.8,-1.0,-0.013442762196063995,0.10937804728746414,1.3599235052550216
76,1,26,-0.8,-1.0,0.01132781058549881,0.2864331007003784,1.5209085898919268
