sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.2147378921508789,0.21058060228824615,1.4429629145131269
1,0,1,-1.0,-1.0,-0.21863800287246704,-0.06391844153404236,1.2193339389417417
2,0,2,-1.0,-1.0,-0.1927371621131897,-0.0473809689283371,1.2486618068127897
3,0,3,-1.0,-1.0,-0.23441100120544434,-0.0631583034992218,1.2098755635922673
4,0,4,-1.0,-1.0,-0.20865026116371155,0.09523523598909378,1.35121228210387
5,0,5,-1.0,-1.0,-0.22472357749938965,-0.016859805211424828,1.2520455957728787
6,0,6,-1.0,-1.0,-0.18773749470710754,0.04663830250501633,1.3248479587391409
7,0,7,-1.0,-1.0,-0.23660346865653992,-0.001798003911972046,1.2566548806499538
8,0,8,-1.0,-1.0,-0.18556416034698486,-0.11559551954269409,1.2022799266245232
9,0,9,-1.0,-1.0,-0.18270325660705566,-0.09411618113517761,1.2200817431802784
10,0,10,-1.0,-1.0,-0.25895050168037415,-0.05289548635482788,1.2025644759125504
11,0,11,-1.0,-1.0,-0.19744375348091125,-0.02884124405682087,1.2598594596509214
12,0,12,-1.0,-1.0,-0.19884003698825836,-0.002050410956144333,1.279750236806298
13,0,13,-1.0,-1.0,-0.31871283054351807,-0.07119201123714447,1.1518838861863316
14,0,14,-1.0,-1.0,-0.19215872883796692,-0.03157714009284973,1.2611305860153552
15,0,15,-1.0,-1.0,-0.19005414843559265,-0.09470260888338089,1.2147327479034018
16,0,16,-1.0,-1.0,-0.2003037929534912,0.12481598556041718,1.3801177576340453
17,0,17,-1.0,-1.0,-0.1585085690021515,-0.05007200688123703,1.2690433485714534
18,0,18,-1.0,-1.0,-0.2628542482852936,0.06497558951377869,1.29520533720768
19,0,19,-1.0,-1.0,-0.09214028716087341,0.23445332050323486,1.5323459983625773
20,0,20,-1.0,-1.0,-0.18567577004432678,-0.05635475367307663,1.2464310259329636
21,0,21,-1.0,-1.0,-0.2098778635263443,-0.05965253710746765,1.2282289450725856
22,0,22,-1.0,-1.0,-0.2000860869884491,-0.015214614570140839,1.268725550931204
23,0,23,-1.0,-1.0,-0.21695980429649353,-0.07909314334392548,1.2088099051230337
24,0,24,-1.0,-1.0,-0.29016759991645813,-0.02290806733071804,1.2077129961608237
25,0,25,-1.0,-1.0,-0.19387608766555786,-0.1359664350748062,1.181689368385248
26,0,26,-1.0,-1.0,-0.2271273136138916,-0.04447856545448303,1.2289643612560954
27,0,27,-1.0,-1.0,-0.2565167546272278,-0.016533274203538895,1.2328723116766154
28,0,28,-1.0,-1.0,-0.18516230583190918,-0.08367394655942917,1.2262193539702197
29,0,29,-1.0,-1.0,-0.23323199152946472,-0.06195715814828873,1.2115517124593178
30,0,30,-1.0,-1.0,-0.21541425585746765,-0.06308113783597946,1.2220440843891083
31,0,31,-1.0,-1.0,-0.18478551506996155,-0.04923716187477112,1.2524075338322138
32,0,32,-1.0,-1.0,-0.1682933270931244,0.00670543871819973,1.3058299391967652
33,0,33,-1.0,-1.0,-0.21551913022994995,-0.06846253573894501,1.217855608172451
34,0,34,-1.0,-1.0,-0.2652556002140045,-0.058654457330703735,1.1941443646897283
35,0,35,-1.0,-1.0,-0.18441420793533325,-0.04003084450960159,1.2596511277773297
36,0,36,-1.0,-1.0,-0.19041599333286285,-0.044299833476543427,1.2525131025838323
37,0,37,-1.0,-1.0,-0.16553011536598206,0.1665707230567932,1.4343037475564095
38,0,38,-1.0,-1.0,-0.1780109703540802,-0.10251406580209732,1.2170238152728658
39,0,39,-1.0,-1.0,-0.19555239379405975,0.08147354423999786,1.3478579220457512
40,0,40,-1.0,-1.0,-0.17248910665512085,-0.05463463068008423,1.2563797037973117
41,0,41,-1.0,-1.0,-0.1655658483505249,-0.09816508740186691,1.22865233610646
42,0,42,-1.0,-1.0,-0.17172928154468536,0.057056769728660583,1.3429078142149868
43,0,43,-1.0,-1.0,-0.23553505539894104,0.09677892178297043,1.3369108626947854
44,0,44,-1.0,-1.0,-0.16538287699222565,0.1139039620757103,1.3918935946205586
45,0,45,-1.0,-1.0,-0.19901320338249207,-0.07764633744955063,1.2216039158318892
46,0,46,-1.0,-1.0,-0.19386816024780273,0.007752306759357452,1.2905089131195755
47,0,47,-1.0,-1.0,-0.17208069562911987,-0.09573410451412201,1.2260290307691897
48,0,48,-1.0,-1.0,-0.16117122769355774,-0.13156533241271973,1.2073990562844428
49,0,49,-1.0,-1.0,-0.11470552533864975,0.21406890451908112,1.502567672947238
50,1,0,-0.8,-1.0,-0.17080478370189667,0.13258406519889832,1.2956208106366922
51,1,1,-0.8,-1.0,-0.18258023262023926,0.11356675624847412,1.2732784808411028
52,1,2,-0.8,-1.0,-0.17048174142837524,0.1376878321170807,1.300241070425909
53,1,3,-0.8,-1.0,-0.11971026659011841,0.20970286428928375,1.3878671194507726
54,1,4,-0.8,-1.0,-0.20982548594474792,0.10051389783620834,1.248774117433172
55,1,5,-0.8,-1.0,-0.1980445683002472,0.06845307350158691,1.2263532574376044
56,1,6,-0.8,-1.0,-0.16563594341278076,0.14918163418769836,1.312644729027661
57,1,7,-0.8,-1.0,-0.1751963347196579,0.10858480632305145,1.2725328651779755
