exp_id,description,center_weight,side_weight,corner_weight,geom_residual,geom_only,cross_attn,aux_range,aux_range_weight,trim_best_rmse,trim_best_frac,lr,label_jitter_m,feature_noise_std,spec_augment_prob,cpi_aug,cpi_amp_scale,cpi_complex_noise_std,feature_mode,feature_norm,backbone,session_smooth,session_smooth_alpha,early_stop_patience,checkpoint,global_rmse_m,inner_rmse_m,outer_rmse_m,output_csv
hist_recipe,hist: lr=5e-4 jitter=0.05 es=10 w=1/3/3 no-geom,1.0,3.0,3.0,0,0,0,0,0.0,0,1.0,0.0005,0.05,0.02,0.3,0,0.0,0.0,real_imag,none,cnn,none,0.0,10,/home/lhp/projects/isac/models/cnn_improve_next/hist_recipe/best_model.pth,0.5876754964268713,0.3521516071741773,0.8838234226780545,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/hist_recipe/cnn_rmse.csv
this_run,user run: lr=3e-4 jitter=0.02 es=15 w=1/3/3 (reuse ckpt),1.0,3.0,3.0,0,0,0,0,0.0,0,1.0,0.0003,0.02,0.02,0.3,0,0.0,0.0,real_imag,none,cnn,none,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/this_run/best_model.pth,0.5874670926651382,0.35571329508603333,0.8788745026381087,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/this_run/cnn_rmse.csv
lr5e4_j02,hparam: lr=5e-4 jitter=0.02 es=15,1.0,3.0,3.0,0,0,0,0,0.0,0,1.0,0.0005,0.02,0.02,0.3,0,0.0,0.0,real_imag,none,cnn,none,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/lr5e4_j02/best_model.pth,0.5938259565115568,0.36016178081463224,0.8876354774540052,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/lr5e4_j02/cnn_rmse.csv
lr3e4_j05,hparam: lr=3e-4 jitter=0.05 es=15,1.0,3.0,3.0,0,0,0,0,0.0,0,1.0,0.0003,0.05,0.02,0.3,0,0.0,0.0,real_imag,none,cnn,none,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/lr3e4_j05/best_model.pth,0.5929191714683734,0.36509744434030034,0.8793823929191461,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/lr3e4_j05/cnn_rmse.csv
trim_0.8,this_run + trim-best-rmse frac=0.8,1.0,3.0,3.0,0,0,0,0,0.0,1,0.8,0.0003,0.02,0.02,0.3,0,0.0,0.0,real_imag,none,cnn,none,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/trim_0.8/best_model.pth,0.6206057484652376,0.3959314406947449,0.9031114023047255,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/trim_0.8/cnn_rmse.csv
trim_0.9,this_run + trim-best-rmse frac=0.9,1.0,3.0,3.0,0,0,0,0,0.0,1,0.9,0.0003,0.02,0.02,0.3,0,0.0,0.0,real_imag,none,cnn,none,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/trim_0.9/best_model.pth,0.60317063216523,0.3748070822914461,0.8903151419687345,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/trim_0.9/cnn_rmse.csv
corner4,this_run + corner-weight=4,1.0,3.0,4.0,0,0,0,0,0.0,0,1.0,0.0003,0.02,0.02,0.3,0,0.0,0.0,real_imag,none,cnn,none,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/corner4/best_model.pth,0.5979821649536186,0.3648235297048984,0.8911560189331659,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/corner4/cnn_rmse.csv
geom_plain,this_run + geom-residual (no xattn),1.0,3.0,3.0,1,0,0,0,0.0,0,1.0,0.0003,0.02,0.02,0.3,0,0.0,0.0,real_imag,none,cnn,none,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/geom_plain/best_model.pth,0.5883687375869332,0.3739460775140068,0.8579839614325675,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/geom_plain/cnn_rmse.csv
plain_xattn,this_run + cross-attn (no geom),1.0,3.0,3.0,0,0,1,0,0.0,0,1.0,0.0003,0.02,0.02,0.3,0,0.0,0.0,real_imag,none,cnn,none,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/plain_xattn/best_model.pth,0.6026720892269497,0.3787587908855049,0.8842208492032066,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/plain_xattn/cnn_rmse.csv
aux_0.3,this_run + aux-range weight=0.3,1.0,3.0,3.0,0,0,0,1,0.3,0,1.0,0.0003,0.02,0.02,0.3,0,0.0,0.0,real_imag,none,cnn,none,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/aux_0.3/best_model.pth,0.5969332844781914,0.36991971396547,0.88238032915606,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/aux_0.3/cnn_rmse.csv
aug_off,this_run + no aug (jitter=0 noise=0 spec=0),1.0,3.0,3.0,0,0,0,0,0.0,0,1.0,0.0003,0.0,0.0,0.0,0,0.0,0.0,real_imag,none,cnn,none,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/aug_off/best_model.pth,0.6301328067440871,0.4046373209803498,0.91367101044743,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/aug_off/cnn_rmse.csv
aug_strong,this_run + strong aug (noise=0.05 spec=0.5 jitter=0.03),1.0,3.0,3.0,0,0,0,0,0.0,0,1.0,0.0003,0.03,0.05,0.5,0,0.0,0.0,real_imag,none,cnn,none,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/aug_strong/best_model.pth,0.5878450850256426,0.362802162383756,0.8708142354985081,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/aug_strong/cnn_rmse.csv
aug_spec_only,this_run + SpecAug only (noise=0 spec=0.5),1.0,3.0,3.0,0,0,0,0,0.0,0,1.0,0.0003,0.02,0.0,0.5,0,0.0,0.0,real_imag,none,cnn,none,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/aug_spec_only/best_model.pth,0.5794091232297467,0.3586875725318682,0.8569445771725547,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/aug_spec_only/cnn_rmse.csv
aug_noise_only,this_run + feature noise only (noise=0.05 spec=0),1.0,3.0,3.0,0,0,0,0,0.0,0,1.0,0.0003,0.02,0.05,0.0,0,0.0,0.0,real_imag,none,cnn,none,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/aug_noise_only/best_model.pth,0.6255158868960988,0.39434343620149026,0.9161923108326956,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/aug_noise_only/cnn_rmse.csv
cpi_aug_mild,this_run + raw CPI aug (amp=0.2 noise_rel=0.02),1.0,3.0,3.0,0,0,0,0,0.0,0,1.0,0.0003,0.02,0.02,0.3,1,0.2,0.02,real_imag,none,cnn,none,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/cpi_aug_mild/best_model.pth,0.5897922968123468,0.36590071712023975,0.8713137477415991,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/cpi_aug_mild/cnn_rmse.csv
cpi_aug_strong,this_run + raw CPI aug strong (amp=0.3 noise_rel=0.05),1.0,3.0,3.0,0,0,0,0,0.0,0,1.0,0.0003,0.02,0.02,0.3,1,0.3,0.05,real_imag,none,cnn,none,0.0,15,/home/lhp/projects/isac/models/cnn_improve_next/cpi_aug_strong/best_model.pth,0.599368982084845,0.3686034501648967,0.8895337460295375,/home/lhp/projects/isac/out/cooperative_monostatic/cnn_improve_next/cpi_aug_strong/cnn_rmse.csv
