sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.12035512924194336,0.19499985873699188,1.4838462727089987
1,0,1,-1.0,-1.0,-0.13286882638931274,-0.05867772549390793,1.2798453409411508
2,0,2,-1.0,-1.0,-0.1249183639883995,-0.006714747287333012,1.323776213315984
3,0,3,-1.0,-1.0,-0.15751203894615173,-0.034802086651325226,1.2811685979812752
4,0,4,-1.0,-1.0,-0.09678776562213898,0.1263228803873062,1.4437435960771587
5,0,5,-1.0,-1.0,-0.10552221536636353,0.03563563525676727,1.3684413309370578
6,0,6,-1.0,-1.0,-0.09441521763801575,0.10894650965929031,1.431728381827756
7,0,7,-1.0,-1.0,-0.11466202139854431,0.020304271951317787,1.3508679223803561
8,0,8,-1.0,-1.0,-0.1316448152065277,-0.11718611419200897,1.2383057312041765
9,0,9,-1.0,-1.0,-0.13466748595237732,-0.09773451089859009,1.2501533396713322
10,0,10,-1.0,-1.0,-0.15541458129882812,-0.016787787899374962,1.2961600146225922
11,0,11,-1.0,-1.0,-0.11250004172325134,-0.01594027504324913,1.3251527150570936
12,0,12,-1.0,-1.0,-0.10585898905992508,0.05497819930315018,1.3829197910399056
13,0,13,-1.0,-1.0,-0.18504244089126587,-0.06021580100059509,1.2439253047660936
14,0,14,-1.0,-1.0,-0.1207021027803421,-0.00791068933904171,1.3256719022377472
15,0,15,-1.0,-1.0,-0.12410202622413635,-0.053103841841220856,1.2898874349339633
16,0,16,-1.0,-1.0,-0.09078258275985718,0.12776122987270355,1.4486275240436475
17,0,17,-1.0,-1.0,-0.12105453014373779,-0.04563062638044357,1.2974459681558341
18,0,18,-1.0,-1.0,-0.1378978192806244,0.050958357751369476,1.3593136649532214
19,0,19,-1.0,-1.0,-0.012167856097221375,0.2397243082523346,1.5851588895121174
20,0,20,-1.0,-1.0,-0.13626301288604736,-0.03609008342027664,1.2942812330360884
21,0,21,-1.0,-1.0,-0.1495954990386963,0.04338425397872925,1.3460455106369893
22,0,22,-1.0,-1.0,-0.11611026525497437,-0.004710192792117596,1.3311133924348952
23,0,23,-1.0,-1.0,-0.1444530487060547,-0.09917939454317093,1.242351942520304
24,0,24,-1.0,-1.0,-0.14984866976737976,0.017390094697475433,1.3258355437552698
25,0,25,-1.0,-1.0,-0.1648341417312622,-0.09964742511510849,1.2280622011606788
26,0,26,-1.0,-1.0,-0.13756059110164642,-0.004373765550553799,1.317221823667117
27,0,27,-1.0,-1.0,-0.13553455471992493,-0.003206143621355295,1.3194311267351126
28,0,28,-1.0,-1.0,-0.12079514563083649,-0.08492045104503632,1.2690042383151925
29,0,29,-1.0,-1.0,-0.13448446989059448,-0.046493880450725555,1.2877465017923677
30,0,30,-1.0,-1.0,-0.11524832993745804,-0.0455327183008194,1.301458147430289
31,0,31,-1.0,-1.0,-0.14320436120033264,-0.02950161136686802,1.2945910122527637
32,0,32,-1.0,-1.0,-0.08825969696044922,0.0570894256234169,1.3959614729466918
33,0,33,-1.0,-1.0,-0.1413070559501648,-0.025320684537291527,1.2989816550482256
34,0,34,-1.0,-1.0,-0.14667841792106628,-0.017659610137343407,1.3012111143074403
35,0,35,-1.0,-1.0,-0.11903951317071915,-0.02597949281334877,1.313319202545453
36,0,36,-1.0,-1.0,-0.13759374618530273,-0.02166731469333172,1.3041776680184554
37,0,37,-1.0,-1.0,-0.04666244611144066,0.2013523131608963,1.5336557214679107
38,0,38,-1.0,-1.0,-0.13606517016887665,-0.09041038155555725,1.254486613789577
39,0,39,-1.0,-1.0,-0.09944716840982437,0.09681597352027893,1.4191549183420111
40,0,40,-1.0,-1.0,-0.11622284352779388,-0.05542009323835373,1.2935583723048367
41,0,41,-1.0,-1.0,-0.10360810160636902,-0.0887426882982254,1.2782442347359455
42,0,42,-1.0,-1.0,-0.061489131301641464,0.058932073414325714,1.4149698889978226
43,0,43,-1.0,-1.0,-0.11494868993759155,0.11718171089887619,1.4252756914401248
44,0,44,-1.0,-1.0,-0.04781874269247055,0.12549640238285065,1.4742426186162465
45,0,45,-1.0,-1.0,-0.1428738683462143,-0.05987047404050827,1.2722062455217713
46,0,46,-1.0,-1.0,-0.060040999203920364,0.06788257509469986,1.4226370293818629
47,0,47,-1.0,-1.0,-0.12267224490642548,-0.06659123301506042,1.2809980156666427
48,0,48,-1.0,-1.0,-0.1242024227976799,-0.12061189115047455,1.2411062977116016
49,0,49,-1.0,-1.0,-0.017118345946073532,0.2351672649383545,1.5785102211424156
50,1,0,-0.8,-1.0,-0.054505255073308945,0.15727311372756958,1.3766057803416403
51,1,1,-0.8,-1.0,-0.07851030677556992,0.15077093243598938,1.3582419211497923
52,1,2,-0.8,-1.0,-0.06398273259401321,0.18551376461982727,1.3954082929461367
53,1,3,-0.8,-1.0,-0.0033007636666297913,0.1724025309085846,1.4174827574454054
54,1,4,-0.8,-1.0,-0.09659916162490845,0.10975971817970276,1.3139023447429703
55,1,5,-0.8,-1.0,-0.09856309741735458,0.09144661575555801,1.297408741819245
56,1,6,-0.8,-1.0,-0.049925073981285095,0.16262894868850708,1.3835889805034312
57,1,7,-0.8,-1.0,-0.07891666889190674,0.14197535812854767,1.3505809449917354
58,1,8,-0.8,-1.0,-0.008319094777107239,0.2678053379058838,1.4946869339487756
59,1,9,-0.8,-1.0,-0.10004289448261261,0.09540851414203644,1.2999460613499096
60,1,10,-0.8,-1.0,-0.015123449265956879,0.20116430521011353,1.434861278313365
61,1,11,-0.8,-1.0,-0.015934910625219345,0.23006832599639893,1.4587070134183444
62,1,12,-0.8,-1.0,-0.10796226561069489,0.10687357932329178,1.3054061997794548
63,1,13,-0.8,-1.0,-0.059709303081035614,0.15169815719127655,1.3691015160398254
64,1,14,-0.8,-1.0,-0.059795014560222626,0.1558326631784439,1.3725350872528088
65,1,15,-0.8,-1.0,-0.113989919424057,-0.03882206976413727,1.180877997180195
66,1,16,-0.8,-1.0,-0.05891101062297821,0.08636941015720367,1.315070867102289
67,1,17,-0.8,-1.0,-0.10616597533226013,0.15158703923225403,1.3444546711266776
68,1,18,-0.8,-1.0,-0.10759376734495163,0.23025108873844147,1.4117167323375033
69,1,19,-0.8,-1.0,-0.07933545112609863,0.23202133178710938,1.4273170474642647
70,1,20,-0.8,-1.0,-0.08040832728147507,0.11055659502744675,1.3233095352958055
