sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.13007615506649017,0.2581171989440918,1.5295837284250995
1,0,1,-1.0,-1.0,-0.232539102435112,0.19265013933181763,1.4182420752957894
2,0,2,-1.0,-1.0,-0.14195017516613007,0.28838062286376953,1.547958052166876
3,0,3,-1.0,-1.0,-0.19414719939231873,0.2533063590526581,1.490025357465125
4,0,4,-1.0,-1.0,-0.1322818547487259,0.28101107478141785,1.5472311247227915
5,0,5,-1.0,-1.0,-0.13900528848171234,0.28333476185798645,1.5453996260694365
6,0,6,-1.0,-1.0,-0.15370334684848785,0.21518592536449432,1.480842617680695
7,0,7,-1.0,-1.0,-0.17379991710186005,0.2766236960887909,1.5206494133745287
8,0,8,-1.0,-1.0,-0.21775005757808685,0.11032155156135559,1.35820798123141
9,0,9,-1.0,-1.0,-0.180898517370224,0.21712887287139893,1.4670821149559077
10,0,10,-1.0,-1.0,-0.1909036487340927,0.2749033570289612,1.5099720114609805
11,0,11,-1.0,-1.0,-0.16215817630290985,0.28163570165634155,1.5311985479669867
12,0,12,-1.0,-1.0,-0.14940322935581207,0.2058383673429489,1.4756561369054206
13,0,13,-1.0,-1.0,-0.20779968798160553,0.20379230380058289,1.4410750310277243
14,0,14,-1.0,-1.0,-0.14991262555122375,0.24328336119651794,1.5061215291022585
15,0,15,-1.0,-1.0,-0.17479954659938812,0.24924537539482117,1.4971872949761238
16,0,16,-1.0,-1.0,-0.1326393038034439,0.2648864984512329,1.5337054577952036
17,0,17,-1.0,-1.0,-0.17360737919807434,0.2534863352775574,1.5013836140185612
18,0,18,-1.0,-1.0,-0.14678999781608582,0.22893542051315308,1.496078064680622
19,0,19,-1.0,-1.0,-0.03487788885831833,0.1723376214504242,1.5184980039771585
20,0,20,-1.0,-1.0,-0.20217064023017883,0.23392024636268616,1.469384517985158
21,0,21,-1.0,-1.0,-0.19936874508857727,0.08540326356887817,1.3487441013428052
22,0,22,-1.0,-1.0,-0.18108688294887543,0.24283471703529358,1.4883738868801035
23,0,23,-1.0,-1.0,-0.2097398042678833,0.21005675196647644,1.445250331236157
24,0,24,-1.0,-1.0,-0.18635626137256622,0.2532291114330292,1.494188521957938
25,0,25,-1.0,-1.0,-0.21578648686408997,0.06669159233570099,1.323941761311516
26,0,26,-1.0,-1.0,-0.16969965398311615,0.2698783278465271,1.5172309092982679
27,0,27,-1.0,-1.0,-0.1782427281141281,0.16416002810001373,1.4249749418579738
28,0,28,-1.0,-1.0,-0.19617517292499542,0.21208971738815308,1.454405664049839
29,0,29,-1.0,-1.0,-0.18647389113903046,0.26211151480674744,1.5015825670292835
30,0,30,-1.0,-1.0,-0.16700567305088043,0.25601959228515625,1.5071379382570085
31,0,31,-1.0,-1.0,-0.1951741725206375,0.234214186668396,1.4734413022415824
32,0,32,-1.0,-1.0,-0.12044184654951096,0.18956613540649414,1.479422230401847
33,0,33,-1.0,-1.0,-0.16349433362483978,0.10208366811275482,1.3835931993901298
34,0,34,-1.0,-1.0,-0.18667270243167877,0.26159074902534485,1.501037145108714
35,0,35,-1.0,-1.0,-0.15199211239814758,0.24909785389900208,1.5097558829327504
36,0,36,-1.0,-1.0,-0.18590255081653595,0.22337669134140015,1.469491471797116
37,0,37,-1.0,-1.0,-0.040084563195705414,-0.0046929605305194855,1.3827775484989195
38,0,38,-1.0,-1.0,-0.20313440263271332,0.15914230048656464,1.4066291810725413
39,0,39,-1.0,-1.0,-0.1339786946773529,0.2676173746585846,1.535202497981639
40,0,40,-1.0,-1.0,-0.15228162705898285,0.25384455919265747,1.5135232467454192
41,0,41,-1.0,-1.0,-0.14534501731395721,0.12050904333591461,1.4092464850506623
42,0,42,-1.0,-1.0,-0.12247011810541153,0.24902001023292542,1.526469678565607
43,0,43,-1.0,-1.0,-0.1465238630771637,0.2576197683811188,1.5198779550081338
44,0,44,-1.0,-1.0,-0.105341337621212,0.27447018027305603,1.5571410862778743
