sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.13778401911258698,0.024894777685403824,1.3393377852597368
1,0,1,-1.0,-1.0,-0.1581600457429886,-0.08975935727357864,1.2398518202811397
2,0,2,-1.0,-1.0,-0.13951995968818665,-0.04568658769130707,1.2849669212424424
3,0,3,-1.0,-1.0,-0.17624545097351074,-0.055256474763154984,1.2534400207105147
4,0,4,-1.0,-1.0,-0.11015917360782623,0.010081308893859386,1.3461355603694
5,0,5,-1.0,-1.0,-0.14432837069034576,-0.021154671907424927,1.30012003812498
6,0,6,-1.0,-1.0,-0.09952592849731445,-0.027631089091300964,1.3252753873630918
7,0,7,-1.0,-1.0,-0.14670611917972565,-0.024547327309846878,1.296000911922398
8,0,8,-1.0,-1.0,-0.18365654349327087,-0.11141939461231232,1.206644989734969
9,0,9,-1.0,-1.0,-0.20617735385894775,-0.07676301151514053,1.2175881612569066
10,0,10,-1.0,-1.0,-0.18977561593055725,-0.0430925190448761,1.2538482681922039
11,0,11,-1.0,-1.0,-0.14420244097709656,-0.05508546531200409,1.2748540857267516
12,0,12,-1.0,-1.0,-0.1168019026517868,-0.04282558709383011,1.3023907769489826
13,0,13,-1.0,-1.0,-0.1941869556903839,-0.09183550626039505,1.214124132891215
14,0,14,-1.0,-1.0,-0.13993605971336365,-0.07389294356107712,1.2638766796516743
15,0,15,-1.0,-1.0,-0.2003360390663147,-0.06474754959344864,1.2305119245288154
16,0,16,-1.0,-1.0,-0.11331435292959213,-0.010115599259734154,1.3289403912702717
17,0,17,-1.0,-1.0,-0.13105253875255585,-0.08966626971960068,1.2584820979634972
18,0,18,-1.0,-1.0,-0.17805108428001404,-0.049537576735019684,1.2565742469476282
19,0,19,-1.0,-1.0,-0.017598427832126617,0.008083761669695377,1.4076028273415881
20,0,20,-1.0,-1.0,-0.14169079065322876,-0.09578476846218109,1.2467156387061449
21,0,21,-1.0,-1.0,-0.1778842657804489,-0.06758168339729309,1.2430921919099875
22,0,22,-1.0,-1.0,-0.12802693247795105,-0.06320381164550781,1.2798140993907345
23,0,23,-1.0,-1.0,-0.22838132083415985,-0.07802421599626541,1.2022623392283969
24,0,24,-1.0,-1.0,-0.19833259284496307,-0.03825180605053902,1.2520504064372688
25,0,25,-1.0,-1.0,-0.1795734167098999,-0.09233128279447556,1.2235040983840593
26,0,26,-1.0,-1.0,-0.15257349610328674,-0.04551928490400314,1.276387525400014
27,0,27,-1.0,-1.0,-0.10688674449920654,-0.10004454106092453,1.2679002781076545
28,0,28,-1.0,-1.0,-0.1703338325023651,-0.1034599170088768,1.221527760593243
29,0,29,-1.0,-1.0,-0.19063211977481842,-0.06568407267332077,1.2361321197980888
30,0,30,-1.0,-1.0,-0.2075566053390503,-0.06200811639428139,1.227923168383093
31,0,31,-1.0,-1.0,-0.1454278528690338,-0.09355666488409042,1.2457660592695896
32,0,32,-1.0,-1.0,-0.10676254332065582,-0.03988746181130409,1.311369223370033
33,0,33,-1.0,-1.0,-0.13812419772148132,-0.051484547555446625,1.2816050335728773
