sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.17923536896705627,0.20370644330978394,1.456902117926985
1,0,1,-1.0,-1.0,-0.11305171251296997,-0.025719627737998962,1.317535391726218
2,0,2,-1.0,-1.0,-0.1345270425081253,0.0642603188753128,1.3717483247601634
3,0,3,-1.0,-1.0,-0.1888139247894287,0.03613516688346863,1.3159023264164267
4,0,4,-1.0,-1.0,-0.12095558643341064,0.14757291972637177,1.4455596449513726
5,0,5,-1.0,-1.0,-0.1302066594362259,0.06708823144435883,1.376669077511418
6,0,6,-1.0,-1.0,-0.0965576320886612,0.10292331129312515,1.425709627775249
7,0,7,-1.0,-1.0,-0.1601373851299286,0.09079063683748245,1.376660243222239
8,0,8,-1.0,-1.0,-0.10473960638046265,-0.06970822811126709,1.2910979642256768
9,0,9,-1.0,-1.0,-0.15865617990493774,-0.018802400678396225,1.292520078190908
10,0,10,-1.0,-1.0,-0.19802045822143555,0.04646635800600052,1.3184320323284393
11,0,11,-1.0,-1.0,-0.13750487565994263,0.04558509960770607,1.3554136047834358
12,0,12,-1.0,-1.0,-0.09067001193761826,0.06828629970550537,1.4028958070106319
13,0,13,-1.0,-1.0,-0.27516070008277893,0.00034924596548080444,1.235350405596806
14,0,14,-1.0,-1.0,-0.10264109820127487,0.01694529689848423,1.3562561467220564
15,0,15,-1.0,-1.0,-0.1505129188299179,0.0017900887178257108,1.3134731374977315
16,0,16,-1.0,-1.0,-0.1561535894870758,0.14280998706817627,1.4205954494782502
17,0,17,-1.0,-1.0,-0.10278654098510742,-0.0010830172104761004,1.3426939820907795
18,0,18,-1.0,-1.0,-0.15557217597961426,0.05183860659599304,1.3488598164025807
19,0,19,-1.0,-1.0,-0.02478615567088127,0.22192887961864471,1.563378466340526
20,0,20,-1.0,-1.0,-0.10555539280176163,-0.016108503565192223,1.3296892990855933
21,0,21,-1.0,-1.0,-0.09570235013961792,0.0059379651211202145,1.3526512592738122
22,0,22,-1.0,-1.0,-0.1105925589799881,0.030822690576314926,1.361484856892929
23,0,23,-1.0,-1.0,-0.17193296551704407,-0.030507856979966164,1.274994128996277
24,0,24,-1.0,-1.0,-0.20982062816619873,0.05744705721735954,1.3200673158931382
25,0,25,-1.0,-1.0,-0.11498582363128662,-0.038889020681381226,1.3065161334405275
26,0,26,-1.0,-1.0,-0.15140300989151,0.05434643477201462,1.353426487156819
27,0,27,-1.0,-1.0,-0.18287724256515503,0.038961950689554214,1.3217910332948126
28,0,28,-1.0,-1.0,-0.10751371085643768,-0.04460541903972626,1.307406050788164
29,0,29,-1.0,-1.0,-0.16889715194702148,0.02341637760400772,1.318375146151459
30,0,30,-1.0,-1.0,-0.15958309173583984,0.017312048003077507,1.3195546152806656
31,0,31,-1.0,-1.0,-0.11026207357645035,-0.004331424366682768,1.3352862952266666
32,0,32,-1.0,-1.0,-0.06520232558250427,0.05147622153162956,1.406928902447736
33,0,33,-1.0,-1.0,-0.09146873652935028,0.003919586073607206,1.3539880324455522
34,0,34,-1.0,-1.0,-0.19557499885559082,0.03975089639425278,1.314603175493972
35,0,35,-1.0,-1.0,-0.0990787148475647,0.011636529117822647,1.3546466805356556
36,0,36,-1.0,-1.0,-0.10379131138324738,0.006759598385542631,1.3478705065745664
37,0,37,-1.0,-1.0,-0.0680730938911438,0.14761261641979218,1.478344505078402
38,0,38,-1.0,-1.0,-0.11491316556930542,-0.05246437340974808,1.296611918864056
39,0,39,-1.0,-1.0,-0.14490583539009094,0.11209035664796829,1.4028296374468725
40,0,40,-1.0,-1.0,-0.08780908584594727,-0.008218142203986645,1.3474878542378472
41,0,41,-1.0,-1.0,-0.04165224730968475,-0.08012058585882187,1.3283856938582614
42,0,42,-1.0,-1.0,-0.11190482974052429,0.08887401968240738,1.40511909181305
43,0,43,-1.0,-1.0,-0.1729935109615326,0.12413723021745682,1.395573088473946
44,0,44,-1.0,-1.0,-0.09263705462217331,0.1388990730047226,1.4561588557350948
45,0,45,-1.0,-1.0,-0.1038488894701004,-0.03668072074651718,1.315701655652003
46,0,46,-1.0,-1.0,-0.06655707210302353,0.07885131984949112,1.4266169317591422
47,0,47,-1.0,-1.0,-0.07187975943088531,-0.051942676305770874,1.3267327801649944
48,0,48,-1.0,-1.0,-0.07646441459655762,-0.061036061495542526,1.3170312279206904
