sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.24599257111549377,0.3245985507965088,1.524168141507109
1,0,1,-1.0,-1.0,-0.24085010588169098,0.14801551401615143,1.3763168901679614
2,0,2,-1.0,-1.0,-0.20848019421100616,0.25296497344970703,1.4820340170347208
3,0,3,-1.0,-1.0,-0.20669123530387878,0.23375970125198364,1.4667998488468255
4,0,4,-1.0,-1.0,-0.18306516110897064,0.27112922072410583,1.5110102669315602
5,0,5,-1.0,-1.0,-0.19613026082515717,0.26032230257987976,1.4948641623710428
6,0,6,-1.0,-1.0,-0.17349736392498016,0.15030501782894135,1.4164421066465787
7,0,7,-1.0,-1.0,-0.1951276957988739,0.2331632822751999,1.472586536276145
8,0,8,-1.0,-1.0,-0.2452511340379715,0.12731778621673584,1.356647058667644
9,0,9,-1.0,-1.0,-0.21261748671531677,0.18419310450553894,1.4220705084435759
10,0,10,-1.0,-1.0,-0.19679252803325653,0.24786455929279327,1.484017587955818
11,0,11,-1.0,-1.0,-0.20274321734905243,0.21654337644577026,1.4545089082769536
12,0,12,-1.0,-1.0,-0.1625465601682663,0.17337283492088318,1.441572777773038
13,0,13,-1.0,-1.0,-0.1859460473060608,0.15607409179210663,1.4139275595339282
14,0,14,-1.0,-1.0,-0.18756268918514252,0.2133142203092575,1.4602005962225666
15,0,15,-1.0,-1.0,-0.21719500422477722,0.20219776034355164,1.4345951053818977
16,0,16,-1.0,-1.0,-0.23072360455989838,0.2718096375465393,1.486366686500197
17,0,17,-1.0,-1.0,-0.19027362763881683,0.20703019201755524,1.4534712527391582
18,0,18,-1.0,-1.0,-0.23161634802818298,0.2785068452358246,1.4916411062760395
19,0,19,-1.0,-1.0,-0.23328225314617157,0.31525784730911255,1.522418900384783
20,0,20,-1.0,-1.0,-0.22705501317977905,0.1949792355298996,1.4231722755865273
21,0,21,-1.0,-1.0,-0.0675152987241745,-0.19231964647769928,1.233643089219639
22,0,22,-1.0,-1.0,-0.1966775357723236,0.180190771818161,1.4276474492736548
23,0,23,-1.0,-1.0,-0.21288616955280304,0.17268525063991547,1.4123522503786583
24,0,24,-1.0,-1.0,-0.2058732956647873,0.26462501287460327,1.4932895384775173
25,0,25,-1.0,-1.0,-0.2092258781194687,0.08531807363033295,1.3428473601957083
26,0,26,-1.0,-1.0,-0.19756658375263214,0.25246408581733704,1.487469553897719
27,0,27,-1.0,-1.0,-0.17636966705322266,0.04949204996228218,1.3340916341406435
28,0,28,-1.0,-1.0,-0.23465174436569214,0.1559177190065384,1.3863274236325835
29,0,29,-1.0,-1.0,-0.2054842710494995,0.22646275162696838,1.4613234154964259
30,0,30,-1.0,-1.0,-0.18949094414710999,0.2101079374551773,1.456463576582527
31,0,31,-1.0,-1.0,-0.18564821779727936,0.21696574985980988,1.464299990271323
32,0,32,-1.0,-1.0,-0.17635369300842285,0.14811140298843384,1.41299434984466
33,0,33,-1.0,-1.0,-0.1369110643863678,0.049538154155015945,1.3588424661474894
34,0,34,-1.0,-1.0,-0.19906404614448547,0.23791934549808502,1.4744296212898227
35,0,35,-1.0,-1.0,-0.19211365282535553,0.20325791835784912,1.4493136196289795
36,0,36,-1.0,-1.0,-0.20063091814517975,0.17791593074798584,1.4235437713450585
37,0,37,-1.0,-1.0,-0.0737052708864212,0.17982584238052368,1.5000036478397345
38,0,38,-1.0,-1.0,-0.24747827649116516,0.15097180008888245,1.375145457379891
39,0,39,-1.0,-1.0,-0.2304394245147705,0.26379290223121643,1.4796607648617162
40,0,40,-1.0,-1.0,-0.19738447666168213,0.19114305078983307,1.436319409375419
41,0,41,-1.0,-1.0,-0.19975604116916656,0.0640096589922905,1.3313553049708913
42,0,42,-1.0,-1.0,-0.22720587253570557,0.20293818414211273,1.4297800664124618
43,0,43,-1.0,-1.0,-0.209625244140625,0.2600177526473999,1.4873926824098507
44,0,44,-1.0,-1.0,-0.1770944744348526,0.25996705889701843,1.5048888641727847
45,0,45,-1.0,-1.0,-0.2434900850057602,0.18296454846858978,1.404176760389548
46,0,46,-1.0,-1.0,-0.2000267505645752,0.24012239277362823,1.4757576863668578
47,0,47,-1.0,-1.0,-0.2548562288284302,0.10546517372131348,1.3331513380057354
48,0,48,-1.0,-1.0,-0.23553180694580078,0.09288934618234634,1.333723637486578
49,0,49,-1.0,-1.0,-0.1345997303724289,0.23544666171073914,1.5083918856198086
50,1,0,-0.8,-1.0,-0.18059717118740082,0.26258254051208496,1.406333721400081
51,1,1,-0.8,-1.0,-0.13669249415397644,0.14893494546413422,1.3266606032517683
52,1,2,-0.8,-1.0,-0.21466946601867676,0.18726052343845367,1.3237066837204579
53,1,3,-0.8,-1.0,-0.22261501848697662,0.15273474156856537,1.2892520317206957
54,1,4,-0.8,-1.0,-0.20838971436023712,0.1901763528585434,1.3291058953215225
55,1,5,-0.8,-1.0,-0.17332731187343597,0.11523765325546265,1.2792473104456876
56,1,6,-0.8,-1.0,-0.10444241762161255,0.09635012596845627,1.2983774293768038
57,1,7,-0.8,-1.0,-0.12448355555534363,0.20380614697933197,1.380388244741448
58,1,8,-0.8,-1.0,-0.19359439611434937,0.2958492636680603,1.4307176767528158
59,1,9,-0.8,-1.0,-0.15033048391342163,0.0402338020503521,1.2264407213804915
60,1,10,-0.8,-1.0,-0.20014172792434692,0.22022069990634918,1.359694268230005
61,1,11,-0.8,-1.0,-0.22335246205329895,0.2421080321073532,1.369435922723511
62,1,12,-0.8,-1.0,-0.22140571475028992,0.17274977266788483,1.307713032823409
63,1,13,-0.8,-1.0,-0.16917933523654938,0.13506418466567993,1.2985782280645886
64,1,14,-0.8,-1.0,-0.1761378049850464,0.15859441459178925,1.3158818548381033
65,1,15,-0.8,-1.0,-0.2120857983827591,0.15913031995296478,1.2997023532707404
66,1,16,-0.8,-1.0,-0.18113918602466583,0.19072216749191284,1.3419418717779292
