sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,r_dev0_m,r_dev1_m,r_dev0_cal_m,r_dev1_cal_m,rmse_xy_m
0,0,0,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
1,0,1,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
2,0,2,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
3,0,3,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
4,0,4,-1.0,-1.0,-3.3526745875287887,-2.6728300619330856,3.509521484375,3.0556216516308248,3.419521484375002,2.9956216516308265,2.8867694973639315
5,0,5,-1.0,-1.0,-3.319952915233797,-1.180829796237176,3.509521484375,1.8310546875,3.419521484375002,1.7710546875000017,2.3269896742592073
6,0,6,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
7,0,7,-1.0,-1.0,-3.319952915233797,-1.180829796237176,3.509521484375,1.8310546875,3.419521484375002,1.7710546875000017,2.3269896742592073
8,0,8,-1.0,-1.0,-3.319952915233797,-1.180829796237176,3.509521484375,1.8310546875,3.419521484375002,1.7710546875000017,2.3269896742592073
9,0,9,-1.0,-1.0,-3.359311209424169,-1.361129605992466,3.509521484375,1.983642578125,3.419521484375002,1.9236425781250017,2.3867894702379617
10,0,10,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
11,0,11,-1.0,-1.0,-3.319952915233797,-1.180829796237176,3.509521484375,1.8310546875,3.419521484375002,1.7710546875000017,2.3269896742592073
12,0,12,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
13,0,13,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
14,0,14,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
15,0,15,-1.0,-1.0,-3.359311209424169,-1.361129605992466,3.509521484375,1.983642578125,3.419521484375002,1.9236425781250017,2.3867894702379617
16,0,16,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
17,0,17,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
18,0,18,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
19,0,19,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
20,0,20,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
21,0,21,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
22,0,22,-1.0,-1.0,-3.319952915233797,-1.180829796237176,3.509521484375,1.8310546875,3.419521484375002,1.7710546875000017,2.3269896742592073
23,0,23,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
24,0,24,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
25,0,25,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
26,0,26,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
27,0,27,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
28,0,28,-1.0,-1.0,-3.319952915233797,-1.180829796237176,3.509521484375,1.8310546875,3.419521484375002,1.7710546875000017,2.3269896742592073
29,0,29,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
30,0,30,-1.0,-1.0,-3.319952915233797,-1.180829796237176,3.509521484375,1.8310546875,3.419521484375002,1.7710546875000017,2.3269896742592073
31,0,31,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
32,0,32,-1.0,-1.0,-3.319952915233797,-1.180829796237176,3.509521484375,1.8310546875,3.419521484375002,1.7710546875000017,2.3269896742592073
33,0,33,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
34,0,34,-1.0,-1.0,1.2387699576063684,1.1872521353407435,3.509521484375,3.509521484375,3.419521484375002,3.4495214843750017,3.1298822384609717
