sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.48289310932159424,-0.14694467186927795,0.9975484595944712
1,0,1,-1.0,-1.0,-0.3359996974468231,-0.13988181948661804,1.086600058089618
2,0,2,-1.0,-1.0,-0.41562575101852417,-0.09843899309635162,1.0743861093860922
3,0,3,-1.0,-1.0,-0.16505348682403564,-0.22656531631946564,1.1381286789219878
4,0,4,-1.0,-1.0,-0.3571261465549469,-0.11886662244796753,1.0907258227802
5,0,5,-1.0,-1.0,-0.4213413894176483,-0.0940384790301323,1.0749939837409015
6,0,6,-1.0,-1.0,-0.04339751601219177,-0.18970148265361786,1.253663431541891
7,0,7,-1.0,-1.0,-0.34598416090011597,-0.11795545369386673,1.098061610048324
8,0,8,-1.0,-1.0,-0.37943992018699646,-0.021334728226065636,1.1588272204405066
9,0,9,-1.0,-1.0,-0.4578906297683716,-0.11469972878694534,1.0380939935780578
10,0,10,-1.0,-1.0,-0.34055057168006897,-0.11735997349023819,1.1017835381365237
11,0,11,-1.0,-1.0,-0.3635835647583008,-0.11201156675815582,1.0924968359757647
12,0,12,-1.0,-1.0,-0.33141613006591797,0.04250123351812363,1.2384721284804283
13,0,13,-1.0,-1.0,-0.44504883885383606,0.037427447736263275,1.1765315552819027
14,0,14,-1.0,-1.0,-0.40394917130470276,-0.112185999751091,1.0693410538393822
15,0,15,-1.0,-1.0,-0.4603751003742218,-0.07231699675321579,1.0732151633335714
16,0,16,-1.0,-1.0,-0.5021550059318542,-0.14677193760871887,0.9878500719090382
17,0,17,-1.0,-1.0,-0.30042535066604614,-0.28799957036972046,0.9981729818946349
18,0,18,-1.0,-1.0,-0.4502926766872406,-0.17647162079811096,0.990139956094374
19,0,19,-1.0,-1.0,-0.25560951232910156,-0.06161050498485565,1.197786309192794
20,0,20,-1.0,-1.0,-0.15070533752441406,-0.14487123489379883,1.2052164239760326
21,0,21,-1.0,-1.0,-0.335450142621994,0.08991052210330963,1.2765310255268523
22,0,22,-1.0,-1.0,-0.32820549607276917,-0.0435255765914917,1.168824699491533
23,0,23,-1.0,-1.0,-0.5528226494789124,-0.2400173395872116,0.8817829817745176
24,0,24,-1.0,-1.0,-0.40873995423316956,-0.24499507248401642,0.9589686555323954
25,0,25,-1.0,-1.0,-0.33242782950401306,0.03630144149065018,1.232709730819191
26,0,26,-1.0,-1.0,-0.41031765937805176,-0.10963323712348938,1.0679317559079213
27,0,27,-1.0,-1.0,-0.42348551750183105,-0.050790660083293915,1.1105707179262563
28,0,28,-1.0,-1.0,-0.3955127000808716,-0.06732679903507233,1.1114333968176782
29,0,29,-1.0,-1.0,-0.4120674729347229,-0.12582282721996307,1.0534943691311602
30,0,30,-1.0,-1.0,-0.44692593812942505,-0.10531214624643326,1.051835193159166
