sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.7596179842948914,-0.00827266275882721,1.0204443271957162
1,0,1,-1.0,-1.0,-0.6015083193778992,0.03404456004500389,1.108171363861967
2,0,2,-1.0,-1.0,-0.4805469512939453,-0.013377062976360321,1.1150140311543921
3,0,3,-1.0,-1.0,-0.5180453062057495,-0.08700814843177795,1.0323925841947337
4,0,4,-1.0,-1.0,-0.6823230385780334,0.10073383152484894,1.145658596477008
5,0,5,-1.0,-1.0,-0.4880337119102478,0.01616285741329193,1.1378472801420871
6,0,6,-1.0,-1.0,-0.7673867344856262,0.03899180516600609,1.0647125914984648
7,0,7,-1.0,-1.0,-0.7063920497894287,0.05651500076055527,1.096553498584966
8,0,8,-1.0,-1.0,-0.5171281099319458,0.09438580274581909,1.196179563221804
9,0,9,-1.0,-1.0,-0.2851538360118866,-0.21875178813934326,1.0589399448051784
10,0,10,-1.0,-1.0,-0.610233724117279,-0.01002255454659462,1.063942241064775
11,0,11,-1.0,-1.0,-0.5669482946395874,0.06584049016237259,1.1504563138099282
12,0,12,-1.0,-1.0,-0.7150103449821472,0.07289613783359528,1.110101448537673
13,0,13,-1.0,-1.0,-0.257132887840271,-0.10469813644886017,1.163364505736134
14,0,14,-1.0,-1.0,-0.5505622029304504,0.07237690687179565,1.1627495705553494
15,0,15,-1.0,-1.0,-0.23606038093566895,-0.21563732624053955,1.0949102911029949
16,0,16,-1.0,-1.0,-0.7096673250198364,0.027594827115535736,1.0678221719348897
17,0,17,-1.0,-1.0,-0.4742758274078369,0.05536004155874252,1.179055012697281
18,0,18,-1.0,-1.0,-0.74538654088974,0.002813182771205902,1.0346314769519667
19,0,19,-1.0,-1.0,-0.6690003871917725,0.11846202611923218,1.1664124688762267
20,0,20,-1.0,-1.0,-0.5773618221282959,0.031415652483701706,1.1146484995652641
21,0,21,-1.0,-1.0,-0.7378599643707275,0.17563769221305847,1.2045087719198073
22,0,22,-1.0,-1.0,-0.640886664390564,0.04586037993431091,1.105796691136701
23,0,23,-1.0,-1.0,-0.23784023523330688,-0.13529153168201447,1.1526526980014655
24,0,24,-1.0,-1.0,-0.587300181388855,-0.037321217358112335,1.0474118477612036
25,0,25,-1.0,-1.0,-0.6761732697486877,0.1490153968334198,1.1937755791544395
26,0,26,-1.0,-1.0,-0.5319168567657471,-0.017130352556705475,1.0886388624541035
27,0,27,-1.0,-1.0,-0.5552019476890564,0.17638950049877167,1.2576714850164006
28,0,28,-1.0,-1.0,-0.4741431474685669,0.04073106497526169,1.166038841102134
29,0,29,-1.0,-1.0,-0.4819072484970093,-0.014445949345827103,1.113434724589092
30,0,30,-1.0,-1.0,-0.4615734815597534,0.05019393563270569,1.1801738932036232
31,0,31,-1.0,-1.0,-0.5782231688499451,0.03804224729537964,1.1204585679377101
32,0,32,-1.0,-1.0,-0.6595754623413086,0.07327818870544434,1.1259728843053785
33,0,33,-1.0,-1.0,-0.7150170803070068,0.11175961792469025,1.1477041049699162
34,0,34,-1.0,-1.0,-0.5399934649467468,0.008159872144460678,1.1081481580068773
35,0,35,-1.0,-1.0,-0.5725571513175964,0.07314913719892502,1.1551434800753217
36,0,36,-1.0,-1.0,-0.6385778784751892,0.062254901975393295,1.1220567840792406
37,0,37,-1.0,-1.0,-0.6983157396316528,0.11270740628242493,1.1528795101612996
38,0,38,-1.0,-1.0,-0.43300575017929077,0.03665012866258621,1.1815777454682808
39,0,39,-1.0,-1.0,-0.6963996291160583,0.012845337390899658,1.0573688394667928
40,0,40,-1.0,-1.0,-0.46759384870529175,0.05111118406057358,1.178257625137077
41,0,41,-1.0,-1.0,-0.5450760126113892,0.18418872356414795,1.268565633823508
42,0,42,-1.0,-1.0,-0.5291780233383179,0.029722657054662704,1.1322553087353258
43,0,43,-1.0,-1.0,-0.6973333358764648,0.06400337815284729,1.1062143997852947
44,0,44,-1.0,-1.0,-0.6186519861221313,0.09491463005542755,1.1594241479277585
45,0,45,-1.0,-1.0,-0.56678706407547,0.018908392637968063,1.1071800939505907
46,0,46,-1.0,-1.0,-0.4973642826080322,0.17298603057861328,1.2761421912665962
47,0,47,-1.0,-1.0,-0.6537421345710754,0.11670239269733429,1.1691530024882744
48,0,48,-1.0,-1.0,-0.5937153697013855,0.17043337225914001,1.2389436951350068
49,0,49,-1.0,-1.0,-0.707676112651825,0.08200252056121826,1.1207955699480516
50,1,0,-0.8,-1.0,-0.6393581628799438,0.10710322856903076,1.1186971701677262
51,1,1,-0.8,-1.0,-0.7649796605110168,0.03691723942756653,1.0375084508571528
52,1,2,-0.8,-1.0,-0.7764779329299927,-0.004797235131263733,0.9954807033999319
53,1,3,-0.8,-1.0,-0.7098012566566467,0.05780945345759392,1.0616480834650313
54,1,4,-0.8,-1.0,-0.7638038396835327,-0.0031155794858932495,0.9975413324195654
55,1,5,-0.8,-1.0,-0.7446795105934143,0.07334618270397186,1.0747708520765589
56,1,6,-0.8,-1.0,-0.7542385458946228,0.052456486970186234,1.0534508852563866
57,1,7,-0.8,-1.0,-0.7092863321304321,0.07674875110387802,1.080563206176349
58,1,8,-0.8,-1.0,-0.7086811065673828,0.09962433576583862,1.1034096338650572
59,1,9,-0.8,-1.0,-0.6915433406829834,0.1283811330795288,1.1335814167672513
60,1,10,-0.8,-1.0,-0.6756770014762878,0.09319639205932617,1.1002429547938286
61,1,11,-0.8,-1.0,-0.690054178237915,0.08047279715538025,1.0860522773401433
62,1,12,-0.8,-1.0,-0.6548462510108948,0.12508869171142578,1.1344135820160652
63,1,13,-0.8,-1.0,-0.7371590733528137,0.07564140111207962,1.077475478072812
64,1,14,-0.8,-1.0,-0.7437533736228943,0.04428960755467415,1.0458032642067538
65,1,15,-0.8,-1.0,-0.5290757417678833,0.017771650105714798,1.0532136941084331
66,1,16,-0.8,-1.0,-0.6314961910247803,0.1103186085820198,1.1230320325808476
67,1,17,-0.8,-1.0,-0.765095591545105,-0.022726789116859436,0.9778963372665987
68,1,18,-0.8,-1.0,-0.6363826990127563,0.011110872030258179,1.0242635484679417
69,1,19,-0.8,-1.0,-0.7853228449821472,0.006244964897632599,1.0063520001775004
70,1,20,-0.8,-1.0,-0.7509168386459351,0.05381660908460617,1.0549590524333572
71,1,21,-0.8,-1.0,-0.6302686929702759,0.05880293250083923,1.0723210183794754
72,1,22,-0.8,-1.0,-0.782954216003418,-0.01658262312412262,0.9835650948938202
73,1,23,-0.8,-1.0,-0.7335783243179321,-0.005765043199062347,0.9964511971618962
74,1,24,-0.8,-1.0,-0.7482373118400574,0.045928630977869034,1.0472087074622627
75,1,25,-0.8,-1.0,-0.6879448890686035,0.09930671006441116,1.105002982203436
76,1,26,-0.8,-1.0,-0.7421855330467224,0.023043613880872726,1.0246759236419718
77,1,27,-0.8,-1.0,-0.6489558219909668,0.08576725423336029,1.0962230038071064
78,1,28,-0.8,-1.0,-0.7699698209762573,0.008205555379390717,1.0086526922335872
79,1,29,-0.8,-1.0,-0.701446533203125,0.08451148867607117,1.088980236224731
80,1,30,-0.8,-1.0,-0.6982417106628418,0.07810559123754501,1.082897232107683
81,1,31,-0.8,-1.0,-0.6753292083740234,0.08293791115283966,1.0900905126166007
82,1,32,-0.8,-1.0,-0.762043833732605,-0.07699394226074219,0.9237861512174147
83,1,33,-0.8,-1.0,-0.7435195446014404,0.034940749406814575,1.036480774845712
84,1,34,-0.8,-1.0,-0.7317785620689392,0.036988403648138046,1.0392300582133367
85,1,35,-0.8,-1.0,-0.6510345935821533,0.1775330901145935,1.1869182240677147
86,1,36,-0.8,-1.0,-0.6421180367469788,0.05440028756856918,1.0661550922568956
87,1,37,-0.8,-1.0,-0.732742965221405,0.07708443701267242,1.0791822798684727
88,1,38,-0.8,-1.0,-0.7564345002174377,0.0008870437741279602,1.001834730465169
89,1,39,-0.8,-1.0,-0.5390539169311523,0.30558332800865173,1.3314055297478378
90,1,40,-0.8,-1.0,-0.6509063839912415,0.09281109273433685,1.1029347173508424
91,1,41,-0.8,-1.0,-0.6788127422332764,0.04285726696252823,1.0498750548048907
92,1,42,-0.8,-1.0,-0.692956268787384,0.0910002738237381,1.0962390058173401
93,1,43,-0.8,-1.0,-0.6925709843635559,0.02645571157336235,1.0320621692621976
94,1,44,-0.8,-1.0,-0.3967325687408447,-0.025355614721775055,1.0547778433721133
95,1,45,-0.8,-1.0,-0.775857150554657,-0.004895880818367004,0.995396948554492
96,1,46,-0.8,-1.0,-0.7212529182434082,0.0815495103597641,1.084412488974848
97,1,47,-0.8,-1.0,-0.6604864001274109,0.11107831448316574,1.1198031369237011
98,1,48,-0.8,-1.0,-0.6992815136909485,0.14442554116249084,1.1488490034593086
99,1,49,-0.8,-1.0,-0.5556972026824951,0.0874839648604393,1.1145874710428694
100,2,0,-0.6,-1.0,-0.2082749605178833,-0.15205077826976776,0.9340590929861838
101,2,1,-0.6,-1.0,-0.5242865085601807,0.07961181551218033,1.082263463755251
102,2,2,-0.6,-1.0,-0.24013769626617432,-0.12321804463863373,0.9477591861311169
103,2,3,-0.6,-1.0,-0.46230030059814453,0.12035045772790909,1.1287809155662123
104,2,4,-0.6,-1.0,-0.7131255865097046,0.20570476353168488,1.211000154882798
105,2,5,-0.6,-1.0,-0.4606071710586548,0.005488239228725433,1.0151044084169636
106,2,6,-0.6,-1.0,-0.7472620010375977,0.2141941785812378,1.223091820040574
107,2,7,-0.6,-1.0,-0.3638997972011566,0.008199706673622131,1.035475714007061
108,2,8,-0.6,-1.0,-0.36437320709228516,0.0001592487096786499,1.027540027597701
109,2,9,-0.6,-1.0,-0.013338029384613037,-0.08270159363746643,1.0888565718594772
110,2,10,-0.6,-1.0,-0.05549003928899765,-0.2694821059703827,0.9111243004173275
111,2,11,-0.6,-1.0,-0.6058282852172852,0.07622255384922028,1.076238335278163
112,2,12,-0.6,-1.0,-0.6417160630226135,0.42626088857650757,1.4268708253367421
113,2,13,-0.6,-1.0,-0.3317473232746124,-0.008193068206310272,1.027443666837432
114,2,14,-0.6,-1.0,0.012895070016384125,-0.20481689274311066,1.0039703884662683
115,2,15,-0.6,-1.0,-0.20724380016326904,-0.284872829914093,0.8158825294766814
116,2,16,-0.6,-1.0,-0.21994847059249878,-0.28075382113456726,0.8134827784394129
117,2,17,-0.6,-1.0,-0.14557456970214844,-0.16274331510066986,0.9526285887532473
118,2,18,-0.6,-1.0,-0.36773088574409485,-0.03918043524026871,0.9884954109465062
119,2,19,-0.6,-1.0,-0.25463610887527466,-0.07801693677902222,0.9845450655806207
120,2,20,-0.6,-1.0,-0.3297189772129059,-0.06502942740917206,0.973253205948821
121,2,21,-0.6,-1.0,-0.5713215470314026,0.155976802110672,1.1563324870826244
122,2,22,-0.6,-1.0,-0.6255632638931274,0.3032325208187103,1.3034832119288533
123,2,23,-0.6,-1.0,-0.6025912165641785,0.17180001735687256,1.1718028823487547
124,2,24,-0.6,-1.0,-0.7319587469100952,0.2066487967967987,1.2138428356658224
125,2,25,-0.6,-1.0,-0.2651846408843994,-0.16585732996463776,0.8988299720600286
126,2,26,-0.6,-1.0,-0.6154537200927734,0.2685741186141968,1.268668243427923
127,2,27,-0.6,-1.0,-0.5408694744110107,0.1780657321214676,1.1795487646788154
128,2,28,-0.6,-1.0,-0.40434765815734863,-0.019614186137914658,0.999718051697846
