sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.09913770854473114,0.4148973226547241,1.6773453138282362
1,0,1,-1.0,-1.0,-0.03855631500482559,0.2534845471382141,1.5797460141843669
2,0,2,-1.0,-1.0,0.028365451842546463,0.3300859034061432,1.6812685725317835
3,0,3,-1.0,-1.0,0.0037753693759441376,0.31187623739242554,1.65184268451954
4,0,4,-1.0,-1.0,-0.015815764665603638,0.3686087131500244,1.685736758450416
5,0,5,-1.0,-1.0,0.03605140373110771,0.3324248492717743,1.6878265580710918
6,0,6,-1.0,-1.0,-0.04174131900072098,0.30290329456329346,1.6173486620683748
7,0,7,-1.0,-1.0,0.0022088028490543365,0.3564186990261078,1.6865035344095232
8,0,8,-1.0,-1.0,-0.04105328023433685,0.22768810391426086,1.5578179906015714
9,0,9,-1.0,-1.0,0.025868762284517288,0.2796180844306946,1.6400698641927567
10,0,10,-1.0,-1.0,-0.001378919929265976,0.331729531288147,1.6645562790325197
11,0,11,-1.0,-1.0,0.015707645565271378,0.32700034976005554,1.6711050085267103
12,0,12,-1.0,-1.0,-2.995133399963379e-05,0.31055569648742676,1.6484830395926817
13,0,13,-1.0,-1.0,0.007794409990310669,0.1739673912525177,1.5472068409013582
14,0,14,-1.0,-1.0,0.025232333689928055,0.33315300941467285,1.6817842562453411
15,0,15,-1.0,-1.0,0.034897204488515854,0.30355215072631836,1.6644099355391253
16,0,16,-1.0,-1.0,-0.030195390805602074,0.3679291605949402,1.6768277098201463
17,0,17,-1.0,-1.0,-0.01750800758600235,0.3172681927680969,1.6433155530317831
18,0,18,-1.0,-1.0,-0.09438177943229675,0.3923560380935669,1.6609634849206731
19,0,19,-1.0,-1.0,-0.07915560901165009,0.34451133012771606,1.6296211551328441
20,0,20,-1.0,-1.0,-0.0559125617146492,0.2882542610168457,1.5971537597101462
21,0,21,-1.0,-1.0,-0.14397244155406952,0.05685979872941971,1.3600499310647718
22,0,22,-1.0,-1.0,0.011715088039636612,0.31295686960220337,1.6575352668352692
23,0,23,-1.0,-1.0,0.010462719947099686,0.28698107600212097,1.6362625701245104
24,0,24,-1.0,-1.0,0.018881995230913162,0.33039024472236633,1.6757263271364344
25,0,25,-1.0,-1.0,-0.09351083636283875,0.21801607310771942,1.5183167515839207
26,0,26,-1.0,-1.0,0.024552930146455765,0.32605090737342834,1.6757445257608872
27,0,27,-1.0,-1.0,0.039261531084775925,0.12197916954755783,1.5293468497666907
28,0,28,-1.0,-1.0,-0.028938578441739082,0.2600281834602356,1.5907958095094579
29,0,29,-1.0,-1.0,0.018108747899532318,0.3113955557346344,1.66021195217662
30,0,30,-1.0,-1.0,0.015606842935085297,0.29472461342811584,1.6455300313373666
31,0,31,-1.0,-1.0,-0.031697049736976624,0.31629490852355957,1.6340877851857045
32,0,32,-1.0,-1.0,-0.013086169958114624,0.28760895133018494,1.622324172128851
33,0,33,-1.0,-1.0,-0.07585006952285767,0.2167767733335495,1.5279394000171966
34,0,34,-1.0,-1.0,0.010602306574583054,0.29760944843292236,1.6447210410024737
35,0,35,-1.0,-1.0,0.01671895757317543,0.32107803225517273,1.667022677109068
36,0,36,-1.0,-1.0,-0.02667948231101036,0.29004931449890137,1.6160383856806892
37,0,37,-1.0,-1.0,-0.033969275653362274,0.31348443031311035,1.6304774481901445
38,0,38,-1.0,-1.0,-0.00795300304889679,0.25702178478240967,1.6013310124946862
39,0,39,-1.0,-1.0,0.010487820953130722,0.3759233355522156,1.7071176472673877
40,0,40,-1.0,-1.0,0.01726488396525383,0.31963372230529785,1.666211572758447
41,0,41,-1.0,-1.0,-0.06926329433917999,0.20918509364128113,1.5259093701621436
42,0,42,-1.0,-1.0,0.0002470463514328003,0.31486275792121887,1.6520769430940434
43,0,43,-1.0,-1.0,-0.03501395136117935,0.32958996295928955,1.6428656499146999
44,0,44,-1.0,-1.0,0.01785598322749138,0.36023885011672974,1.6989056865991374
45,0,45,-1.0,-1.0,-0.04942142218351364,0.2719261348247528,1.5878903378551836
46,0,46,-1.0,-1.0,0.015693742781877518,0.32666298747062683,1.670828675074362
47,0,47,-1.0,-1.0,-0.08342742919921875,0.22729358077049255,1.5317815806911932
48,0,48,-1.0,-1.0,-0.06510424613952637,0.21782711148262024,1.5352957187618435
49,0,49,-1.0,-1.0,-0.060486357659101486,0.32206547260284424,1.6218948788356302
50,1,0,-0.8,-1.0,-0.015091616660356522,0.35078519582748413,1.562274564698391
51,1,1,-0.8,-1.0,-0.024308018386363983,0.30446678400039673,1.5176731008026818
52,1,2,-0.8,-1.0,-0.07466977834701538,0.3238196074962616,1.5095039859618535
53,1,3,-0.8,-1.0,-0.11063620448112488,0.20919692516326904,1.3918978577454935
54,1,4,-0.8,-1.0,-0.0475723035633564,0.31571340560913086,1.515667906919102
55,1,5,-0.8,-1.0,-0.045378994196653366,0.26966550946235657,1.4769913230340792
56,1,6,-0.8,-1.0,-0.07110270112752914,0.24901363253593445,1.4461418763607512
57,1,7,-0.8,-1.0,0.007234934717416763,0.33008986711502075,1.5558815168354838
58,1,8,-0.8,-1.0,-0.0516749769449234,0.38554975390434265,1.5747185337941398
59,1,9,-0.8,-1.0,-0.05324413627386093,0.2280244529247284,1.4372502833502767
60,1,10,-0.8,-1.0,-0.06443067640066147,0.3164297640323639,1.5079952100224636
61,1,11,-0.8,-1.0,-0.08662594854831696,0.3045639097690582,1.4868723993525872
62,1,12,-0.8,-1.0,-0.08204923570156097,0.27254021167755127,1.4610995483857558
63,1,13,-0.8,-1.0,-0.05682533234357834,0.28572574257850647,1.485058676206191
64,1,14,-0.8,-1.0,-0.042663466185331345,0.3117111027240753,1.514643404389306
65,1,15,-0.8,-1.0,-0.021154576912522316,0.27911999821662903,1.4975807700761992
66,1,16,-0.8,-1.0,0.006345070898532867,0.32702746987342834,1.5528020734018335
67,1,17,-0.8,-1.0,-0.06227850914001465,0.36182132363319397,1.54880286530557
68,1,18,-0.8,-1.0,-0.15949445962905884,0.4462834894657135,1.5817658736826357
69,1,19,-0.8,-1.0,-0.12157319486141205,0.40210968255996704,1.557618211199061
70,1,20,-0.8,-1.0,-0.04777172580361366,0.26096946001052856,1.4682953911184622
71,1,21,-0.8,-1.0,-0.07487010955810547,0.24544963240623474,1.4411655508209662
72,1,22,-0.8,-1.0,-0.09030653536319733,0.26943713426589966,1.454350525699155
73,1,23,-0.8,-1.0,-0.07037250697612762,0.3257890045642853,1.5132986364891297
74,1,24,-0.8,-1.0,-0.10582369565963745,0.35056960582733154,1.5185252719965636
75,1,25,-0.8,-1.0,-0.04379509016871452,0.36140188574790955,1.5573249372468505
76,1,26,-0.8,-1.0,-0.08525168150663376,0.2795117497444153,1.4656109567423101
77,1,27,-0.8,-1.0,-0.040528807789087296,0.3227494955062866,1.52527463745399
78,1,28,-0.8,-1.0,-0.0766252875328064,0.2505015432834625,1.4446539670077803
79,1,29,-0.8,-1.0,-0.10108371078968048,0.27623215317726135,1.4550781725141064
80,1,30,-0.8,-1.0,-0.2594608962535858,0.6072105765342712,1.6956734237472149
81,1,31,-0.8,-1.0,-0.028750745579600334,0.28401678800582886,1.4978399528403654
82,1,32,-0.8,-1.0,-0.04468143731355667,0.3244105875492096,1.5246539068100529
83,1,33,-0.8,-1.0,-0.09831283986568451,0.31384629011154175,1.4894821062158559
84,1,34,-0.8,-1.0,-0.0749247819185257,0.3005109131336212,1.4889804253433094
85,1,35,-0.8,-1.0,-0.08168596029281616,0.2531229853630066,1.4444003171162583
86,1,36,-0.8,-1.0,0.016700122505426407,0.3718984127044678,1.596591477141669
87,1,37,-0.8,-1.0,-0.060831859707832336,0.3450720012187958,1.5347925684227552
88,1,38,-0.8,-1.0,-0.02570587769150734,0.3600163161754608,1.564984270881005
89,1,39,-0.8,-1.0,-0.04582471773028374,0.31834709644317627,1.5188217219564513
90,1,40,-0.8,-1.0,-0.006157593801617622,0.3155558705329895,1.53651326527715
91,1,41,-0.8,-1.0,0.018588494509458542,0.3912683427333832,1.6142226379391897
92,1,42,-0.8,-1.0,-0.014237727969884872,0.38941019773483276,1.596208960542283
93,1,43,-0.8,-1.0,0.011302638798952103,0.3259263336658478,1.554442862903201
94,1,44,-0.8,-1.0,0.03357349708676338,0.32458028197288513,1.5650423950924859
95,1,45,-0.8,-1.0,-0.13135817646980286,0.41211724281311035,1.5624202365637383
96,1,46,-0.8,-1.0,-0.044529784470796585,0.2662655711174011,1.474504575492738
97,1,47,-0.8,-1.0,-0.004650503396987915,0.31120264530181885,1.5335687786314482
98,1,48,-0.8,-1.0,-0.07540576159954071,0.3286343216896057,1.5133756873607889
99,1,49,-0.8,-1.0,0.002392258495092392,0.2477891445159912,1.483513089145089
100,2,0,-0.6,-1.0,0.018118008971214294,0.17311854660511017,1.3260003760947523
101,2,1,-0.6,-1.0,0.043204132467508316,0.16423684358596802,1.3300973588374265
102,2,2,-0.6,-1.0,0.008738838136196136,0.16897635161876678,1.3179790148933817
103,2,3,-0.6,-1.0,-0.044018521904945374,0.19749371707439423,1.3202676268156435
104,2,4,-0.6,-1.0,0.12322667241096497,0.16631196439266205,1.3723485045614716
105,2,5,-0.6,-1.0,0.05060301348567009,0.28708839416503906,1.4421791898203822
106,2,6,-0.6,-1.0,-0.05111692473292351,0.11184655874967575,1.2399497572555669
107,2,7,-0.6,-1.0,0.07690902054309845,0.1816568821668625,1.3618071850540836
108,2,8,-0.6,-1.0,0.08198988437652588,0.21753214299678802,1.3955266825189185
109,2,9,-0.6,-1.0,0.02117614820599556,0.08124362677335739,1.2469753756742914
110,2,10,-0.6,-1.0,-0.2885516583919525,0.018155379220843315,1.0647255260050554
111,2,11,-0.6,-1.0,-0.15402385592460632,0.0367104709148407,1.128566932702189
112,2,12,-0.6,-1.0,-0.12305931746959686,0.1134822741150856,1.2113278620675203
113,2,13,-0.6,-1.0,0.07106469571590424,0.23367765545845032,1.4043818509984163
114,2,14,-0.6,-1.0,0.025320161134004593,0.14721094071865082,1.3065673524259012
115,2,15,-0.6,-1.0,-0.35345348715782166,0.020566301420331,1.0499241680185347
116,2,16,-0.6,-1.0,-0.41900816559791565,0.030486663803458214,1.0462603922528144
117,2,17,-0.6,-1.0,-0.5265401601791382,-0.04880420118570328,0.9540281944200992
118,2,18,-0.6,-1.0,0.02492034062743187,0.2282399833202362,1.3780779690410843
119,2,19,-0.6,-1.0,0.09827598929405212,0.18276607990264893,1.3735082660810114
120,2,20,-0.6,-1.0,-0.007761599496006966,0.17331239581108093,1.3143090584772923
121,2,21,-0.6,-1.0,-0.010006006807088852,0.11008503288030624,1.2571323288455307
122,2,22,-0.6,-1.0,0.07396389544010162,0.1261902153491974,1.312452564287589
123,2,23,-0.6,-1.0,-0.16129982471466064,0.09095457941293716,1.175857022829496
124,2,24,-0.6,-1.0,-0.037430644035339355,0.09010995179414749,1.2267126751082063
125,2,25,-0.6,-1.0,-0.051559388637542725,0.22576548159122467,1.3428656373785848
126,2,26,-0.6,-1.0,0.09915091097354889,0.142673060297966,1.3395946099644707
127,2,27,-0.6,-1.0,-0.02032322995364666,0.10730952769517899,1.2498638117234586
128,2,28,-0.6,-1.0,0.030619051307439804,0.1636664867401123,1.3235558470400752
129,2,29,-0.6,-1.0,-0.010910511016845703,0.10436094552278519,1.2516547143786956
130,2,30,-0.6,-1.0,0.033659424632787704,0.14236639440059662,1.3063404018408735
131,2,31,-0.6,-1.0,-0.019428187981247902,0.10641159862279892,1.2494839952867722
132,2,32,-0.6,-1.0,0.04663847014307976,0.21427135169506073,1.375716622933783
133,2,33,-0.6,-1.0,0.036050837486982346,0.1233554407954216,1.2909252938232203
134,2,34,-0.6,-1.0,-0.4150713086128235,0.04246123880147934,1.0587370095078799
