sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,r_dev0_m,r_dev1_m,r_dev0_cal_m,r_dev1_cal_m,rmse_xy_m
0,0,0,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
1,0,1,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
2,0,2,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
3,0,3,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
4,0,4,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
5,0,5,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
6,0,6,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
7,0,7,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
8,0,8,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
9,0,9,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
10,0,10,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
11,0,11,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
12,0,12,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
13,0,13,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
14,0,14,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
15,0,15,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
16,0,16,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
17,0,17,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
18,0,18,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
19,0,19,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
20,0,20,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
21,0,21,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
22,0,22,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
23,0,23,-1.0,-1.0,nan,nan,0.0,nan,2.0000000000000036,nan,nan
24,0,24,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
25,0,25,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
26,0,26,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
27,0,27,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
28,0,28,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
29,0,29,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
30,0,30,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
31,0,31,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
32,0,32,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
33,0,33,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
34,0,34,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
35,0,35,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
36,0,36,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
37,0,37,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
38,0,38,-1.0,-1.0,nan,nan,0.0,nan,2.0000000000000036,nan,nan
39,0,39,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
40,0,40,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
41,0,41,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
42,0,42,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
43,0,43,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
44,0,44,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
45,0,45,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
46,0,46,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
47,0,47,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
48,0,48,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
49,0,49,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan
50,1,0,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
51,1,1,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
52,1,2,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
53,1,3,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
54,1,4,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
55,1,5,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
56,1,6,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
57,1,7,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
58,1,8,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
59,1,9,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
60,1,10,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
61,1,11,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
62,1,12,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
63,1,13,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
64,1,14,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
65,1,15,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
66,1,16,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
67,1,17,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
68,1,18,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
69,1,19,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
70,1,20,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
71,1,21,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
72,1,22,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
73,1,23,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
74,1,24,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
75,1,25,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
76,1,26,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
77,1,27,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
78,1,28,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
79,1,29,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
80,1,30,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
81,1,31,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
82,1,32,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
83,1,33,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
84,1,34,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
85,1,35,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
86,1,36,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
87,1,37,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
88,1,38,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
89,1,39,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
90,1,40,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
91,1,41,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
92,1,42,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
93,1,43,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
94,1,44,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
95,1,45,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
96,1,46,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
97,1,47,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
98,1,48,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
99,1,49,-0.8,-1.0,nan,nan,nan,nan,nan,nan,nan
100,2,0,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
101,2,1,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
102,2,2,-0.6,-1.0,nan,nan,0.0,nan,2.0000000000000036,nan,nan
103,2,3,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
104,2,4,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
105,2,5,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
106,2,6,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
107,2,7,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
108,2,8,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
109,2,9,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
110,2,10,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
111,2,11,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
112,2,12,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
113,2,13,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
114,2,14,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
115,2,15,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
116,2,16,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
117,2,17,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
118,2,18,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
119,2,19,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
120,2,20,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
121,2,21,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
122,2,22,-0.6,-1.0,nan,nan,nan,nan,nan,nan,nan
123,2,23,-0.6,-1.0,nan,nan,3.509521484375,nan,5.5095214843750036,nan,nan
