sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.31802284717559814,0.25296708941459656,1.4265410488768149
1,0,1,-1.0,-1.0,-0.27776381373405457,0.2582278549671173,1.450779943260566
2,0,2,-1.0,-1.0,-0.27268773317337036,0.21350418031215668,1.4147704863728143
3,0,3,-1.0,-1.0,-0.3025210499763489,0.2029801607131958,1.3905531822967583
4,0,4,-1.0,-1.0,-0.2751502990722656,0.2696980834007263,1.462032938044319
5,0,5,-1.0,-1.0,-0.2808202803134918,0.2097850888967514,1.4074087645475586
6,0,6,-1.0,-1.0,-0.29047051072120667,0.3159800171852112,1.4950704002778645
7,0,7,-1.0,-1.0,-0.2869262397289276,0.25849029421806335,1.4464688065175115
8,0,8,-1.0,-1.0,-0.26456642150878906,0.235897496342659,1.4381603421866564
9,0,9,-1.0,-1.0,-0.2995426058769226,0.16724754869937897,1.3612888748999608
10,0,10,-1.0,-1.0,-0.3071169853210449,0.2067684829235077,1.3915376543263576
11,0,11,-1.0,-1.0,-0.26721087098121643,0.25820624828338623,1.4560435676268282
12,0,12,-1.0,-1.0,-0.27270886301994324,0.3025205135345459,1.4918150307957219
13,0,13,-1.0,-1.0,-0.33882397413253784,0.184194415807724,1.356270677856042
14,0,14,-1.0,-1.0,-0.26178407669067383,0.29137280583381653,1.4874832681662489
15,0,15,-1.0,-1.0,-0.29826998710632324,0.16464099287986755,1.3597108712119512
16,0,16,-1.0,-1.0,-0.30056583881378174,0.2640620172023773,1.4446663729622877
17,0,17,-1.0,-1.0,-0.24405008554458618,0.24806447327136993,1.4591522205058969
18,0,18,-1.0,-1.0,-0.3027522563934326,0.18640607595443726,1.3761227390847284
19,0,19,-1.0,-1.0,-0.28384822607040405,0.2870451807975769,1.4728742854421673
20,0,20,-1.0,-1.0,-0.26466330885887146,0.2672693133354187,1.4651592274766614
21,0,21,-1.0,-1.0,-0.29551056027412415,0.24286198616027832,1.4286396632207683
22,0,22,-1.0,-1.0,-0.27399706840515137,0.28662407398223877,1.477322498452849
23,0,23,-1.0,-1.0,-0.2799258828163147,0.19137369096279144,1.3920768677613204
24,0,24,-1.0,-1.0,-0.3276985287666321,0.1818714439868927,1.3597092992011983
25,0,25,-1.0,-1.0,-0.26725420355796814,0.24782048165798187,1.4470564455641062
26,0,26,-1.0,-1.0,-0.29839417338371277,0.2080869823694229,1.3970414785940974
27,0,27,-1.0,-1.0,-0.29663634300231934,0.3134717047214508,1.4899423992520735
28,0,28,-1.0,-1.0,-0.26228857040405273,0.2347262054681778,1.4383208806891252
29,0,29,-1.0,-1.0,-0.28573840856552124,0.21772630512714386,1.4117460732005314
30,0,30,-1.0,-1.0,-0.28257495164871216,0.1986183077096939,1.3969196639673658
31,0,31,-1.0,-1.0,-0.25609907507896423,0.2767678499221802,1.4776754476857492
32,0,32,-1.0,-1.0,-0.26642927527427673,0.30576133728027344,1.49771114641996
33,0,33,-1.0,-1.0,-0.2836011052131653,0.28466159105300903,1.470912227149753
34,0,34,-1.0,-1.0,-0.3065090775489807,0.18073168396949768,1.3693271957612656
35,0,35,-1.0,-1.0,-0.25890499353408813,0.28648707270622253,1.4846786847156308
36,0,36,-1.0,-1.0,-0.2655695378780365,0.28012681007385254,1.475843065357065
37,0,37,-1.0,-1.0,-0.30930453538894653,0.33947548270225525,1.5070682776817774
38,0,38,-1.0,-1.0,-0.2575691044330597,0.2371753305196762,1.4428466422800446
39,0,39,-1.0,-1.0,-0.29000726342201233,0.28660327196121216,1.4695025231059649
40,0,40,-1.0,-1.0,-0.2531745135784149,0.2703135907649994,1.4735823445098355
41,0,41,-1.0,-1.0,-0.24790048599243164,0.2653890550136566,1.4720268813845674
42,0,42,-1.0,-1.0,-0.2847272753715515,0.2688911259174347,1.4566055608947193
43,0,43,-1.0,-1.0,-0.29637983441352844,0.2658451199531555,1.4482559183822286
44,0,44,-1.0,-1.0,-0.2630223035812378,0.29865390062332153,1.4931972671495461
45,0,45,-1.0,-1.0,-0.2694118916988373,0.261691689491272,1.4579522980270692
46,0,46,-1.0,-1.0,-0.2586803138256073,0.2067904770374298,1.4162973319815044
47,0,47,-1.0,-1.0,-0.2608630061149597,0.25693994760513306,1.458156894032672
48,0,48,-1.0,-1.0,-0.25610148906707764,0.2455092966556549,1.450750978846433
49,0,49,-1.0,-1.0,-0.2828829884529114,0.3248974084854126,1.5065224695508492
50,1,0,-0.8,-1.0,-0.2742246389389038,0.2887061834335327,1.3918345295036865
51,1,1,-0.8,-1.0,-0.3109259009361267,0.3342597484588623,1.4210709168555402
52,1,2,-0.8,-1.0,-0.32322752475738525,0.30809757113456726,1.3922755649501013
53,1,3,-0.8,-1.0,-0.27290481328964233,0.2824411392211914,1.3865369131112861
54,1,4,-0.8,-1.0,-0.3084505498409271,0.2919117212295532,1.3822650821756273
55,1,5,-0.8,-1.0,-0.30040642619132996,0.30781689286231995,1.399992415781947
56,1,6,-0.8,-1.0,-0.3145115375518799,0.32307618856430054,1.4093365985157968
57,1,7,-0.8,-1.0,-0.2862592339515686,0.32976269721984863,1.4255519652462465
58,1,8,-0.8,-1.0,-0.24866098165512085,0.3278208374977112,1.4377353336558918
59,1,9,-0.8,-1.0,-0.32381874322891235,0.3359597623348236,1.418286669146196
60,1,10,-0.8,-1.0,-0.31380876898765564,0.3130127191543579,1.4001372481919119
61,1,11,-0.8,-1.0,-0.3055174946784973,0.2948174476623535,1.3860249531808155
62,1,12,-0.8,-1.0,-0.35853320360183716,0.27819588780403137,1.3522860865664459
63,1,13,-0.8,-1.0,-0.3087766170501709,0.33168449997901917,1.4193956528893008
64,1,14,-0.8,-1.0,-0.30617213249206543,0.32788506150245667,1.4167373430840373
65,1,15,-0.8,-1.0,-0.29874688386917114,0.1701013594865799,1.2729461410064484
66,1,16,-0.8,-1.0,-0.2729927897453308,0.3071935772895813,1.4094295470748233
67,1,17,-0.8,-1.0,-0.3080369830131531,0.26453351974487305,1.3568613166573649
68,1,18,-0.8,-1.0,-0.31149256229400635,0.22974719107151031,1.3232224569747693
69,1,19,-0.8,-1.0,-0.32736319303512573,0.2183075100183487,1.3067741733999263
70,1,20,-0.8,-1.0,-0.3039901852607727,0.31973156332969666,1.4098642259332237
71,1,21,-0.8,-1.0,-0.35840392112731934,0.30959081649780273,1.3820402322404035
72,1,22,-0.8,-1.0,-0.33511629700660706,0.32414478063583374,1.4033802967812998
73,1,23,-0.8,-1.0,-0.31511229276657104,0.21580450236797333,1.308929591920179
74,1,24,-0.8,-1.0,-0.31508946418762207,0.24863828718662262,1.3394908734180275
75,1,25,-0.8,-1.0,-0.2687581479549408,0.1985669881105423,1.3110227802569419
76,1,26,-0.8,-1.0,-0.3180965185165405,0.2863006293773651,1.3736084866520317
77,1,27,-0.8,-1.0,-0.29313138127326965,0.2650524973869324,1.3628182629370866
78,1,28,-0.8,-1.0,-0.30911675095558167,0.318698525428772,1.4071006236799208
79,1,29,-0.8,-1.0,-0.2946702837944031,0.2490091323852539,1.3473611003966954
80,1,30,-0.8,-1.0,-0.19865286350250244,0.3376973569393158,1.4666467186531906
81,1,31,-0.8,-1.0,-0.2797306776046753,0.3041000962257385,1.4040502942564668
82,1,32,-0.8,-1.0,-0.3190872371196747,0.3006865382194519,1.3867453105045966
83,1,33,-0.8,-1.0,-0.30737170577049255,0.21737055480480194,1.3132683290101934
84,1,34,-0.8,-1.0,-0.3183825612068176,0.3058226704597473,1.3918075312471658
85,1,35,-0.8,-1.0,-0.33175361156463623,0.3080551028251648,1.3893389911428073
86,1,36,-0.8,-1.0,-0.27532774209976196,0.22890807688236237,1.336224546862106
87,1,37,-0.8,-1.0,-0.3038826882839203,0.3011894226074219,1.3925610580832086
88,1,38,-0.8,-1.0,-0.29854002594947815,0.278928279876709,1.3737247361255267
89,1,39,-0.8,-1.0,-0.26409828662872314,0.31860360503196716,1.423343287333583
90,1,40,-0.8,-1.0,-0.2813909649848938,0.2985595762729645,1.3982890632231666
91,1,41,-0.8,-1.0,-0.25783780217170715,0.2756311297416687,1.386064438588629
92,1,42,-0.8,-1.0,-0.2609594166278839,0.2883126139640808,1.3965364806624687
93,1,43,-0.8,-1.0,-0.2857680022716522,0.3116956353187561,1.4088931780663723
94,1,44,-0.8,-1.0,-0.283741295337677,0.21747739613056183,1.3224122882930545
95,1,45,-0.8,-1.0,-0.3066905736923218,0.24000386893749237,1.3345275512569834
96,1,46,-0.8,-1.0,-0.30302804708480835,0.327853798866272,1.4178070507470082
97,1,47,-0.8,-1.0,-0.2752911448478699,0.31411212682724,1.4149947224458017
98,1,48,-0.8,-1.0,-0.30583611130714417,0.32138264179229736,1.4107622177099994
99,1,49,-0.8,-1.0,-0.2683553397655487,0.24043135344982147,1.3495614055600291
100,2,0,-0.6,-1.0,-0.3319736123085022,0.10372065007686615,1.1357981413548153
101,2,1,-0.6,-1.0,-0.34343212842941284,0.12696202099323273,1.155798628431187
102,2,2,-0.6,-1.0,-0.3331197500228882,0.10030956566333771,1.1322129694178955
103,2,3,-0.6,-1.0,-0.315518856048584,0.15407004952430725,1.188615665584525
104,2,4,-0.6,-1.0,-0.3353204131126404,0.07191887497901917,1.1041129282148405
105,2,5,-0.6,-1.0,-0.307975172996521,0.11961817741394043,1.1570753487919987
106,2,6,-0.6,-1.0,-0.3282015919685364,0.03210550174117088,1.0672938402018595
107,2,7,-0.6,-1.0,-0.3183048963546753,0.11242222785949707,1.1475344632966964
108,2,8,-0.6,-1.0,-0.31022506952285767,0.11853334307670593,1.1554593674843718
109,2,9,-0.6,-1.0,-0.3261435329914093,0.07443872094154358,1.1087903000932717
110,2,10,-0.6,-1.0,-0.4240766763687134,0.11882849037647247,1.1325750335741886
111,2,11,-0.6,-1.0,-0.4144136905670166,0.14886166155338287,1.163754869221244
112,2,12,-0.6,-1.0,-0.2783377170562744,-0.01568848267197609,1.0355364732413659
113,2,13,-0.6,-1.0,-0.2839624285697937,0.12126129865646362,1.1649492033648
114,2,14,-0.6,-1.0,-0.3549380600452423,0.11649730801582336,1.1430754976032726
115,2,15,-0.6,-1.0,-0.466390460729599,0.09761665761470795,1.1057186966210402
116,2,16,-0.6,-1.0,-0.4537142515182495,0.09199155867099762,1.1017463793530617
117,2,17,-0.6,-1.0,-0.4939183294773102,0.038373034447431564,1.0437776963934664
118,2,18,-0.6,-1.0,-0.3119368255138397,0.10611380636692047,1.14300837491707
119,2,19,-0.6,-1.0,-0.2882978320121765,0.1252787858247757,1.1676517406125813
120,2,20,-0.6,-1.0,-0.32936352491378784,0.1276855766773224,1.1597063686524944
121,2,21,-0.6,-1.0,-0.3688940703868866,0.05940170958638191,1.084316343590232
122,2,22,-0.6,-1.0,-0.3262365460395813,0.11485305428504944,1.1479737633644078
123,2,23,-0.6,-1.0,-0.3415164351463318,-0.010952990502119064,1.022265983145366
124,2,24,-0.6,-1.0,-0.3679654598236084,0.06155762821435928,1.0866207368971776
125,2,25,-0.6,-1.0,-0.3353561758995056,0.10483060777187347,1.1360840750156218
126,2,26,-0.6,-1.0,-0.3140459358692169,0.06744098663330078,1.1050791766826424
127,2,27,-0.6,-1.0,-0.3316649794578552,0.04103626310825348,1.0750628746058297
128,2,28,-0.6,-1.0,-0.3414728045463562,0.09790840744972229,1.1279358057699524
129,2,29,-0.6,-1.0,-0.31671851873397827,0.031396057456731796,1.0695916159757244
130,2,30,-0.6,-1.0,-0.35145536065101624,0.09436210989952087,1.1222311995898382
131,2,31,-0.6,-1.0,-0.35057443380355835,0.05562451481819153,1.0846917669815503
132,2,32,-0.6,-1.0,-0.29961711168289185,0.10485602915287018,1.144961451206623
133,2,33,-0.6,-1.0,-0.3382657766342163,0.06839177012443542,1.0999844445038822
134,2,34,-0.6,-1.0,-0.454288125038147,0.0183749720454216,1.0287465840494499
135,2,35,-0.6,-1.0,-0.4829947054386139,0.05575058236718178,1.062214446862798
136,2,36,-0.6,-1.0,-0.35000845789909363,0.06529253721237183,1.0942321330331886
137,2,37,-0.6,-1.0,-0.3634798526763916,0.09919838607311249,1.12435709275822
138,2,38,-0.6,-1.0,-0.3668363094329834,0.07358662784099579,1.0986143791512253
139,2,39,-0.6,-1.0,-0.3302292823791504,0.09276726841926575,1.1255738727485511
140,2,40,-0.6,-1.0,-0.3002990484237671,0.13744404911994934,1.1762651169077851
141,2,41,-0.6,-1.0,-0.3105115294456482,0.05822558328509331,1.0971075424510461
142,2,42,-0.6,-1.0,-0.35025471448898315,0.13542917370796204,1.1625713380873128
143,2,43,-0.6,-1.0,-0.3257182240486145,-0.010092709213495255,1.0272034545168371
144,2,44,-0.6,-1.0,-0.30550339818000793,0.15088661015033722,1.1879681131692286
145,2,45,-0.6,-1.0,-0.3267059624195099,0.0735565647482872,1.1077966098030765
146,2,46,-0.6,-1.0,-0.26832515001296997,0.20589753985404968,1.2506786488702717
147,2,47,-0.6,-1.0,-0.42326968908309937,0.06875786930322647,1.0832714276645337
148,2,48,-0.6,-1.0,-0.36101657152175903,0.07794570922851562,1.1041195728413578
149,2,49,-0.6,-1.0,-0.32825130224227905,0.08554497361183167,1.1190421102295165
150,3,0,-0.4,-1.0,-0.19849753379821777,0.2484181523323059,1.2645754730178065
151,3,1,-0.4,-1.0,-0.2045053392648697,0.26780810952186584,1.282792097319496
152,3,2,-0.4,-1.0,-0.2514535188674927,0.18970265984535217,1.198940563956344
153,3,3,-0.4,-1.0,-0.20214228332042694,0.2749151885509491,1.2901768925413122
154,3,4,-0.4,-1.0,-0.17568577826023102,0.2862624526023865,1.3056752915826448
155,3,5,-0.4,-1.0,-0.2100459337234497,0.3035253882408142,1.3172930520895347
156,3,6,-0.4,-1.0,-0.1903342604637146,0.252655029296875,1.2700804481441528
157,3,7,-0.4,-1.0,-0.19707410037517548,0.28330492973327637,1.2992499618688753
158,3,8,-0.4,-1.0,-0.2771194577217102,0.20732760429382324,1.2135648197605553
