sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,r_dev0_m,r_dev1_m,r_dev0_cal_m,r_dev1_cal_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
1,0,1,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
2,0,2,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
3,0,3,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
4,0,4,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
5,0,5,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
6,0,6,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
7,0,7,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
8,0,8,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
9,0,9,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
10,0,10,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
11,0,11,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
12,0,12,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
13,0,13,-1.0,-1.0,-0.6412126704047767,1.5822535568340603,3.509521484375,1.52587890625,3.6395214843750017,2.0858789062500023,2.607059987737188
14,0,14,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
15,0,15,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
16,0,16,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
17,0,17,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
18,0,18,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
19,0,19,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
20,0,20,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
21,0,21,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
22,0,22,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
23,0,23,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
24,0,24,-1.0,-1.0,-0.8345468101207187,1.5422139552259893,3.509521484375,1.373291015625,3.6395214843750017,1.9332910156250023,2.5475923049395086
