sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,0.02203276939690113,0.349022775888443,1.6924578079192578
1,0,1,-1.0,-1.0,-0.0817909687757492,0.1526675522327423,1.473685960777261
2,0,2,-1.0,-1.0,-0.0308393407613039,0.2943039834499359,1.6169400684596682
3,0,3,-1.0,-1.0,-0.07232498377561569,0.21010184288024902,1.524771263458584
4,0,4,-1.0,-1.0,-0.019800672307610512,0.3368529975414276,1.657699206443712
5,0,5,-1.0,-1.0,-0.05690421909093857,0.3090762794017792,1.6134157422254432
6,0,6,-1.0,-1.0,-0.06240683048963547,0.24516546726226807,1.5586911151267122
7,0,7,-1.0,-1.0,-0.0909171849489212,0.2730564475059509,1.5643223079524455
8,0,8,-1.0,-1.0,-0.02844642847776413,0.1348448395729065,1.493917384677904
9,0,9,-1.0,-1.0,-0.08454576134681702,0.1307801604270935,1.4548952657437586
10,0,10,-1.0,-1.0,-0.1049622893333435,0.22075679898262024,1.5137171683566593
11,0,11,-1.0,-1.0,-0.08228433132171631,0.2482474148273468,1.5492977948608795
12,0,12,-1.0,-1.0,-0.04951459914445877,0.24239277839660645,1.5642769297830734
13,0,13,-1.0,-1.0,-0.384331613779068,0.09886909276247025,1.2595875693339074
14,0,14,-1.0,-1.0,-0.06705045700073242,0.24164950847625732,1.553089936765374
15,0,15,-1.0,-1.0,-0.10423016548156738,0.149328351020813,1.4571750941096273
16,0,16,-1.0,-1.0,-0.010606266558170319,0.3525771498680115,1.675817682839943
17,0,17,-1.0,-1.0,-0.009995250031352043,0.18052589893341064,1.5406981544134537
18,0,18,-1.0,-1.0,0.033436119556427,0.3273765444755554,1.6822362212328303
19,0,19,-1.0,-1.0,0.08495878428220749,0.334612637758255,1.7199786209296826
20,0,20,-1.0,-1.0,-0.014085715636610985,0.17809486389160156,1.53620782592706
21,0,21,-1.0,-1.0,-0.01197212003171444,0.2962305247783661,1.6298505038689357
22,0,22,-1.0,-1.0,-0.0843629390001297,0.21865487098693848,1.5243067020966192
23,0,23,-1.0,-1.0,-0.10775084048509598,0.1163121834397316,1.4290771335204526
24,0,24,-1.0,-1.0,-0.11033446341753006,0.25069665908813477,1.5348442592122487
25,0,25,-1.0,-1.0,0.019635392352938652,0.15187425911426544,1.5383337226196303
