sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,0.022011829540133476,0.3489832878112793,1.6924136877590241
1,0,1,-1.0,-1.0,-0.08186192810535431,0.15261775255203247,1.4736027967401921
2,0,2,-1.0,-1.0,-0.030892401933670044,0.2942746877670288,1.6168848147052193
3,0,3,-1.0,-1.0,-0.07238588482141495,0.2099941074848175,1.5246487093184873
4,0,4,-1.0,-1.0,-0.019880490377545357,0.33677926659584045,1.6575925496765103
5,0,5,-1.0,-1.0,-0.056920938193798065,0.30906039476394653,1.6133930810428083
6,0,6,-1.0,-1.0,-0.0624796524643898,0.24515113234519958,1.5586358601109573
7,0,7,-1.0,-1.0,-0.09092141687870026,0.27302151918411255,1.564291423806848
8,0,8,-1.0,-1.0,-0.028512177988886833,0.1347966492176056,1.493838017788877
9,0,9,-1.0,-1.0,-0.08459782600402832,0.13068854808807373,1.4547913021921968
10,0,10,-1.0,-1.0,-0.10499610006809235,0.2207120954990387,1.5136611248859428
11,0,11,-1.0,-1.0,-0.08232632279396057,0.24817675352096558,1.5492159907085234
12,0,12,-1.0,-1.0,-0.04954914748668671,0.2423742115497589,1.5642411913024055
13,0,13,-1.0,-1.0,-0.384324312210083,0.09891138225793839,1.259628031837828
14,0,14,-1.0,-1.0,-0.06710188835859299,0.24161839485168457,1.5530341674084884
15,0,15,-1.0,-1.0,-0.1042630597949028,0.14933815598487854,1.457162606866753
16,0,16,-1.0,-1.0,-0.010630167089402676,0.3525182902812958,1.6757560657264479
17,0,17,-1.0,-1.0,-0.01001822855323553,0.18048852682113647,1.5406547535879707
18,0,18,-1.0,-1.0,0.03339984267950058,0.3273322582244873,1.6821789912412215
19,0,19,-1.0,-1.0,0.08494769781827927,0.3345497250556946,1.719922810956182
20,0,20,-1.0,-1.0,-0.01411459967494011,0.1781533658504486,1.5362341540399513
21,0,21,-1.0,-1.0,-0.011992374435067177,0.2962004542350769,1.6298143102002989
22,0,22,-1.0,-1.0,-0.08436748385429382,0.2185988426208496,1.5242591787029498
23,0,23,-1.0,-1.0,-0.10776148736476898,0.11632271856069565,1.4290787156081612
24,0,24,-1.0,-1.0,-0.11041618883609772,0.25065428018569946,1.5347623547740878
25,0,25,-1.0,-1.0,0.019570140168070793,0.15184205770492554,1.5382663607516927
26,0,26,-1.0,-1.0,-0.05389775335788727,0.27711308002471924,1.589379526819028
27,0,27,-1.0,-1.0,-0.29707759618759155,0.12471526861190796,1.3263047693611643
28,0,28,-1.0,-1.0,-0.05019517242908478,0.13554707169532776,1.4804041213509402
29,0,29,-1.0,-1.0,-0.11763659864664078,0.18574956059455872,1.4780281433376221
30,0,30,-1.0,-1.0,-0.13002504408359528,0.1649031937122345,1.45391054561232
31,0,31,-1.0,-1.0,-0.00319061242043972,0.20081192255020142,1.5606339187988478
32,0,32,-1.0,-1.0,-0.019865984097123146,0.24582719802856445,1.5851650060727447
33,0,33,-1.0,-1.0,-0.05893568694591522,0.1970241367816925,1.5226519055062824
34,0,34,-1.0,-1.0,-0.17427314817905426,0.19957298040390015,1.4562967311414339
35,0,35,-1.0,-1.0,-0.05320426821708679,0.22746172547340393,1.5501885192532192
36,0,36,-1.0,-1.0,-0.024543996900320053,0.1957620084285736,1.5431659647569793
37,0,37,-1.0,-1.0,-0.04963460564613342,0.25309136509895325,1.572714962118355
38,0,38,-1.0,-1.0,-0.026827141642570496,0.15827110409736633,1.5128309101913873
39,0,39,-1.0,-1.0,-0.031862832605838776,0.32467374205589294,1.6407468109925896
40,0,40,-1.0,-1.0,-0.05577520281076431,0.2187449336051941,1.5417197153877815
41,0,41,-1.0,-1.0,0.01782808266580105,0.18739861249923706,1.563933972656216
42,0,42,-1.0,-1.0,-0.04661936312913895,0.3256089687347412,1.6328422387818955
43,0,43,-1.0,-1.0,-0.10008981823921204,0.3171253800392151,1.595198295504412
44,0,44,-1.0,-1.0,-0.006854723207652569,0.34169068932533264,1.6692727298549013
45,0,45,-1.0,-1.0,-0.03864355385303497,0.16197830438613892,1.5081113342231762
46,0,46,-1.0,-1.0,0.005047304555773735,0.3418947458267212,1.6765445396028662
47,0,47,-1.0,-1.0,0.03405584394931793,0.20614689588546753,1.5887296254743553
48,0,48,-1.0,-1.0,0.03277569264173508,0.16557246446609497,1.5573004852093195
49,0,49,-1.0,-1.0,0.0531272292137146,0.23502221703529358,1.623070188710928
50,1,0,-0.8,-1.0,-0.0028587952256202698,0.343536913394928,1.562218146740051
51,1,1,-0.8,-1.0,-0.06722399592399597,0.2245270013809204,1.4270343546181867
52,1,2,-0.8,-1.0,-0.029672253876924515,0.2511880099773407,1.4693114961634635
53,1,3,-0.8,-1.0,0.09519792348146439,0.09896810352802277,1.4174308500867
54,1,4,-0.8,-1.0,-0.08713658899068832,0.2632600665092468,1.4505172313325951
55,1,5,-0.8,-1.0,-0.13758239150047302,0.22413954138755798,1.3918745291292507
56,1,6,-0.8,-1.0,-0.043407756835222244,0.18693959712982178,1.4075714652023228
57,1,7,-0.8,-1.0,-0.03490937128663063,0.26024144887924194,1.4743039644585745
58,1,8,-0.8,-1.0,0.1046106219291687,0.33353298902511597,1.6114064074979153
59,1,9,-0.8,-1.0,-0.26395928859710693,0.16509336233139038,1.2824906187688019
60,1,10,-0.8,-1.0,-0.008065229281783104,0.27169784903526306,1.498124193888287
61,1,11,-0.8,-1.0,-0.03883887082338333,0.23631614446640015,1.4518415456370186
62,1,12,-0.8,-1.0,-0.2653195261955261,0.21250078082084656,1.3251571048592463
63,1,13,-0.8,-1.0,-0.04705500230193138,0.2235727608203888,1.4366824529380782
