sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.6020400524139404,0.35345518589019775,1.4107491130940926
1,0,1,-1.0,-1.0,-0.726987361907959,0.14905966818332672,1.1810478489898504
2,0,2,-1.0,-1.0,-0.6040140986442566,0.3105778992176056,1.369094322532291
3,0,3,-1.0,-1.0,-0.5761685967445374,0.27308908104896545,1.3417857007255645
4,0,4,-1.0,-1.0,-0.6582624912261963,0.310340940952301,1.3541705603204817
5,0,5,-1.0,-1.0,-0.6105048060417175,0.30160367488861084,1.3586311613532704
6,0,6,-1.0,-1.0,-0.7184110879898071,0.2732824981212616,1.304047788767346
7,0,7,-1.0,-1.0,-0.7007191777229309,0.27863478660583496,1.3131930277386443
8,0,8,-1.0,-1.0,-0.703410804271698,0.10351360589265823,1.1426755573709355
9,0,9,-1.0,-1.0,-0.44084805250167847,0.1934080719947815,1.317905052230041
10,0,10,-1.0,-1.0,-0.6416725516319275,0.29521405696868896,1.3438668139452152
11,0,11,-1.0,-1.0,-0.7045403122901917,0.2657690644264221,1.299795272925901
12,0,12,-1.0,-1.0,-0.7235131859779358,0.23565039038658142,1.2662056885003252
13,0,13,-1.0,-1.0,-0.7866184115409851,-0.08044120669364929,0.9439915659794447
14,0,14,-1.0,-1.0,-0.7196061611175537,0.2180420309305191,1.2498988335047676
15,0,15,-1.0,-1.0,-0.41125547885894775,0.23707421123981476,1.370026538169322
16,0,16,-1.0,-1.0,-0.6557733416557312,0.3496847152709961,1.3928893792943544
17,0,17,-1.0,-1.0,-0.6491757035255432,0.24839170277118683,1.2967496020993186
18,0,18,-1.0,-1.0,-0.4437609612941742,0.37876462936401367,1.4867393084753182
19,0,19,-1.0,-1.0,-0.6706101298332214,0.3684648275375366,1.4075488164805607
20,0,20,-1.0,-1.0,-0.7050361633300781,0.25928089022636414,1.2933646142648036
21,0,21,-1.0,-1.0,-0.6570929884910583,0.14881528913974762,1.198900240680281
22,0,22,-1.0,-1.0,-0.7219849228858948,0.22884316742420197,1.2598999615953272
