sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,r_dev0_m,r_dev1_m,r_dev0_cal_m,r_dev1_cal_m,rmse_xy_m
0,0,0,-1.0,-1.0,-3.579742104475426,-3.540869252912927,3.96728515625,3.96728515625,3.8972851562500015,3.877285156250002,3.620923347159063
1,0,1,-1.0,-1.0,-3.579742104475426,-3.540869252912927,3.96728515625,3.96728515625,3.8972851562500015,3.877285156250002,3.620923347159063
2,0,2,-1.0,-1.0,-3.579742104475426,-3.540869252912927,3.96728515625,3.96728515625,3.8972851562500015,3.877285156250002,3.620923347159063
3,0,3,-1.0,-1.0,-3.579742104475426,-3.540869252912927,3.96728515625,3.96728515625,3.8972851562500015,3.877285156250002,3.620923347159063
4,0,4,-1.0,-1.0,-3.579742104475426,-3.540869252912927,3.96728515625,3.96728515625,3.8972851562500015,3.877285156250002,3.620923347159063
5,0,5,-1.0,-1.0,-3.579742104475426,-3.540869252912927,3.96728515625,3.96728515625,3.8972851562500015,3.877285156250002,3.620923347159063
6,0,6,-1.0,-1.0,-3.579742104475426,-3.540869252912927,3.96728515625,3.96728515625,3.8972851562500015,3.877285156250002,3.620923347159063
7,0,7,-1.0,-1.0,-3.579742104475426,-3.540869252912927,3.96728515625,3.96728515625,3.8972851562500015,3.877285156250002,3.620923347159063
8,0,8,-1.0,-1.0,-3.579742104475426,-3.540869252912927,3.96728515625,3.96728515625,3.8972851562500015,3.877285156250002,3.620923347159063
9,0,9,-1.0,-1.0,-3.579742104475426,-3.540869252912927,3.96728515625,3.96728515625,3.8972851562500015,3.877285156250002,3.620923347159063
10,0,10,-1.0,-1.0,-3.579742104475426,-3.540869252912927,3.96728515625,3.96728515625,3.8972851562500015,3.877285156250002,3.620923347159063
11,0,11,-1.0,-1.0,-3.579742104475426,-3.540869252912927,3.96728515625,3.96728515625,3.8972851562500015,3.877285156250002,3.620923347159063
12,0,12,-1.0,-1.0,-3.579742104475426,-3.540869252912927,3.96728515625,3.96728515625,3.8972851562500015,3.877285156250002,3.620923347159063
13,0,13,-1.0,-1.0,-3.579742104475426,-3.540869252912927,3.96728515625,3.96728515625,3.8972851562500015,3.877285156250002,3.620923347159063
14,0,14,-1.0,-1.0,-3.579742104475426,-3.540869252912927,3.96728515625,3.96728515625,3.8972851562500015,3.877285156250002,3.620923347159063
15,0,15,-1.0,-1.0,-3.6621341175544972,-3.3332686504114393,3.96728515625,3.814697265625,3.8972851562500015,3.724697265625002,3.5399294703200628
