sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.3429321050643921,-0.10865136235952377,1.1073574907764177
1,0,1,-1.0,-1.0,-0.26089420914649963,-0.09351826459169388,1.1696095530996797
2,0,2,-1.0,-1.0,-0.31803855299949646,-0.08587327599525452,1.1404819519548166
3,0,3,-1.0,-1.0,-0.3649996221065521,-0.05986989289522171,1.134491118612069
4,0,4,-1.0,-1.0,-0.30392730236053467,-0.10253152996301651,1.1357670778419342
5,0,5,-1.0,-1.0,-0.31044819951057434,-0.09301616251468658,1.1393425152331471
6,0,6,-1.0,-1.0,-0.2892719507217407,-0.1265227198600769,1.1260980947286596
7,0,7,-1.0,-1.0,-0.30901557207107544,-0.10027223825454712,1.1344467924480837
8,0,8,-1.0,-1.0,-0.32307836413383484,-0.09271172434091568,1.1319871537487338
9,0,9,-1.0,-1.0,-0.34760913252830505,-0.017658621072769165,1.1792406152745605
10,0,10,-1.0,-1.0,-0.32804274559020996,-0.07337452471256256,1.1446227864259966
11,0,11,-1.0,-1.0,-0.263515830039978,-0.0977868139743805,1.1646448238154847
12,0,12,-1.0,-1.0,-0.2556135654449463,-0.13205459713935852,1.1434335950532968
13,0,13,-1.0,-1.0,-0.5259938836097717,-0.10397061705589294,1.0136816331938465
14,0,14,-1.0,-1.0,-0.25795185565948486,-0.11137448251247406,1.1577092721617008
15,0,15,-1.0,-1.0,-0.3723895847797394,-0.030988991260528564,1.1545029962504367
16,0,16,-1.0,-1.0,-0.2526942789554596,-0.10755903273820877,1.1640089006330931
17,0,17,-1.0,-1.0,-0.3001554012298584,-0.04964274913072586,1.1802378432788643
18,0,18,-1.0,-1.0,-0.3484339416027069,-0.09939884394407272,1.111584801418523
19,0,19,-1.0,-1.0,-0.24532026052474976,-0.12390469759702682,1.1563236951939488
20,0,20,-1.0,-1.0,-0.31499356031417847,-0.09077838808298111,1.1383838377225965
21,0,21,-1.0,-1.0,-0.373935341835022,-0.1157689318060875,1.0834304491579412
22,0,22,-1.0,-1.0,-0.28440678119659424,-0.1255834996700287,1.129901708489165
23,0,23,-1.0,-1.0,-0.336389422416687,-0.05229070037603378,1.1569494004813723
24,0,24,-1.0,-1.0,-0.37405404448509216,-0.08636460453271866,1.1074917494393024
25,0,25,-1.0,-1.0,-0.3182474970817566,-0.10262563079595566,1.1269725967119368
26,0,26,-1.0,-1.0,-0.29921606183052063,-0.06792213767766953,1.1661334698171089
27,0,27,-1.0,-1.0,-0.4250580370426178,-0.15003815293312073,1.0261546677955662
28,0,28,-1.0,-1.0,-0.27089253067970276,-0.09360770136117935,1.1632474804831572
29,0,29,-1.0,-1.0,-0.3175249695777893,-0.0863468274474144,1.1404097013201888
