exp_id,description,train_h5,checkpoint,run1_val_acc,run1_val_topk_hit,run1_best_epoch,run2_top1_acc,run2_top3_hit,run2_global_rmse_topk_m,run2_global_rmse_top1_m,run2_oracle_region_rmse_m,n,eval_csv
baseline_drop01,reuse region_drop01 (dropout=0.1),/home/lhp/projects/isac/data/experiment/cooperative_monostatic_measurement0/cooperative_monostatic_dataset.h5,/home/lhp/projects/isac/models/region_run2_zeroshot/region/baseline_drop01/best_model.pth,0.5990909090909091,,30,0.2496279761904762,0.5607328869047619,0.601824437385528,0.6574768911137767,0.20295436954925808,10752,/home/lhp/projects/isac/models/region_run2_zeroshot/eval/baseline_drop01/two_stage_rmse.csv
aug_strong,noise 0.02 + SpecAugment 0.7,/home/lhp/projects/isac/data/experiment/cooperative_monostatic_measurement0/cooperative_monostatic_dataset.h5,/home/lhp/projects/isac/models/region_run2_zeroshot/region/aug_strong/best_model.pth,0.6068181818181818,,3,0.22842261904761904,0.5723586309523809,0.6068525838386858,0.6897735854069253,0.20295436954925808,10752,/home/lhp/projects/isac/models/region_run2_zeroshot/eval/aug_strong/two_stage_rmse.csv
neighbor_smooth,neighbor-smooth 0.2,/home/lhp/projects/isac/data/experiment/cooperative_monostatic_measurement0/cooperative_monostatic_dataset.h5,/home/lhp/projects/isac/models/region_run2_zeroshot/region/neighbor_smooth/best_model.pth,0.7113636363636363,,58,0.2631138392857143,0.5615699404761905,0.6057973879179768,0.6440725737038562,0.20295436954925808,10752,/home/lhp/projects/isac/models/region_run2_zeroshot/eval/neighbor_smooth/two_stage_rmse.csv
label_smooth,label-smoothing 0.1,/home/lhp/projects/isac/data/experiment/cooperative_monostatic_measurement0/cooperative_monostatic_dataset.h5,/home/lhp/projects/isac/models/region_run2_zeroshot/region/label_smooth/best_model.pth,0.5931818181818181,,18,0.24172247023809523,0.5188802083333334,0.5847070341796643,0.6589432582975835,0.20295436954925808,10752,/home/lhp/projects/isac/models/region_run2_zeroshot/eval/label_smooth/two_stage_rmse.csv
mixup,feature mixup alpha=0.2,/home/lhp/projects/isac/data/experiment/cooperative_monostatic_measurement0/cooperative_monostatic_dataset.h5,/home/lhp/projects/isac/models/region_run2_zeroshot/region/mixup/best_model.pth,0.64,,10,0.25093005952380953,0.5900297619047619,0.5865445475101599,0.6700705968906577,0.20295436954925808,10752,/home/lhp/projects/isac/models/region_run2_zeroshot/eval/mixup/two_stage_rmse.csv
aug_neighbor,strong aug + neighbor-smooth 0.2,/home/lhp/projects/isac/data/experiment/cooperative_monostatic_measurement0/cooperative_monostatic_dataset.h5,/home/lhp/projects/isac/models/region_run2_zeroshot/region/aug_neighbor/best_model.pth,0.7163636363636363,,43,0.26850818452380953,0.5721726190476191,0.6060123643847475,0.6497221600209836,0.20295436954925808,10752,/home/lhp/projects/isac/models/region_run2_zeroshot/eval/aug_neighbor/two_stage_rmse.csv
topk_ce3,forced top-k softmax CE k=3,/home/lhp/projects/isac/data/experiment/cooperative_monostatic_measurement0/cooperative_monostatic_dataset.h5,/home/lhp/projects/isac/models/region_run2_zeroshot/region/topk_ce3/best_model.pth,0.045454545454545456,0.2509090909090909,2,0.05087425595238095,0.3185453869047619,0.9368677875882847,0.9416705008139113,0.20295436954925808,10752,/home/lhp/projects/isac/models/region_run2_zeroshot/eval/topk_ce3/two_stage_rmse.csv
neigh_mild_aug,neighbor 0.2 + noise 0.01 + SpecAugment 0.55,/home/lhp/projects/isac/data/experiment/cooperative_monostatic_measurement0/cooperative_monostatic_dataset.h5,/home/lhp/projects/isac/models/region_run2_zeroshot/region/neigh_mild_aug/best_model.pth,0.7013636363636364,0.9009090909090909,28,0.26125372023809523,0.5668712797619048,0.6051167626993472,0.6604409534015241,0.20295436954925808,10752,/home/lhp/projects/isac/models/region_run2_zeroshot/eval/neigh_mild_aug/two_stage_rmse.csv
neigh_mixup,neighbor 0.2 + mixup 0.1,/home/lhp/projects/isac/data/experiment/cooperative_monostatic_measurement0/cooperative_monostatic_dataset.h5,/home/lhp/projects/isac/models/region_run2_zeroshot/region/neigh_mixup/best_model.pth,0.7068181818181818,0.91,18,0.2398623511904762,0.5771949404761905,0.6127165118835779,0.689352043261045,0.20295436954925808,10752,/home/lhp/projects/isac/models/region_run2_zeroshot/eval/neigh_mixup/two_stage_rmse.csv
combo_best,neighbor 0.2 + mild aug + mixup 0.1 + wd 0.02,/home/lhp/projects/isac/data/experiment/cooperative_monostatic_measurement0/cooperative_monostatic_dataset.h5,/home/lhp/projects/isac/models/region_run2_zeroshot/region/combo_best/best_model.pth,0.7122727272727273,0.9109090909090909,18,0.24879092261904762,0.5762648809523809,0.6139486508778417,0.680100153918813,0.20295436954925808,10752,/home/lhp/projects/isac/models/region_run2_zeroshot/eval/combo_best/two_stage_rmse.csv
