sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.8829647302627563,-1.0203917026519775,0.1187984675806723
1,0,1,-1.0,-1.0,-0.7730059027671814,-0.9781585931777954,0.22804246804162454
2,0,2,-1.0,-1.0,-0.7645031213760376,-1.0005311965942383,0.23549747771781127
3,0,3,-1.0,-1.0,-0.8230487108230591,-0.9446181654930115,0.18541549647950364
4,0,4,-1.0,-1.0,-0.8415371775627136,-0.9694033861160278,0.16138964922186252
5,0,5,-1.0,-1.0,-0.7838523983955383,-0.9903042316436768,0.21636495465620248
6,0,6,-1.0,-1.0,-0.8127846121788025,-0.9788899421691895,0.1884017939900296
7,0,7,-1.0,-1.0,-0.8264750242233276,-0.9826041460037231,0.1743947618323283
8,0,8,-1.0,-1.0,-0.7450393438339233,-0.9641633033752441,0.25746690081952506
9,0,9,-1.0,-1.0,-0.742914080619812,-0.9774235486984253,0.25807531090154456
10,0,10,-1.0,-1.0,-0.8144320249557495,-0.9712159633636475,0.1877870978717826
11,0,11,-1.0,-1.0,-0.7961532473564148,-0.990454912185669,0.20407010379945
12,0,12,-1.0,-1.0,-0.8056540489196777,-0.970369815826416,0.19659170001674925
13,0,13,-1.0,-1.0,-0.8314433693885803,-0.8768941164016724,0.20872564839903976
14,0,14,-1.0,-1.0,-0.7921612858772278,-0.9868118762969971,0.2082567110443578
15,0,15,-1.0,-1.0,-0.7550030946731567,-0.9788116216659546,0.2459114291694407
16,0,16,-1.0,-1.0,-0.8422552943229675,-1.0267201662063599,0.1599917480722962
17,0,17,-1.0,-1.0,-0.7999164462089539,-0.9569733142852783,0.20465757787398905
18,0,18,-1.0,-1.0,-0.8316860795021057,-0.9826599359512329,0.16920476841562954
19,0,19,-1.0,-1.0,-0.8136584758758545,-1.0468846559524536,0.19214925078357564
20,0,20,-1.0,-1.0,-0.8127661943435669,-0.9607668519020081,0.19130012517055478
21,0,21,-1.0,-1.0,-0.7198864817619324,-0.8669087290763855,0.31012395827438294
22,0,22,-1.0,-1.0,-0.8002362847328186,-0.9928150177001953,0.19989288608651393
23,0,23,-1.0,-1.0,-0.7658599019050598,-0.9486355185508728,0.2397079378961947
24,0,24,-1.0,-1.0,-0.8064976930618286,-0.9701673984527588,0.195788474904604
25,0,25,-1.0,-1.0,-0.7623039484024048,-0.9352295994758606,0.24636277667120104
26,0,26,-1.0,-1.0,-0.789911150932312,-0.9783391952514648,0.21120254488272613
27,0,27,-1.0,-1.0,-0.8495951294898987,-0.9180330634117126,0.17128982388580083
28,0,28,-1.0,-1.0,-0.7577662467956543,-0.980378270149231,0.24302716612304975
29,0,29,-1.0,-1.0,-0.7815505266189575,-0.9645438194274902,0.22130818593365498
30,0,30,-1.0,-1.0,-0.7878818511962891,-0.9563382863998413,0.21656512712441847
