sample_idx,session_index,frame_index,true_x_m,true_y_m,true_subregion_id,pred_subregion_id,region_correct,region_topk_hit,topk_ids,topk_probs,est_x_m,est_y_m,est_x_top1_m,est_y_top1_m,est_x_oracle_m,est_y_oracle_m,rmse_xy_m,rmse_xy_top1_m,rmse_xy_oracle_m
0,0,0,-1.0,-1.0,0,9,0,0,"9,13,8","0.408822,0.374727,0.216451",-0.34177449345588684,0.07321662455797195,-0.34177449345588684,0.07321662455797195,-0.32456010580062866,-0.049041446298360825,1.2589895713201367,1.2589895713201367,1.1664224027059713
1,0,1,-1.0,-1.0,0,9,0,0,"9,13,8","0.409648,0.384934,0.205418",-0.30155429244041443,-0.01747705414891243,-0.30155429244041443,-0.01747705414891243,-0.3246869146823883,-0.13190972805023193,1.2054782227532397,1.2054782227532397,1.0998311158787126
2,0,2,-1.0,-1.0,0,9,0,0,"9,13,10","0.400801,0.337915,0.261284",-0.29799333214759827,0.05378400534391403,-0.29799333214759827,0.05378400534391403,-0.30958160758018494,-0.07985168695449829,1.2662046010135544,1.2662046010135544,1.1503697121326015
3,0,3,-1.0,-1.0,0,9,0,0,"9,13,10","0.421449,0.294178,0.284373",-0.32675591111183167,0.018746845424175262,-0.32675591111183167,0.018746845424175262,-0.3553983271121979,-0.11281498521566391,1.2211071772307984,1.2211071772307984,1.0966351112141337
4,0,4,-1.0,-1.0,0,9,0,0,"9,13,8","0.398043,0.384872,0.217085",-0.27676498889923096,0.04075364023447037,-0.27676498889923096,0.04075364023447037,-0.2860223352909088,-0.09341329336166382,1.2673740651217504,1.2673740651217504,1.1539772798269436
5,0,5,-1.0,-1.0,0,9,0,0,"9,13,10","0.397941,0.375206,0.226853",-0.2978082597255707,0.055666618049144745,-0.2978082597255707,0.055666618049144745,-0.3123326897621155,-0.07532402127981186,1.2678743031440263,1.2678743031440263,1.1523506389948959
6,0,6,-1.0,-1.0,0,9,0,0,"9,13,8","0.424226,0.344961,0.230813",-0.26926448941230774,0.011824510991573334,-0.26926448941230774,0.011824510991573334,-0.28962746262550354,-0.10110282897949219,1.2481038528412576,1.2481038528412576,1.145707321231977
7,0,7,-1.0,-1.0,0,9,0,0,"9,13,8","0.436443,0.333743,0.229813",-0.27717262506484985,0.02386265993118286,-0.27717262506484985,0.02386265993118286,-0.29190582036972046,-0.09773030132055283,1.2533052941550185,1.2533052941550185,1.1469472421961608
8,0,8,-1.0,-1.0,0,13,0,0,"13,9,8","0.424590,0.405664,0.169745",-0.3158591091632843,-0.018071964383125305,-0.3158591091632843,-0.018071964383125305,-0.34006229043006897,-0.13286274671554565,1.1967587165528686,1.1967587165528686,1.089699406509022
9,0,9,-1.0,-1.0,0,10,0,0,"10,9,11","0.365653,0.360304,0.274044",-0.2953301966190338,-0.013020854443311691,-0.2953301966190338,-0.013020854443311691,-0.3460307717323303,-0.12941226363182068,1.212718996948914,1.212718996948914,1.088852036888246
10,0,10,-1.0,-1.0,0,9,0,0,"9,13,10","0.436641,0.310218,0.253141",-0.32095590233802795,0.023984864354133606,-0.32095590233802795,0.023984864354133606,-0.3471170961856842,-0.10739518702030182,1.2286764785719286,1.2286764785719286,1.105893050094599
11,0,11,-1.0,-1.0,0,9,0,0,"9,13,10","0.428241,0.341171,0.230588",-0.27028688788414,0.026895441114902496,-0.27028688788414,0.026895441114902496,-0.29035624861717224,-0.09723207354545593,1.2597600854830986,1.2597600854830986,1.1482962086986657
12,0,12,-1.0,-1.0,0,9,0,0,"9,13,10","0.409437,0.391868,0.198696",-0.26489555835723877,0.02337593585252762,-0.26489555835723877,0.02337593585252762,-0.28924480080604553,-0.09393759071826935,1.2600304941567693,1.2600304941567693,1.1515737243853092
13,0,13,-1.0,-1.0,0,9,0,0,"9,13,8","0.555993,0.226733,0.217274",-0.30562907457351685,-0.00709930807352066,-0.30562907457351685,-0.00709930807352066,-0.3178675174713135,-0.10782767832279205,1.2116116399679033,1.2116116399679033,1.1230655258210218
14,0,14,-1.0,-1.0,0,13,0,0,"13,9,10","0.391777,0.376415,0.231808",-0.26083463430404663,0.042517051100730896,-0.26083463430404663,0.042517051100730896,-0.28330114483833313,-0.08818047493696213,1.2779699682231176,1.2779699682231176,1.159772432538482
15,0,15,-1.0,-1.0,0,9,0,0,"9,10,11","0.400855,0.333309,0.265836",-0.3003780245780945,-0.006839938461780548,-0.3003780245780945,-0.006839938461780548,-0.3453415334224701,-0.1145634800195694,1.2148406547065542,1.2148406547065542,1.101170077134635
