sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.34177449345588684,0.07321662455797195,1.2589895713201367
1,0,1,-1.0,-1.0,-0.30155429244041443,-0.01747705414891243,1.2054782227532397
2,0,2,-1.0,-1.0,-0.29799333214759827,0.05378400534391403,1.2662046010135544
3,0,3,-1.0,-1.0,-0.32675591111183167,0.018746845424175262,1.2211071772307984
4,0,4,-1.0,-1.0,-0.27676498889923096,0.04075364023447037,1.2673740651217504
5,0,5,-1.0,-1.0,-0.2978082597255707,0.055666618049144745,1.2678743031440263
6,0,6,-1.0,-1.0,-0.26926448941230774,0.011824510991573334,1.2481038528412576
7,0,7,-1.0,-1.0,-0.27717262506484985,0.02386265993118286,1.2533052941550185
8,0,8,-1.0,-1.0,-0.3158591091632843,-0.018071964383125305,1.1967587165528686
9,0,9,-1.0,-1.0,-0.2953301966190338,-0.013020854443311691,1.212718996948914
10,0,10,-1.0,-1.0,-0.32095590233802795,0.023984864354133606,1.2286764785719286
11,0,11,-1.0,-1.0,-0.27028688788414,0.026895441114902496,1.2597600854830986
12,0,12,-1.0,-1.0,-0.26489555835723877,0.02337593585252762,1.2600304941567693
13,0,13,-1.0,-1.0,-0.30562907457351685,-0.00709930807352066,1.2116116399679033
14,0,14,-1.0,-1.0,-0.26083463430404663,0.042517051100730896,1.2779699682231176
15,0,15,-1.0,-1.0,-0.3003780245780945,-0.006839938461780548,1.2148406547065542
16,0,16,-1.0,-1.0,-0.2971360385417938,0.06402187794446945,1.275209906274727
17,0,17,-1.0,-1.0,-0.29657790064811707,0.010460428893566132,1.2311916699752237
18,0,18,-1.0,-1.0,-0.3460128605365753,0.0650089681148529,1.2497772924599873
19,0,19,-1.0,-1.0,-0.2862696051597595,0.04200255125761032,1.263004510421944
20,0,20,-1.0,-1.0,-0.31928402185440063,0.034869469702243805,1.2386803712921761
21,0,21,-1.0,-1.0,-0.29533839225769043,0.031052790582180023,1.248846603227665
22,0,22,-1.0,-1.0,-0.26870134472846985,0.009888343513011932,1.246864944396707
23,0,23,-1.0,-1.0,-0.29458826780319214,-0.009782090783119202,1.2157866669999107
24,0,24,-1.0,-1.0,-0.3281751573085785,0.0446736216545105,1.24205136570035
25,0,25,-1.0,-1.0,-0.3133510649204254,-0.030800288543105125,1.1877856880490023
26,0,26,-1.0,-1.0,-0.3121066391468048,0.0410640686750412,1.2478027372113492
27,0,27,-1.0,-1.0,-0.26314836740493774,-0.008496351540088654,1.235325792399448
28,0,28,-1.0,-1.0,-0.30451563000679016,-0.010725818574428558,1.2092815697512662
29,0,29,-1.0,-1.0,-0.29544001817703247,0.009497836232185364,1.2310526590458446
30,0,30,-1.0,-1.0,-0.2805205285549164,0.003279302269220352,1.234593077978615
31,0,31,-1.0,-1.0,-0.30922672152519226,0.04228827357292175,1.2504129587790012
32,0,32,-1.0,-1.0,-0.2634478509426117,0.01305852085351944,1.2525161216347587
33,0,33,-1.0,-1.0,-0.28222131729125977,-0.003241591155529022,1.2283051587261433
34,0,34,-1.0,-1.0,-0.30782124400138855,0.025354258716106415,1.2371187437441247
35,0,35,-1.0,-1.0,-0.26544466614723206,0.027565933763980865,1.26311649768491
36,0,36,-1.0,-1.0,-0.29094308614730835,0.009394891560077667,1.2335476294776315
37,0,37,-1.0,-1.0,-0.2644728124141693,-0.006548609584569931,1.2361010916572612
38,0,38,-1.0,-1.0,-0.3126506805419922,-0.003583550453186035,1.210493629841506
39,0,39,-1.0,-1.0,-0.29483354091644287,0.07983183115720749,1.2896885354986956
40,0,40,-1.0,-1.0,-0.2670585811138153,0.026778757572174072,1.2615378474387327
41,0,41,-1.0,-1.0,-0.29659679532051086,-0.02366708591580391,1.2033295589644233
42,0,42,-1.0,-1.0,-0.27355295419692993,0.05020535737276077,1.2769716531742026
43,0,43,-1.0,-1.0,-0.2722680866718292,0.05637342482805252,1.2827776698864186
44,0,44,-1.0,-1.0,-0.26033419370651245,0.06924586743116379,1.3001508489473124
45,0,45,-1.0,-1.0,-0.3133320212364197,0.021442726254463196,1.2307957410055541
46,0,46,-1.0,-1.0,-0.285126656293869,0.04281940311193466,1.2643244065698944
47,0,47,-1.0,-1.0,-0.3142794370651245,-0.011203192174434662,1.2033003854390434
48,0,48,-1.0,-1.0,-0.30813780426979065,-0.03775161877274513,1.185156211246053
49,0,49,-1.0,-1.0,-0.2667671740055084,-0.000763624906539917,1.2393965105751212
50,1,0,-0.8,-1.0,-0.2694161534309387,0.06861180812120438,1.1930844122257616
51,1,1,-0.8,-1.0,-0.2689206004142761,0.011503741145133972,1.142446999652472
52,1,2,-0.8,-1.0,-0.2825404405593872,0.0198824480175972,1.1436453136487903
53,1,3,-0.8,-1.0,-0.2424723207950592,-0.0693979412317276,1.084830542003402
54,1,4,-0.8,-1.0,-0.2718806266784668,0.01357586681842804,1.1429112433930542
55,1,5,-0.8,-1.0,-0.25121381878852844,0.0012803897261619568,1.1418093936988103
56,1,6,-0.8,-1.0,-0.25685909390449524,-0.025280330330133438,1.1158317428338287
57,1,7,-0.8,-1.0,-0.27423346042633057,0.059064045548439026,1.1823904205924103
58,1,8,-0.8,-1.0,-0.29483547806739807,0.07830188423395157,1.1907670417684075
59,1,9,-0.8,-1.0,-0.2537343502044678,0.002459913492202759,1.1416356854554477
60,1,10,-0.8,-1.0,-0.2588081359863281,0.024278126657009125,1.1584620470358902
61,1,11,-0.8,-1.0,-0.2528858780860901,-0.0032668448984622955,1.137018401291859
62,1,12,-0.8,-1.0,-0.26554566621780396,0.035162799060344696,1.1649907533783341
63,1,13,-0.8,-1.0,-0.2638755738735199,0.0019113048911094666,1.1363343095929355
64,1,14,-0.8,-1.0,-0.2679177522659302,0.013902164995670319,1.1450367323962352
65,1,15,-0.8,-1.0,-0.30606475472450256,-0.030884230509400368,1.0877303899407806
66,1,16,-0.8,-1.0,-0.24864792823791504,0.04582861810922623,1.1822633401626716
67,1,17,-0.8,-1.0,-0.3220709264278412,0.07333559542894363,1.174932125605708
68,1,18,-0.8,-1.0,-0.3265036344528198,0.026740722358226776,1.1306614520426006
69,1,19,-0.8,-1.0,-0.34036388993263245,0.0402446985244751,1.1372661898105199
70,1,20,-0.8,-1.0,-0.26780492067337036,0.002479400485754013,1.1349874672690243
71,1,21,-0.8,-1.0,-0.2573208212852478,0.014636874198913574,1.150647069041876
72,1,22,-0.8,-1.0,-0.25217536091804504,-0.03221330791711807,1.112080445182812
73,1,23,-0.8,-1.0,-0.314797580242157,0.03821900486946106,1.1460017845583836
74,1,24,-0.8,-1.0,-0.2965702712535858,0.012726359069347382,1.1309536551687451
75,1,25,-0.8,-1.0,-0.3202173709869385,0.03918680548667908,1.1445962553670592
