sample_idx,session_index,frame_index,true_x_m,true_y_m,true_subregion_id,pred_subregion_id,region_correct,region_topk_hit,topk_ids,topk_probs,est_x_m,est_y_m,est_x_top1_m,est_y_top1_m,est_x_oracle_m,est_y_oracle_m,rmse_xy_m,rmse_xy_top1_m,rmse_xy_oracle_m
0,0,0,-1.0,-1.0,0,13,0,0,"13,8,9","0.419147,0.324807,0.256046",-0.27000510692596436,-0.03388065844774246,-0.27000510692596436,-0.03388065844774246,-0.2775622010231018,-0.14221101999282837,1.2109001304961282,1.2109001304961282,1.1214804089293442
1,0,1,-1.0,-1.0,0,13,0,0,"13,8,9","0.370758,0.339302,0.289940",-0.24053557217121124,-0.12868279218673706,-0.24053557217121124,-0.12868279218673706,-0.2669234275817871,-0.23236015439033508,1.1558459645509909,1.1558459645509909,1.061448158694557
2,0,2,-1.0,-1.0,0,13,0,0,"13,8,9","0.407160,0.314205,0.278635",-0.2303953617811203,-0.05568116903305054,-0.2303953617811203,-0.05568116903305054,-0.2565326690673828,-0.16071900725364685,1.2182074345885427,1.2182074345885427,1.1212208778601003
3,0,3,-1.0,-1.0,0,8,0,0,"8,13,9","0.374769,0.338909,0.286321",-0.25537335872650146,-0.07803402841091156,-0.25537335872650146,-0.07803402841091156,-0.28899383544921875,-0.18063130974769592,1.1851118460560857,1.1851118460560857,1.0848478310781604
4,0,4,-1.0,-1.0,0,13,0,0,"13,8,9","0.424713,0.337359,0.237928",-0.21854062378406525,-0.07403145730495453,-0.21854062378406525,-0.07403145730495453,-0.24182827770709991,-0.1811722069978714,1.2116503203220739,1.2116503203220739,1.1159315906798764
5,0,5,-1.0,-1.0,0,13,0,0,"13,8,9","0.420173,0.319068,0.260758",-0.2430693656206131,-0.0385567806661129,-0.2430693656206131,-0.0385567806661129,-0.2682284712791443,-0.145774707198143,1.223649071125006,1.223649071125006,1.1248068372431226
6,0,6,-1.0,-1.0,0,13,0,0,"13,8,9","0.369032,0.356170,0.274798",-0.20512960851192474,-0.1169266551733017,-0.20512960851192474,-0.1169266551733017,-0.23214741051197052,-0.21307691931724548,1.188123508566268,1.188123508566268,1.099475117542325
7,0,7,-1.0,-1.0,0,13,0,0,"13,8,9","0.384698,0.354479,0.260823",-0.21672265231609344,-0.08800582587718964,-0.21672265231609344,-0.08800582587718964,-0.24021218717098236,-0.1885814368724823,1.2021883284363903,1.2021883284363903,1.1116103656908871
8,0,8,-1.0,-1.0,0,13,0,0,"13,8,9","0.453357,0.282333,0.264310",-0.2700501084327698,-0.11791692674160004,-0.2700501084327698,-0.11791692674160004,-0.2997034788131714,-0.2286403775215149,1.1449442747697351,1.1449442747697351,1.0418305451351124
9,0,9,-1.0,-1.0,0,8,0,0,"8,11,9","0.396973,0.336058,0.266969",-0.2555527687072754,-0.0924949198961258,-0.2555527687072754,-0.0924949198961258,-0.2976617217063904,-0.19074943661689758,1.173783263892335,1.173783263892335,1.0715248627504173
10,0,10,-1.0,-1.0,0,13,0,0,"13,8,9","0.360346,0.359395,0.280259",-0.24872533977031708,-0.06886183470487595,-0.24872533977031708,-0.06886183470487595,-0.27519935369491577,-0.17049434781074524,1.1964246311290967,1.1964246311290967,1.1015514531324393
11,0,11,-1.0,-1.0,0,13,0,0,"13,8,9","0.394923,0.327823,0.277254",-0.21817047894001007,-0.09991934895515442,-0.21817047894001007,-0.09991934895515442,-0.24236740171909332,-0.19938668608665466,1.1922258923485123,1.1922258923485123,1.1022653185114673
12,0,12,-1.0,-1.0,0,13,0,0,"13,8,9","0.409338,0.329364,0.261298",-0.21442526578903198,-0.09710637480020523,-0.21442526578903198,-0.09710637480020523,-0.23964251577854156,-0.19504855573177338,1.1968059832140967,1.1968059832140967,1.1072896330414592
13,0,13,-1.0,-1.0,0,9,0,0,"9,8,13","0.417484,0.343286,0.239230",-0.24991853535175323,-0.0830002874135971,-0.24991853535175323,-0.0830002874135971,-0.2716730237007141,-0.17850367724895477,1.1846985593358357,1.1846985593358357,1.0978690234717208
14,0,14,-1.0,-1.0,0,13,0,0,"13,8,9","0.431331,0.296323,0.272346",-0.22759421169757843,-0.09204646944999695,-0.22759421169757843,-0.09204646944999695,-0.2529217004776001,-0.19644111394882202,1.1920529834874374,1.1920529834874374,1.097193177598681
15,0,15,-1.0,-1.0,0,8,0,0,"8,13,11","0.430722,0.296264,0.273014",-0.25207430124282837,-0.07660947740077972,-0.25207430124282837,-0.07660947740077972,-0.2899245619773865,-0.1761065125465393,1.1882941168277594,1.1882941168277594,1.0876615311535258
16,0,16,-1.0,-1.0,0,13,0,0,"13,8,9","0.439169,0.306182,0.254649",-0.2234734445810318,-0.04682121425867081,-0.2234734445810318,-0.04682121425867081,-0.23443610966205597,-0.15390606224536896,1.2294483677073074,1.2294483677073074,1.1410359423324512
17,0,17,-1.0,-1.0,0,13,0,0,"13,8,9","0.339448,0.338907,0.321645",-0.22740785777568817,-0.11141956597566605,-0.22740785777568817,-0.11141956597566605,-0.27084892988204956,-0.21674847602844238,1.177486223255977,1.177486223255977,1.0701141214178607
18,0,18,-1.0,-1.0,0,13,0,0,"13,8,9","0.363053,0.347820,0.289127",-0.28263771533966064,-0.012892663478851318,-0.28263771533966064,-0.012892663478851318,-0.29206305742263794,-0.11451774835586548,1.2202415913527034,1.2202415913527034,1.1336902278147014
19,0,19,-1.0,-1.0,0,8,0,0,"8,13,9","0.349620,0.335021,0.315359",-0.19224834442138672,-0.10506702959537506,-0.19224834442138672,-0.10506702959537506,-0.20982341468334198,-0.19986246526241302,1.205557032498768,1.205557032498768,1.1245439566680517
20,0,20,-1.0,-1.0,0,9,0,0,"9,8,13","0.340734,0.332674,0.326592",-0.24357162415981293,-0.10947580635547638,-0.24357162415981293,-0.10947580635547638,-0.27607429027557373,-0.21691715717315674,1.1684251055341341,1.1684251055341341,1.0664366703793455
21,0,21,-1.0,-1.0,0,13,0,0,"13,8,9","0.562692,0.259453,0.177855",-0.28252893686294556,-0.012619026005268097,-0.28252893686294556,-0.012619026005268097,-0.29437631368637085,-0.109503373503685,1.220526900254886,1.220526900254886,1.1361729747217861
22,0,22,-1.0,-1.0,0,13,0,0,"13,8,9","0.388056,0.321259,0.290685",-0.21710117161273956,-0.11605174839496613,-0.21710117161273956,-0.11605174839496613,-0.24252434074878693,-0.21552854776382446,1.1808027299281372,1.1808027299281372,1.0904883464446533
23,0,23,-1.0,-1.0,0,13,0,0,"13,8,9","0.366401,0.331357,0.302242",-0.2672198414802551,-0.10979911684989929,-0.2672198414802551,-0.10979911684989929,-0.30453234910964966,-0.2125193178653717,1.1530066665381609,1.1530066665381609,1.0506193783526752
24,0,24,-1.0,-1.0,0,13,0,0,"13,8,9","0.372015,0.334868,0.293117",-0.25042474269866943,-0.025955185294151306,-0.25042474269866943,-0.025955185294151306,-0.2681578993797302,-0.12570242583751678,1.2290754116056943,1.2290754116056943,1.1401706488182775
25,0,25,-1.0,-1.0,0,13,0,0,"13,8,9","0.435746,0.324369,0.239885",-0.2579681873321533,-0.0949898511171341,-0.2579681873321533,-0.0949898511171341,-0.29547542333602905,-0.1920151561498642,1.1703224259118157,1.1703224259118157,1.07200484467892
26,0,26,-1.0,-1.0,0,13,0,0,"13,8,9","0.389701,0.330474,0.279824",-0.2429439276456833,-0.05838320776820183,-0.2429439276456833,-0.05838320776820183,-0.2694523334503174,-0.16139818727970123,1.2082119350931133,1.2082119350931133,1.1121838397490575
27,0,27,-1.0,-1.0,0,9,0,0,"9,8,13","0.440012,0.307107,0.252881",-0.214222252368927,-0.1200132668018341,-0.214222252368927,-0.1200132668018341,-0.24021287262439728,-0.19941258430480957,1.1797556184553402,1.1797556184553402,1.103728539585334
28,0,28,-1.0,-1.0,0,13,0,0,"13,8,9","0.394474,0.312713,0.292813",-0.25618672370910645,-0.12618619203567505,-0.25618672370910645,-0.12618619203567505,-0.2856749892234802,-0.23696982860565186,1.147522880371327,1.147522880371327,1.0452154148686115
29,0,29,-1.0,-1.0,0,13,0,0,"13,8,9","0.382723,0.340741,0.276537",-0.2453976720571518,-0.10295438766479492,-0.2453976720571518,-0.10295438766479492,-0.27495163679122925,-0.20460380613803864,1.1722267288995798,1.1722267288995798,1.0762668043760397
30,0,30,-1.0,-1.0,0,8,0,0,"8,13,9","0.393974,0.340896,0.265130",-0.2508695721626282,-0.09187814593315125,-0.2508695721626282,-0.09187814593315125,-0.28453344106674194,-0.19506999850273132,1.1772347683217714,1.1772347683217714,1.076942293840385
31,0,31,-1.0,-1.0,0,13,0,0,"13,9,8","0.369385,0.328340,0.302275",-0.23532478511333466,-0.09851489216089249,-0.23532478511333466,-0.09851489216089249,-0.2711595892906189,-0.20660841464996338,1.1821182613925119,1.1821182613925119,1.0773479252253024
32,0,32,-1.0,-1.0,0,13,0,0,"13,8,9","0.436130,0.327983,0.235886",-0.2161841243505478,-0.1207941323518753,-0.2161841243505478,-0.1207941323518753,-0.24585221707820892,-0.22054405510425568,1.1778668365426583,1.1778668365426583,1.084569245608214
33,0,33,-1.0,-1.0,0,13,0,0,"13,8,9","0.480989,0.320431,0.198581",-0.24472101032733917,-0.09818708896636963,-0.24472101032733917,-0.09818708896636963,-0.27604424953460693,-0.19712784886360168,1.1763132570654409,1.1763132570654409,1.0810715146105265
