sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,rmse_xy_m
0,0,0,-1.0,-1.0,-0.27000510692596436,-0.03388065844774246,1.2109001304961282
1,0,1,-1.0,-1.0,-0.24053557217121124,-0.12868279218673706,1.1558459645509909
2,0,2,-1.0,-1.0,-0.2303953617811203,-0.05568116903305054,1.2182074345885427
3,0,3,-1.0,-1.0,-0.25537335872650146,-0.07803402841091156,1.1851118460560857
4,0,4,-1.0,-1.0,-0.21854062378406525,-0.07403145730495453,1.2116503203220739
5,0,5,-1.0,-1.0,-0.2430693656206131,-0.0385567806661129,1.223649071125006
6,0,6,-1.0,-1.0,-0.20512960851192474,-0.1169266551733017,1.188123508566268
7,0,7,-1.0,-1.0,-0.21672265231609344,-0.08800582587718964,1.2021883284363903
8,0,8,-1.0,-1.0,-0.2700501084327698,-0.11791692674160004,1.1449442747697351
9,0,9,-1.0,-1.0,-0.2555527687072754,-0.0924949198961258,1.173783263892335
10,0,10,-1.0,-1.0,-0.24872533977031708,-0.06886183470487595,1.1964246311290967
11,0,11,-1.0,-1.0,-0.21817047894001007,-0.09991934895515442,1.1922258923485123
12,0,12,-1.0,-1.0,-0.21442526578903198,-0.09710637480020523,1.1968059832140967
13,0,13,-1.0,-1.0,-0.24991853535175323,-0.0830002874135971,1.1846985593358357
14,0,14,-1.0,-1.0,-0.22759421169757843,-0.09204646944999695,1.1920529834874374
15,0,15,-1.0,-1.0,-0.25207430124282837,-0.07660947740077972,1.1882941168277594
16,0,16,-1.0,-1.0,-0.2234734445810318,-0.04682121425867081,1.2294483677073074
17,0,17,-1.0,-1.0,-0.22740785777568817,-0.11141956597566605,1.177486223255977
18,0,18,-1.0,-1.0,-0.28263771533966064,-0.012892663478851318,1.2202415913527034
19,0,19,-1.0,-1.0,-0.19224834442138672,-0.10506702959537506,1.205557032498768
20,0,20,-1.0,-1.0,-0.24357162415981293,-0.10947580635547638,1.1684251055341341
21,0,21,-1.0,-1.0,-0.28252893686294556,-0.012619026005268097,1.220526900254886
22,0,22,-1.0,-1.0,-0.21710117161273956,-0.11605174839496613,1.1808027299281372
23,0,23,-1.0,-1.0,-0.2672198414802551,-0.10979911684989929,1.1530066665381609
24,0,24,-1.0,-1.0,-0.25042474269866943,-0.025955185294151306,1.2290754116056943
25,0,25,-1.0,-1.0,-0.2579681873321533,-0.0949898511171341,1.1703224259118157
26,0,26,-1.0,-1.0,-0.2429439276456833,-0.05838320776820183,1.2082119350931133
27,0,27,-1.0,-1.0,-0.214222252368927,-0.1200132668018341,1.1797556184553402
28,0,28,-1.0,-1.0,-0.25618672370910645,-0.12618619203567505,1.147522880371327
29,0,29,-1.0,-1.0,-0.2453976720571518,-0.10295438766479492,1.1722267288995798
30,0,30,-1.0,-1.0,-0.2508695721626282,-0.09187814593315125,1.1772347683217714
31,0,31,-1.0,-1.0,-0.23532478511333466,-0.09851489216089249,1.1821182613925119
32,0,32,-1.0,-1.0,-0.2161841243505478,-0.1207941323518753,1.1778668365426583
33,0,33,-1.0,-1.0,-0.24472101032733917,-0.09818708896636963,1.1763132570654409
34,0,34,-1.0,-1.0,-0.2481430619955063,-0.050263501703739166,1.2113167510694867
35,0,35,-1.0,-1.0,-0.22548939287662506,-0.10040345042943954,1.1870722945742929
36,0,36,-1.0,-1.0,-0.23371784389019012,-0.12254752218723297,1.1649511550241338
37,0,37,-1.0,-1.0,-0.1771024465560913,-0.12391123175621033,1.201953374015353
38,0,38,-1.0,-1.0,-0.2673565149307251,-0.11796413362026215,1.1466271171547913
39,0,39,-1.0,-1.0,-0.2209571748971939,-0.049999337643384933,1.228580067322504
40,0,40,-1.0,-1.0,-0.23115788400173187,-0.10610343515872955,1.1790543956780442
41,0,41,-1.0,-1.0,-0.2671680450439453,-0.11851276457309723,1.1463256171024343
42,0,42,-1.0,-1.0,-0.21838350594043732,-0.056991592049598694,1.224822110043378
43,0,43,-1.0,-1.0,-0.21331246197223663,-0.05459284037351608,1.229907305434519
44,0,44,-1.0,-1.0,-0.19912147521972656,-0.05922554433345795,1.2355011080079634
45,0,45,-1.0,-1.0,-0.25141215324401855,-0.11787530779838562,1.156947594708831
46,0,46,-1.0,-1.0,-0.24055029451847076,-0.02535630762577057,1.2355946674540372
47,0,47,-1.0,-1.0,-0.26473861932754517,-0.10100020468235016,1.1613827663133034
48,0,48,-1.0,-1.0,-0.26253485679626465,-0.10610130429267883,1.158839814481603
49,0,49,-1.0,-1.0,-0.1390659213066101,-0.14630284905433655,1.2124381688929045
50,1,0,-0.8,-1.0,-0.20475992560386658,-0.06376134604215622,1.1094383999717647
51,1,1,-0.8,-1.0,-0.1971423178911209,-0.1273878961801529,1.0606079712177303
52,1,2,-0.8,-1.0,-0.18257685005664825,-0.11235131323337555,1.0812638610461758
53,1,3,-0.8,-1.0,-0.13072426617145538,-0.1818687468767166,1.0570093449108249
54,1,4,-0.8,-1.0,-0.19707195460796356,-0.10828757286071777,1.0764168712143505
