sample_idx,session_index,frame_index,true_x_m,true_y_m,true_subregion_id,pred_subregion_id,region_correct,region_topk_hit,topk_ids,topk_probs,est_x_m,est_y_m,est_x_top1_m,est_y_top1_m,est_x_oracle_m,est_y_oracle_m,rmse_xy_m,rmse_xy_top1_m,rmse_xy_oracle_m
0,0,0,-1.0,-1.0,0,13,0,0,"13,8,9","0.419147,0.324807,0.256046",-0.4378848373889923,0.4598897695541382,-0.2851139008998871,0.7506663203239441,-0.7849123626947403,-0.7447844464331865,1.5643693922108148,1.8910036223664817,0.3337628956369686
1,0,1,-1.0,-1.0,0,13,0,0,"13,8,9","0.370758,0.339302,0.289940",-0.4767506718635559,0.42885154485702515,-0.3173452317714691,0.7187793850898743,-0.8365704715251923,-0.747191505972296,1.5216460155488027,1.8493837101031996,0.3010337944983148
2,0,2,-1.0,-1.0,0,13,0,0,"13,8,9","0.407160,0.314205,0.278635",-0.44557464122772217,0.4458981454372406,-0.28532007336616516,0.7276142835617065,-0.8146346807479858,-0.7455430682748556,1.5485505885919972,1.8696038377955293,0.3148152341999604
3,0,3,-1.0,-1.0,0,8,0,0,"8,13,9","0.374769,0.338909,0.286321",-0.4695434868335724,0.4041072428226471,-0.7633369565010071,0.2612343430519104,-0.8127417340874672,-0.7544624689035118,1.500966775684159,1.2832464549928786,0.3087949762051316
4,0,4,-1.0,-1.0,0,13,0,0,"13,8,9","0.424713,0.337359,0.237928",-0.4653838574886322,0.4601995348930359,-0.31272706389427185,0.747894287109375,-0.8214632794260979,-0.7380914269015193,1.5549910294067852,1.8781582807668205,0.3169723351583949
5,0,5,-1.0,-1.0,0,13,0,0,"13,8,9","0.420173,0.319068,0.260758",-0.4522464871406555,0.4532013535499573,-0.2907567024230957,0.7302383184432983,-0.8162266090512276,-0.7452803561463952,1.553006144485327,1.869960078121256,0.3140935468705424
6,0,6,-1.0,-1.0,0,13,0,0,"13,8,9","0.369032,0.356170,0.274798",-0.47627297043800354,0.4307906925678253,-0.32049739360809326,0.7381207346916199,-0.8257792666554451,-0.7377340095117688,1.5236311914083898,1.866222784251208,0.3148591966163407
7,0,7,-1.0,-1.0,0,13,0,0,"13,8,9","0.384698,0.354479,0.260823",-0.47348928451538086,0.43871408700942993,-0.30445870757102966,0.7355425357818604,-0.8256051316857338,-0.7423959877341986,1.5320286412725785,1.8697287458296972,0.31108422851341955
8,0,8,-1.0,-1.0,0,13,0,0,"13,8,9","0.453357,0.282333,0.264310",-0.4544668197631836,0.4569646120071411,-0.31479451060295105,0.705750048160553,-0.8355890959501266,-0.7503342274576426,1.555748158083568,1.838230069795285,0.2989380259345887
9,0,9,-1.0,-1.0,0,8,0,0,"8,11,9","0.396973,0.336058,0.266969",-0.16223552823066711,0.23431065678596497,-0.7710508108139038,0.26540607213974,-0.8126916959881783,-0.7703254651278257,1.4917681145588109,1.2859511105159074,0.29636935185766866
10,0,10,-1.0,-1.0,0,13,0,0,"13,8,9","0.360346,0.359395,0.280259",-0.4684687852859497,0.41515928506851196,-0.28596144914627075,0.7134976387023926,-0.8167159408330917,-0.7560254656709731,1.5116882067182424,1.8563203414130787,0.3051501593408797
11,0,11,-1.0,-1.0,0,13,0,0,"13,8,9","0.394923,0.327823,0.277254",-0.4630887806415558,0.4444872736930847,-0.302638977766037,0.7308974862098694,-0.8258212506771088,-0.7445800825953484,1.5410441724150064,1.8660971312069592,0.30915622413706256
