sample_idx,session_index,frame_index,true_x_m,true_y_m,true_subregion_id,pred_subregion_id,region_correct,region_topk_hit,topk_ids,topk_probs,est_x_m,est_y_m,est_x_top1_m,est_y_top1_m,est_x_oracle_m,est_y_oracle_m,rmse_xy_m,rmse_xy_top1_m,rmse_xy_oracle_m
0,0,0,-1.0,-1.0,0,9,0,0,"9,13,8","0.517459,0.257026,0.225515",-0.4068690836429596,0.3758041560649872,-0.2927069365978241,0.22646969556808472,-0.7975796386599541,-0.7116397619247437,1.498212721806965,1.4158006186196221,0.3523146741023616
1,0,1,-1.0,-1.0,0,8,0,0,"8,9,11","0.580345,0.224690,0.194965",-0.4028189778327942,0.270880788564682,-0.7851980924606323,0.286521852016449,-0.8265784159302711,-0.7219900414347649,1.4041948411739222,1.3043306080892163,0.3276653519716386
2,0,2,-1.0,-1.0,0,8,0,0,"8,11,9","0.472265,0.325049,0.202686",-0.21101142466068268,0.26200664043426514,-0.7811466455459595,0.28099769353866577,-0.7918863780796528,-0.7209821864962578,1.4883426126118091,1.2995583409786446,0.348083639203589
3,0,3,-1.0,-1.0,0,8,0,0,"8,11,9","0.551071,0.334992,0.113937",-0.23235031962394714,0.25966593623161316,-0.7754347324371338,0.2763032615184784,-0.7875974401831627,-0.7299521900713444,1.4751421296552147,1.2959087833479204,0.34357046884737996
4,0,4,-1.0,-1.0,0,8,0,0,"8,11,9","0.509778,0.255190,0.235032",-0.31104639172554016,0.25383493304252625,-0.7947694063186646,0.26978346705436707,-0.8060481138527393,-0.720992773771286,1.4306498920672919,1.2862618900470473,0.33979753740708707
5,0,5,-1.0,-1.0,0,8,0,0,"8,11,9","0.476105,0.301714,0.222182",-0.2416996955871582,0.2600908577442169,-0.7906200885772705,0.28006458282470703,-0.7976943254470825,-0.7261435799300671,1.4706625450602748,1.2970756660694784,0.3404774952472344
6,0,6,-1.0,-1.0,0,8,0,0,"8,9,11","0.547839,0.261166,0.190995",-0.3798792064189911,0.2616201639175415,-0.7745624780654907,0.2761651873588562,-0.8139007538557053,-0.7158713079988956,1.4057863410329696,1.2959242499940484,0.33964988301739957
7,0,7,-1.0,-1.0,0,8,0,0,"8,9,11","0.459257,0.288952,0.251791",-0.28653484582901,0.25687700510025024,-0.7914209961891174,0.27592819929122925,-0.8094049133360386,-0.7220429498702288,1.4452585693106992,1.2928642506378227,0.3370261247697085
8,0,8,-1.0,-1.0,0,8,0,0,"8,11,9","0.516407,0.293705,0.189888",-0.2966245710849762,0.26960453391075134,-0.802112340927124,0.29183435440063477,-0.8428539335727692,-0.7288020923733711,1.451424357838923,1.3069030280870297,0.3134376992236466
9,0,9,-1.0,-1.0,0,8,0,0,"8,11,9","0.531658,0.387044,0.081298",-0.1701713353395462,0.2589806616306305,-0.771523118019104,0.2863926291465759,-0.8004098683595657,-0.7453820062801242,1.5078620358149653,1.306525040679417,0.32352209101416957
10,0,10,-1.0,-1.0,0,8,0,0,"8,11,9","0.509244,0.322715,0.168041",-0.23786404728889465,0.25654053688049316,-0.7885688543319702,0.2742132246494293,-0.8003921881318092,-0.7295145932585001,1.469607203043991,1.2916355798869867,0.33616310597524185
11,0,11,-1.0,-1.0,0,8,0,0,"8,9,11","0.461564,0.270319,0.268117",-0.2690301239490509,0.2666598856449127,-0.7847079038619995,0.2888433635234833,-0.8052650019526482,-0.7205500453710556,1.4624446059922829,1.3067011526581047,0.3406082744247726
12,0,12,-1.0,-1.0,0,8,0,0,"8,9,11","0.515673,0.273656,0.210671",-0.3559885621070862,0.26941561698913574,-0.7802879214286804,0.2879519760608673,-0.8249572813510895,-0.713306650519371,1.4234348389697389,1.3065579551283681,0.33590628155547153
13,0,13,-1.0,-1.0,0,9,0,0,"9,4,8","0.478311,0.297142,0.224547",-0.5105611085891724,0.11088833957910538,-0.23733581602573395,0.2301151156425476,-0.7929842993617058,-0.7117548584938049,1.2139288823643177,1.4473561604696374,0.3548813349736645
14,0,14,-1.0,-1.0,0,8,0,0,"8,9,11","0.488326,0.284302,0.227372",-0.3245818018913269,0.26987212896347046,-0.7823337316513062,0.29338377714157104,-0.8176209852099419,-0.7193413134664297,1.4383201890589534,1.311571652388783,0.33471092507198075
15,0,15,-1.0,-1.0,0,8,0,0,"8,11,9","0.546167,0.370599,0.083234",-0.20013004541397095,0.26211443543434143,-0.7829517126083374,0.2852315902709961,-0.7974541820585728,-0.7403706386685371,1.4942305017570758,1.303430166786916,0.3292904699971517
16,0,16,-1.0,-1.0,0,9,0,0,"9,8,13","0.444153,0.353086,0.202760",-0.47989338636398315,0.34336596727371216,-0.3024170398712158,0.22603943943977356,-0.801229689270258,-0.7172331511974335,1.4405356682766175,1.410600827067612,0.3456395914957251
17,0,17,-1.0,-1.0,0,8,0,0,"8,11,9","0.566754,0.328592,0.104654",-0.25499263405799866,0.27412188053131104,-0.7727078795433044,0.29450246691703796,-0.810253694653511,-0.7227409854531288,1.4759480145846884,1.314305270808878,0.33597056647888834
18,0,18,-1.0,-1.0,0,8,0,0,"8,9,11","0.506216,0.249826,0.243957",-0.3141976594924927,0.25115829706192017,-0.7956984639167786,0.25911828875541687,-0.7943285927176476,-0.7124792151153088,1.42678727726051,1.2755853490552223,0.35350944756005065
19,0,19,-1.0,-1.0,0,9,0,0,"9,8,15","0.739900,0.158727,0.101373",-0.27419835329055786,0.2770949602127075,-0.3029078543186188,0.21350011229515076,-0.789881806820631,-0.7211194187402725,1.4689314373948277,1.3994713223610606,0.3491762215683165
20,0,20,-1.0,-1.0,0,8,0,0,"8,11,9","0.634978,0.240084,0.124939",-0.37442415952682495,0.2766052186489105,-0.7731223106384277,0.28869354724884033,-0.8189573436975479,-0.7170717269182205,1.4216420141742265,1.308512340274575,0.3358941069892203
21,0,21,-1.0,-1.0,0,8,0,0,"8,9,15","0.586915,0.259591,0.153494",-0.4408111572265625,0.31338241696357727,-0.7944826483726501,0.2482186108827591,-0.8459233343601227,-0.758463479578495,1.4274682255908129,1.2650245382497545,0.2864952173981804
22,0,22,-1.0,-1.0,0,8,0,0,"8,9,11","0.510814,0.286825,0.202361",-0.35607287287712097,0.2692911922931671,-0.7819358110427856,0.2879015803337097,-0.8120413944125175,-0.7167637273669243,1.423285732338287,1.3062321658616567,0.33992826235761686
23,0,23,-1.0,-1.0,0,8,0,0,"8,11,9","0.472339,0.375861,0.151800",-0.17490091919898987,0.25828948616981506,-0.7894127368927002,0.2892928719520569,-0.8256317377090454,-0.7434562286362052,1.5046863208470294,1.3063778569194313,0.3101918721048734
24,0,24,-1.0,-1.0,0,8,0,0,"8,11,9","0.464207,0.301932,0.233861",-0.2329825758934021,0.2472752034664154,-0.7938137650489807,0.26312610507011414,-0.7971971295773983,-0.7293896712362766,1.4642442289677322,1.279843865787102,0.3381700079623517
25,0,25,-1.0,-1.0,0,8,0,0,"8,11,9","0.607128,0.287615,0.105257",-0.3448411524295807,0.26962822675704956,-0.7997853755950928,0.2838710844516754,-0.8478557914495468,-0.7240528799593449,1.4287018407379652,1.29938864752495,0.31511057305995865
26,0,26,-1.0,-1.0,0,8,0,0,"8,11,9","0.495488,0.304066,0.200446",-0.24110013246536255,0.25510352849960327,-0.7828869819641113,0.27282392978668213,-0.790824394673109,-0.7266162261366844,1.466701699800012,1.2912082786437922,0.34422829877222433
27,0,27,-1.0,-1.0,0,9,0,0,"9,4,8","0.584672,0.235115,0.180213",-0.4732759892940521,0.13453035056591034,-0.26497697830200195,0.22811666131019592,-0.8268092274665833,-0.707462202757597,1.2508386385978676,1.4312684500867607,0.3399608896713841
28,0,28,-1.0,-1.0,0,8,0,0,"8,11,9","0.548119,0.247577,0.204304",-0.3391062319278717,0.2725655436515808,-0.7875669002532959,0.294744074344635,-0.8229623362421989,-0.7275152802467346,1.4339468733414846,1.3120556542763493,0.3249465446620964
29,0,29,-1.0,-1.0,0,8,0,0,"8,11,9","0.478962,0.331459,0.189579",-0.21510791778564453,0.26522544026374817,-0.7869264483451843,0.29008370637893677,-0.8055608347058296,-0.7304453328251839,1.4889093308235333,1.3075612061694137,0.3323647207451772
30,0,30,-1.0,-1.0,0,8,0,0,"8,11,9","0.530266,0.352567,0.117166",-0.22178864479064941,0.2633451223373413,-0.7912784814834595,0.28985968232154846,-0.8133944422006607,-0.7406102856621146,1.4837970924322255,1.3066379270365973,0.3195381950657735
31,0,31,-1.0,-1.0,0,8,0,0,"8,11,9","0.581605,0.288231,0.130164",-0.3043830394744873,0.27777227759361267,-0.7750722169876099,0.2924259305000305,-0.8213048428297043,-0.7149394154548645,1.4548487719201337,1.3118526187799218,0.336439438914838
32,0,32,-1.0,-1.0,0,8,0,0,"8,9,11","0.574444,0.221327,0.204229",-0.3914927542209625,0.2723861634731293,-0.7802850604057312,0.28807899355888367,-0.8263396322727203,-0.7137316688895226,1.4104068977296795,1.3066836450834531,0.3348245521402992
33,0,33,-1.0,-1.0,0,8,0,0,"8,9,11","0.576226,0.218166,0.205608",-0.40861424803733826,0.2729746699333191,-0.7953261137008667,0.2923273742198944,-0.852714478969574,-0.7204401791095734,1.4036387063330384,1.3084347297022032,0.3159853132053632
34,0,34,-1.0,-1.0,0,8,0,0,"8,11,9","0.485071,0.284093,0.230835",-0.26163992285728455,0.25642701983451843,-0.7950277924537659,0.2787313163280487,-0.8004466630518436,-0.7376794507727027,1.4573209871845139,1.2950549738232893,0.32959612381527686
35,0,35,-1.0,-1.0,0,8,0,0,"8,11,9","0.539085,0.245891,0.215024",-0.32903802394866943,0.27096980810165405,-0.7797986268997192,0.2911730408668518,-0.8160814791917801,-0.7211795039474964,1.437203613414836,1.3098154321035471,0.3340163039662103
36,0,36,-1.0,-1.0,0,8,0,0,"8,11,9","0.610993,0.241187,0.147820",-0.3670593500137329,0.2745172083377838,-0.7782779335975647,0.2881303131580353,-0.8219099119305611,-0.7167441658675671,1.4230277512241902,1.3070732108058767,0.3345892213425903
37,0,37,-1.0,-1.0,0,9,0,0,"9,8,13","0.574207,0.326639,0.099155",-0.4590137004852295,0.2866765856742859,-0.30168017745018005,0.215406596660614,-0.8231501802802086,-0.7237424273043871,1.3957803596501575,1.401735984332338,0.3280154039166371
38,0,38,-1.0,-1.0,0,8,0,0,"8,11,9","0.449805,0.340794,0.209402",-0.22391417622566223,0.26921480894088745,-0.8032827377319336,0.2948729395866394,-0.8451605588197708,-0.7259731665253639,1.4876879501758242,1.3097303581073425,0.3147474511559094
39,0,39,-1.0,-1.0,0,8,0,0,"8,9,11","0.442587,0.366688,0.190726",-0.33671122789382935,0.2542138397693634,-0.790351152420044,0.26679399609565735,-0.8046074397861958,-0.7107654213905334,1.4188038451706853,1.284024792531518,0.3490485554336256
40,0,40,-1.0,-1.0,0,8,0,0,"8,11,9","0.486039,0.279895,0.234066",-0.26969102025032043,0.26972508430480957,-0.77947998046875,0.2944798469543457,-0.8116903305053711,-0.7238224633038044,1.4647706290118852,1.3131287648913221,0.33426720359729406
41,0,41,-1.0,-1.0,0,8,0,0,"8,11,9","0.574338,0.225389,0.200273",-0.39079391956329346,0.2564990520477295,-0.7970036864280701,0.2783792316913605,-0.8491648882627487,-0.7420833632349968,1.3963960456252724,1.2943959839800132,0.2987845753263707
42,0,42,-1.0,-1.0,0,9,0,0,"9,8,11","0.483400,0.348784,0.167816",-0.3098834753036499,0.24781036376953125,-0.30251315236091614,0.23239098489284515,-0.8053466081619263,-0.7153950966894627,1.4259353146582834,1.4160774845589006,0.34480413852282427
43,0,43,-1.0,-1.0,0,9,0,0,"9,8,13","0.479571,0.304909,0.215520",-0.45391523838043213,0.3459230065345764,-0.29769274592399597,0.2197454869747162,-0.8103798776865005,-0.723276237025857,1.4524865942211562,1.4074851800722323,0.3354576452858933
44,0,44,-1.0,-1.0,0,8,0,0,"8,9,13","0.472416,0.342790,0.184794",-0.5407413244247437,0.3470107614994049,-0.7871706485748291,0.2725178301334381,-0.8098699450492859,-0.7114065736532211,1.4231502108654397,1.290192993639158,0.3455945652439217
45,0,45,-1.0,-1.0,0,8,0,0,"8,11,9","0.580682,0.249319,0.169999",-0.34743911027908325,0.27145349979400635,-0.7798413634300232,0.2863647937774658,-0.8258697986602783,-0.7212276849895716,1.4291360036510807,1.3050686602345845,0.32868728395678093
46,0,46,-1.0,-1.0,0,8,0,0,"8,11,9","0.528873,0.253092,0.218035",-0.3161376118659973,0.26034998893737793,-0.7951474189758301,0.27712899446487427,-0.7989265657961369,-0.7178394496440887,1.433928122507816,1.2934539220455923,0.34647525470036966
47,0,47,-1.0,-1.0,0,8,0,0,"8,11,9","0.564092,0.270675,0.165234",-0.3427199721336365,0.25296467542648315,-0.7991795539855957,0.26732954382896423,-0.8524197041988373,-0.7374918628484011,1.4148984108050302,1.283141856615688,0.3011485775818331
48,0,48,-1.0,-1.0,0,8,0,0,"8,11,9","0.572525,0.303495,0.123980",-0.3165406882762909,0.2677292227745056,-0.8016155362129211,0.28585341572761536,-0.8472149521112442,-0.7318898215889931,1.44022706996442,1.3010670244881555,0.3085876514476096
49,0,49,-1.0,-1.0,0,9,0,0,"9,8,15","0.572535,0.312018,0.115447",-0.33088234066963196,0.29095184803009033,-0.3000461459159851,0.21189811825752258,-0.8032606095075607,-0.7286538518965244,1.4540547156005017,1.3995115029477931,0.3351643177039134
50,1,0,-0.8,-1.0,0,8,0,0,"8,9,13","0.408205,0.351927,0.239868",-0.510090172290802,0.36611664295196533,-0.7913234829902649,0.26707330346107483,-0.8052270039916039,-0.7189586032181978,1.3965394338695647,1.267103010134212,0.28109000031270165
51,1,1,-0.8,-1.0,0,8,0,0,"8,9,13","0.457453,0.376530,0.166016",-0.5262463092803955,0.3333101272583008,-0.7768135666847229,0.27435624599456787,-0.8199005424976349,-0.7161168083548546,1.3611234252014588,1.2745671627635993,0.28457986241182726
