offset_cm,offset_m,n_valid,global_rmse_m,inner_rmse_m,outer_rmse_m
0.0,0.0,10343,1.2550643690881382,0.927254469715372,1.670467487955732
0.5,0.005,10343,1.2550684703255144,0.9272614855933153,1.6704678957391137
1.0,0.01,10343,1.255080774892608,0.9272825344690657,1.6704691194538746
1.5,0.015,10343,1.2551012853546764,0.9273176200689042,1.6704711601940119
2.0,0.02,10343,1.2551300059883395,0.927366748605039,1.6704740197833547
2.5,0.025,10343,1.255166942783386,0.9274299287782362,1.6704777007763212
3.0,0.03,10343,1.2552121034453174,0.9275071717815396,1.6704822064589737
3.5000000000000004,0.035,10343,1.2552654973986632,0.9275984913051223,1.6704875408503863
4.0,0.04,10343,1.2553271357910947,0.9277039035423192,1.6704937087043283
4.5,0.045,10343,1.2553970314983691,0.9278234271968997,1.6705007155112568
5.0,0.05,10343,1.2554751991301563,0.9279570834916592,1.6705085675006415
5.5,0.055,10343,1.255561655036793,0.9281048961784071,1.6705172716436165
6.0,0.06,10343,1.2556564173170208,0.9282668915494535,1.6705268356559748
6.5,0.065,10343,1.2557595058267799,0.9284430984506968,1.6705372680015134
7.000000000000001,0.07,10343,1.2558709421891188,0.9286335482964353,1.6705485778957394
7.5,0.075,10343,1.255990749805312,0.9288382750860317,1.6705607753099498
8.0,0.08,10343,1.2561189538672592,0.9290573154225747,1.6705738709757032
8.5,0.085,10343,1.2562555813712737,0.9292907085336944,1.6705878763896966
9.0,0.09,10343,1.2564006611333445,0.9295384962946959,1.670602803819059
9.5,0.095,10343,1.256554223806005,0.9298007232541986,1.6706186663070994
10.0,0.1,10343,1.2567163018969019,0.9300774366624711,1.6706354776795074
